,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,China,81340,55,3292,5,74588,3460,1034,57,2,-1,-1,0327
1,USA,85435,17224,1295,268,1868,82272,2122,258,4,-1,-1,0327
2,Italy,80589,6203,8215,712,10361,62013,3612,1333,136,-1,-1,0327
3,Spain,57786,8271,4365,718,7015,46406,3166,1236,93,-1,-1,0327
4,Germany,43938,6615,267,61,5673,37998,23,524,3,-1,-1,0327
5,Iran,29406,2389,2234,157,10457,16715,2746,350,27,-1,-1,0327
6,France,29155,3922,1696,365,4948,22511,3375,447,26,-1,-1,0327
7,Switzerland,11811,914,192,39,131,11488,141,1365,22,-1,-1,0327
8,UK,11658,2129,578,115,135,10945,163,172,9,-1,-1,0327
9,S. Korea,9241,104,131,5,4144,4966,59,180,3,-1,-1,0327
10,Netherlands,7431,1019,434,78,3,6994,761,434,25,-1,-1,0327
11,Austria,6909,1321,49,18,112,6748,96,767,5,-1,-1,0327
12,Belgium,6235,1298,220,42,675,5340,605,538,19,-1,-1,0327
13,Canada,4043,634,39,3,228,3776,120,107,1,-1,-1,0327
14,Turkey,3629,1196,75,16,26,3528,136,43,09,-1,-1,0327
15,Portugal,3544,549,60,17,43,3441,61,348,6,-1,-1,0327
16,Norway,3372,288,14,,6,3352,70,622,3,-1,-1,0327
17,Australia,3050,374,13,2,170,2867,23,120,05,-1,-1,0327
18,Brazil,2985,431,77,18,6,2902,18,14,04,-1,-1,0327
19,Sweden,2840,314,77,15,16,2747,200,281,8,-1,-1,0327
20,Israel,2693,324,8,3,68,2617,46,311,09,-1,-1,0327
21,Malaysia,2031,235,23,3,215,1793,45,63,07,-1,-1,0327
22,Czechia,1925,271,9,3,10,1906,34,180,08,-1,-1,0327
23,Denmark,1877,153,41,7,1,1835,94,324,7,-1,-1,0327
24,Ireland,1819,255,19,10,5,1795,47,368,4,-1,-1,0327
25,Luxembourg,1453,120,9,1,6,1438,3,2321,14,-1,-1,0327
26,Ecuador,1403,192,34,5,3,1366,58,80,2,-1,-1,0327
27,Japan,1387,80,47,2,359,981,57,11,04,-1,-1,0327
28,Chile,1306,164,4,1,22,1280,7,68,02,-1,-1,0327
29,Poland,1221,170,16,2,7,1198,3,32,04,-1,-1,0327
30,Pakistan,1201,138,9,1,21,1171,5,5,004,-1,-1,0327
31,Thailand,1045,111,4,,88,953,4,15,006,-1,-1,0327
32,Romania,1029,123,23,6,94,912,29,53,1,-1,-1,0327
33,Saudi Arabia,1012,112,3,1,33,976,6,29,009,-1,-1,0327
34,Finland,958,78,5,2,10,943,24,173,09,-1,-1,0327
35,South Africa,927,218,,,12,915,2,16,,-1,-1,0327
36,Indonesia,893,103,78,20,35,780,,3,03,-1,-1,0327
37,Greece,892,71,27,5,36,829,53,86,3,-1,-1,0327
38,Russia,840,182,3,,38,799,8,6,002,-1,-1,0327
39,Iceland,802,65,2,,82,718,11,2350,6,-1,-1,0327
40,India,727,70,20,8,45,662,,05,001,-1,-1,0327
41,Diamond Princess,712,,10,,597,105,15,,,-1,-1,0327
42,Philippines,707,71,45,7,28,634,1,6,04,-1,-1,0327
43,Singapore,683,52,2,,172,509,17,117,03,-1,-1,0327
44,Panama,674,116,9,1,2,663,20,156,2,-1,-1,0327
45,Argentina,589,87,12,4,72,505,,13,03,-1,-1,0327
46,Peru,580,100,9,,14,557,14,18,03,-1,-1,0327
47,Slovenia,562,34,6,1,10,546,14,270,3,-1,-1,0327
48,Qatar,549,12,,,43,506,6,191,,-1,-1,0327
49,Estonia,538,134,1,,8,529,6,406,08,-1,-1,0327
50,Egypt,495,39,24,3,102,369,,5,02,-1,-1,0327
51,Croatia,495,53,3,2,22,470,14,121,07,-1,-1,0327
52,Colombia,491,21,6,2,8,477,,10,01,-1,-1,0327
53,Dominican Republic,488,96,10,,3,475,,45,09,-1,-1,0327
54,Mexico,475,70,6,1,4,465,1,4,005,-1,-1,0327
55,Bahrain,458,39,4,,204,250,1,269,2,-1,-1,0327
56,Serbia,457,73,7,3,15,435,21,52,08,-1,-1,0327
57,Hong Kong,454,43,4,,110,340,5,61,05,-1,-1,0327
58,Iraq,382,36,36,7,105,241,,9,09,-1,-1,0327
59,Lebanon,368,35,6,,23,339,3,54,09,-1,-1,0327
60,New Zealand,368,85,,,37,331,1,76,,-1,-1,0327
61,Algeria,367,65,25,4,29,313,,8,06,-1,-1,0327
62,UAE,333,,2,,52,279,2,34,02,-1,-1,0327
63,Lithuania,299,25,4,,1,294,1,110,1,-1,-1,0327
64,Armenia,290,25,1,1,18,271,6,98,03,-1,-1,0327
65,Morocco,275,50,11,5,8,256,1,7,03,-1,-1,0327
66,Bulgaria,264,22,3,,8,253,8,38,04,-1,-1,0327
67,Hungary,261,35,10,,28,223,6,27,1,-1,-1,0327
68,Taiwan,252,17,2,,29,221,,11,008,-1,-1,0327
69,Latvia,244,23,,,1,243,,129,,-1,-1,0327
70,Uruguay,238,21,,,,238,3,69,,-1,-1,0327
71,Costa Rica,231,30,2,,2,227,5,45,04,-1,-1,0327
72,Slovakia,226,10,,,2,224,2,41,,-1,-1,0327
73,Andorra,224,36,3,2,1,220,6,2899,39,-1,-1,0327
74,Jordan,212,40,,,1,211,,21,,-1,-1,0327
75,San Marino,208,,21,,4,183,12,6130,619,-1,-1,0327
76,Kuwait,208,13,,,49,159,7,49,,-1,-1,0327
77,North Macedonia,201,24,3,,3,195,1,96,1,-1,-1,0327
78,Tunisia,197,24,5,,2,190,10,17,04,-1,-1,0327
79,Ukraine,196,51,5,,1,190,,4,01,-1,-1,0327
80,Bosnia and Herzegovina,191,15,3,,2,186,1,58,09,-1,-1,0327
81,Moldova,177,28,1,,2,174,28,44,02,-1,-1,0327
82,Albania,174,28,6,1,17,151,3,60,2,-1,-1,0327
83,Vietnam,153,5,,,20,133,3,2,,-1,-1,0327
84,Burkina Faso,152,6,7,3,10,135,,7,03,-1,-1,0327
85,Cyprus,146,14,3,,4,139,3,121,2,-1,-1,0327
86,Faeroe Islands,140,8,,,47,93,,2865,,-1,-1,0327
87,Réunion,135,24,,,1,134,,151,,-1,-1,0327
88,Malta,134,5,,,2,132,1,303,,-1,-1,0327
89,Ghana,132,64,4,,1,127,,4,01,-1,-1,0327
90,Azerbaijan,122,29,3,1,15,104,6,12,03,-1,-1,0327
91,Brunei ,114,5,,,5,109,1,261,,-1,-1,0327
92,Kazakhstan,113,32,1,1,2,110,,6,005,-1,-1,0327
93,Oman,109,10,,,23,86,,21,,-1,-1,0327
94,Venezuela,107,1,1,1,15,91,2,4,004,-1,-1,0327
95,Sri Lanka,106,4,,,7,99,3,5,,-1,-1,0327
96,Senegal,105,6,,,9,96,,6,,-1,-1,0327
97,Cambodia,98,2,,,10,88,1,6,,-1,-1,0327
98,Ivory Coast,96,16,,,3,93,,4,,-1,-1,0327
99,Afghanistan,94,10,4,2,2,88,,2,01,-1,-1,0327
100,Palestine,86,15,1,,17,68,,17,02,-1,-1,0327
101,Belarus,86,,,,29,57,2,9,,-1,-1,0327
102,Mauritius,81,33,2,,,79,1,64,2,-1,-1,0327
103,Martinique,81,15,1,,,80,12,216,3,-1,-1,0327
