,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,Asia,435276,12989,16212,358,205025,214039,6030,,,,,0424
1,North America,954132,35396,53969,2646,105347,794816,16260,,,,,0424
2,Europe,1193276,28925,114259,3057,376038,702979,26669,,,,,0424
3,South America,103328,6667,5073,498,43653,54602,9511,,,,,0424
4,Oceania,8219,21,91,3,6171,1957,49,,,,,0424
5,Africa,28217,1436,1298,54,8534,18385,173,,,,,0424
6,,721,,15,,645,61,4,,,,,0424
7,World,2723169,85434,190917,6616,745413,1786839,58696,349,245,,,0424
8,China,82798,10,4632,,77207,959,63,58,3,,,0424
9,USA,886442,31900,50234,2340,85922,750286,14997,2678,152,4696704,14189,0424
10,Spain,213024,4635,22157,440,89250,101617,7705,4556,474,930230,19896,0424
11,Italy,189973,2646,25549,464,57576,106848,2267,3142,423,1579909,26131,0424
12,France,158183,2239,21856,516,42088,94239,5053,2423,335,463662,7103,0424
13,Germany,153129,2481,5575,260,103300,44254,2908,1828,67,2072669,24738,0424
14,UK,138078,4583,18738,638,,118996,1559,2034,276,583496,8595,0424
15,Turkey,101790,3116,2491,115,18491,80808,1816,1207,30,791906,9390,0424
16,Iran,87026,1030,5481,90,64843,16702,3105,1036,65,389507,4637,0424
17,Russia,62773,4774,555,42,4891,57327,2300,430,4,2401616,16457,0424
18,Brazil,49492,3735,3313,407,26573,19606,8318,233,16,291922,1373,0424
19,Belgium,42797,908,6490,228,9800,26507,993,3693,560,179666,15502,0424
20,Canada,42110,1920,2147,173,14761,25202,557,1116,57,620101,16430,0424
21,Netherlands,35729,887,4177,123,,31302,1008,2085,244,187000,10913,0424
22,Switzerland,28496,228,1549,40,20600,6347,386,3293,179,227554,26293,0424
23,India,23039,1669,721,40,5012,17306,,17,05,500542,363,0424
24,Portugal,22353,371,820,35,1201,20332,204,2192,80,300525,29473,0424
25,Peru,20914,1664,572,42,7422,12920,396,634,17,185238,5618,0424
26,Ireland,17607,936,794,25,9233,7580,147,3566,161,111584,22598,0424
27,Sweden,16755,751,2021,84,550,14184,533,1659,200,94500,9357,0424
28,Austria,15002,77,522,12,11694,2786,169,1666,58,205835,22854,0424
29,Israel,14803,305,192,3,5611,9000,139,1710,22,240303,27763,0424
30,Saudi Arabia,13930,1158,121,7,1925,11884,93,400,3,200000,5745,0424
31,Japan,12368,418,328,29,1494,10546,259,98,3,135983,1075,0424
32,Chile,11812,516,168,8,5804,5840,411,618,9,135147,7070,0424
33,Ecuador,11183,333,560,23,1328,9295,141,634,32,34840,1975,0424
34,Singapore,11178,1037,12,,924,10242,26,1911,2,94796,16203,0424
35,Pakistan,11057,981,235,23,2337,8485,60,50,1,124549,564,0424
36,S. Korea,10702,8,240,2,8411,2051,55,209,5,583971,11390,0424
37,Mexico,10544,1043,970,113,2627,6947,378,82,8,49570,384,0424
38,Poland,10511,342,454,28,1740,8317,160,278,12,250719,6625,0424
39,Romania,10096,386,545,21,2478,7073,236,525,28,113336,5891,0424
40,UAE,8756,518,56,4,1637,7063,1,885,6,790000,79875,0424
41,Denmark,8073,161,394,10,5384,2295,74,1394,68,116621,20134,0424
42,Belarus,8022,741,60,2,938,7024,92,849,6,122543,12968,0424
43,Indonesia,7775,357,647,12,960,6168,,28,2,59935,219,0424
44,Qatar,7764,623,10,,750,7004,72,2695,3,73457,25497,0424
45,Norway,7401,63,194,7,32,7175,50,1365,36,152095,28055,0424
46,Serbia,7276,162,139,5,1063,6074,96,833,16,51324,5874,0424
47,Czechia,7187,55,210,2,2152,4825,76,671,20,195725,18277,0424
48,Ukraine,7170,578,187,13,504,6479,45,164,4,72296,1653,0424
49,Philippines,6981,271,462,16,722,5797,1,64,4,72346,660,0424
50,Australia,6667,18,75,1,5045,1547,45,261,3,466659,18300,0424
51,Malaysia,5603,71,95,2,3542,1966,42,173,3,117406,3627,0424
52,Dominican Republic,5543,243,265,5,581,4697,135,511,24,18261,1683,0424
53,Panama,4992,171,144,3,255,4593,97,1157,33,22702,5261,0424
54,Colombia,4561,205,215,9,927,3419,98,90,4,71500,1405,0424
55,Finland,4284,155,172,23,2000,2112,60,773,31,71000,12814,0424
56,Bangladesh,4186,414,127,7,108,3951,1,25,08,36090,219,0424
57,South Africa,3953,318,75,10,1473,2405,36,67,1,143570,2421,0424
58,Egypt,3891,232,287,11,1004,2600,,38,3,90000,879,0424
59,Luxembourg,3665,11,83,3,728,2854,27,5855,133,36891,58933,0424
60,Morocco,3568,122,155,6,456,2957,1,97,4,21947,595,0424
61,Argentina,3435,147,165,6,919,2351,123,76,4,41786,925,0424
62,Algeria,3007,97,407,5,1355,1245,40,69,9,6500,148,0424
63,Moldova,2926,148,80,5,661,2185,212,725,20,11763,2916,0424
64,Thailand,2839,13,50,1,2430,359,61,41,07,142589,2043,0424
65,Greece,2463,55,125,4,577,1761,52,236,12,59241,5684,0424
66,Kuwait,2399,151,14,1,498,1887,55,562,3,,,0424
67,Kazakhstan,2289,154,20,1,560,1709,29,122,1,153492,8175,0424
68,Hungary,2284,116,239,14,390,1655,61,236,25,55390,5734,0424
69,Bahrain,2217,190,8,1,1082,1127,2,1303,5,100031,58787,0424
70,Croatia,1981,31,50,2,883,1048,19,483,12,28853,7028,0424
71,Iceland,1789,4,10,,1509,270,5,5243,29,45093,132143,0424
72,Uzbekistan,1758,42,7,,561,1190,8,53,02,210000,6274,0424
73,Oman,1716,102,9,1,307,1400,3,336,2,,,0424
74,Iraq,1677,46,83,,1171,423,,42,2,64882,1613,0424
75,Estonia,1592,33,45,1,192,1355,7,1200,34,45181,34059,0424
76,Azerbaijan,1548,30,20,,948,580,14,153,2,108221,10674,0424
77,Armenia,1523,50,24,,659,840,10,514,8,15960,5386,0424
78,New Zealand,1451,3,16,2,1065,370,2,301,3,101277,21002,0424
79,Bosnia and Herzegovina,1413,45,54,1,485,874,4,431,16,21432,6533,0424
80,Lithuania,1398,28,40,2,399,959,17,514,15,83591,30706,0424
81,Slovenia,1366,13,79,,211,1076,23,657,38,45703,21984,0424
82,Cameroon,1334,171,43,,668,623,33,50,2,,,0424
83,Slovakia,1325,81,15,1,288,1022,9,243,3,57421,10517,0424
84,North Macedonia,1300,41,56,,301,943,14,624,27,13649,6551,0424
85,Afghanistan,1279,103,42,2,179,1058,7,33,1,6422,165,0424
86,Cuba,1235,46,43,3,365,827,14,109,4,34243,3023,0424
87,Ghana,1154,,9,,99,1046,4,37,03,68591,2207,0424
88,Bulgaria,1097,73,52,3,190,855,37,158,7,27000,3886,0424
89,Hong Kong,1036,2,4,,699,333,9,138,05,131786,17579,0424
90,Ivory Coast,1004,52,14,,359,631,,38,05,,,0424
91,Djibouti,986,12,2,,252,732,,998,2,10619,10748,0424
92,Nigeria,981,108,31,3,197,753,2,5,02,8003,39,0424
93,Tunisia,918,9,38,,190,690,32,78,3,19411,1642,0424
94,Guinea,862,101,6,,170,686,,66,05,,,0424
95,Cyprus,795,5,13,,98,684,15,658,11,40745,33747,0424
96,Latvia,778,17,11,,133,634,6,412,6,41041,21759,0424
97,Andorra,723,,37,,333,353,17,9357,479,1673,21653,0424
98,Diamond Princess,712,,13,,645,54,4,,,,,0424
99,Lebanon,688,6,22,,140,526,46,101,3,24210,3547,0424
100,Costa Rica,686,5,6,,196,484,8,135,1,12073,2370,0424
101,Bolivia,672,63,40,3,44,588,3,58,3,4420,379,0424
102,Niger,671,9,24,2,256,391,,28,10,4832,200,0424
103,Albania,663,29,27,,385,251,4,230,9,6509,2262,0424
104,Kyrgyzstan,631,19,8,1,302,321,11,97,1,39615,6072,0424
105,Burkina Faso,616,7,41,2,410,165,,29,2,,,0424
106,Uruguay,549,,12,,337,200,10,158,3,14532,4183,0424
107,Channel Islands,521,23,29,1,295,197,,2997,167,3320,19095,0424
108,Honduras,519,9,47,1,31,441,10,52,5,2535,256,0424
109,San Marino,501,13,40,,63,398,3,14765,1179,1929,56851,0424
110,Palestine,480,6,4,,92,384,,94,08,27000,5293,0424
111,Senegal,479,37,6,,257,216,1,29,04,466,28,0424
112,Malta,445,1,3,,204,238,2,1008,7,26811,60721,0424
113,Jordan,437,2,7,,318,112,5,43,07,36000,3528,0424
114,Taiwan,427,1,6,,253,168,,18,03,58003,2435,0424
115,Georgia,425,9,5,,111,309,6,107,1,8375,2099,0424
116,Réunion,412,2,,,238,174,2,460,,,,0424
117,DRC,377,18,25,,47,305,,4,03,,,0424
118,Sri Lanka,368,38,7,,107,254,2,17,03,7393,345,0424
119,Guatemala,342,26,10,2,25,307,3,19,06,7200,402,0424
120,Mauritius,331,2,9,,266,56,3,260,7,12835,10092,0424
121,Somalia,328,42,16,8,8,304,2,21,1,,,0424
122,Mayotte,326,,4,,125,197,4,1195,15,2100,7698,0424
123,Kenya,320,17,14,,89,217,2,6,03,14704,273,0424
124,Montenegro,316,1,5,,123,188,7,503,8,5085,8096,0424
125,Mali,309,16,21,4,77,211,,15,1,2023,100,0424
126,Isle of Man,307,,16,1,221,70,20,3610,188,2674,31447,0424
127,Venezuela,298,,10,,122,166,4,10,04,347236,12211,0424
128,Tanzania,284,,10,,11,263,7,5,02,,,0424
129,Vietnam,268,,,,224,44,8,3,,206253,2119,0424
130,Jamaica,252,,6,,28,218,,85,2,2125,718,0424
131,El Salvador,250,13,8,1,67,175,2,39,1,15385,2372,0424
132,Paraguay,213,,9,,67,137,1,30,1,6598,925,0424
133,Equatorial Guinea,209,,1,,7,201,,149,07,854,609,0424
134,Faeroe Islands,187,2,,,178,9,,3827,,6375,130467,0424
