,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,Asia,396469,13312,15132,346,186275,195062,6310,,,,,0421
1,North America,851396,31313,45433,2096,89109,716854,15037,,,,,0421
2,Europe,1113096,23840,104491,2655,321521,687084,26126,,,,,0421
3,South America,86486,4234,4079,230,37059,45348,9053,,,,,0421
4,Oceania,8164,24,83,,5269,2812,53,,,,,0421
5,Africa,24171,1205,1164,39,6451,16556,177,,,,,0421
6,,721,,15,,644,62,7,,,,,0421
7,World,2480503,73928,170397,5366,646328,1663778,56763,318,219,,,0421
8,China,82747,12,4632,,77084,1031,81,57,3,,,0421
9,USA,792759,28123,42514,1939,72389,677856,13951,2395,128,4026360,12164,0421
10,Spain,200210,1536,20852,399,80587,98771,7371,4282,446,930230,19896,0421
11,Italy,181228,2256,24114,454,48877,108237,2573,2997,399,1398024,23122,0421
12,France,155383,2489,20265,547,37409,97709,5683,2380,310,463662,7103,0421
13,Germany,147065,1323,4862,220,91500,50703,2889,1755,58,1728357,20629,0421
14,UK,124743,4676,16509,449,,107890,1559,1838,243,501379,7386,0421
15,Turkey,90980,4674,2140,123,13430,75410,1909,1079,25,673980,7991,0421
16,Iran,83505,1294,5209,91,59273,19023,3389,994,62,353012,4203,0421
17,Russia,47121,4268,405,44,3446,43270,700,323,3,2053319,14070,0421
18,Brazil,40743,2089,2587,125,22130,16026,7919,192,12,291922,1373,0421
19,Belgium,39983,1487,5828,145,8895,25260,1071,3450,503,161896,13969,0421
20,Canada,36829,1773,1690,103,12586,22553,557,976,45,559578,14826,0421
21,Netherlands,33405,750,3751,67,,29404,1158,1950,219,171415,10004,0421
22,Switzerland,27944,204,1429,36,18600,7915,386,3229,165,224442,25933,0421
23,Portugal,20863,657,735,21,610,19518,215,2046,72,235878,23133,0421
24,India,18539,924,592,33,3273,14674,,13,04,401586,291,0421
25,Peru,16325,697,445,45,6968,8912,385,495,13,148011,4489,0421
26,Ireland,15652,401,687,77,77,14888,294,3170,139,90646,18358,0421
27,Austria,14795,46,470,18,10631,3694,194,1643,52,182949,20313,0421
28,Sweden,14777,392,1580,40,550,12647,521,1463,156,74600,7387,0421
29,Israel,13713,222,177,5,4049,9487,149,1584,20,240303,27763,0421
30,Japan,11135,338,263,27,1239,9633,217,88,2,116725,923,0421
31,S. Korea,10674,13,236,2,8114,2324,55,208,5,563035,10982,0421
32,Chile,10507,419,139,6,4676,5692,377,550,7,118827,6216,0421
33,Saudi Arabia,10484,1122,103,6,1490,8891,88,301,3,180000,5170,0421
34,Ecuador,10128,660,507,33,1150,8471,124,574,29,32453,1839,0421
35,Poland,9593,306,380,20,1133,8080,160,253,10,214236,5661,0421
36,Romania,8936,190,478,27,2017,6441,261,465,25,98491,5120,0421
37,Pakistan,8892,544,176,8,1970,6746,46,40,08,104302,472,0421
38,Mexico,8261,764,686,36,2627,4948,207,64,5,49570,384,0421
39,Singapore,8014,1426,11,,801,7202,23,1370,2,94796,16203,0421
40,Denmark,7515,131,364,9,4312,2839,84,1297,63,96244,16616,0421
41,UAE,7265,484,43,2,1360,5862,1,735,4,790000,79875,0421
42,Norway,7156,78,181,16,32,6943,58,1320,33,143255,26425,0421
43,Czechia,6900,154,194,8,1559,5147,84,644,18,172123,16073,0421
44,Indonesia,6760,185,590,8,747,5423,,25,2,43749,160,0421
45,Serbia,6630,312,125,3,870,5635,108,759,14,41812,4785,0421
46,Australia,6625,13,71,,4258,2296,49,260,3,431734,16931,0421
47,Philippines,6459,200,428,19,613,5418,1,59,4,59928,547,0421
48,Belarus,6264,1485,51,4,514,5699,92,663,5,102556,10853,0421
49,Qatar,6015,567,9,1,555,5451,37,2088,3,64620,22429,0421
50,Ukraine,5710,261,151,10,359,5200,45,131,3,58093,1328,0421
51,Malaysia,5425,36,89,,3295,2041,45,168,3,108216,3344,0421
52,Dominican Republic,4964,284,235,9,416,4313,128,458,22,57809,5329,0421
53,Panama,4467,194,126,6,165,4176,98,1035,29,19091,4425,0421
54,Colombia,3977,185,189,10,804,2984,98,78,4,62746,1233,0421
55,Finland,3868,85,98,4,2000,1770,67,698,18,59200,10685,0421
56,Luxembourg,3558,8,75,2,637,2846,32,5684,120,33798,53992,0421
57,Egypt,3333,189,250,11,821,2262,,33,2,55000,537,0421
58,South Africa,3300,142,58,4,1055,2187,36,56,10,121510,2049,0421
59,Morocco,3046,191,143,2,350,2553,1,83,4,16386,444,0421
60,Argentina,3031,90,142,8,737,2152,123,67,3,34568,765,0421
61,Bangladesh,2948,492,101,10,85,2762,1,18,06,26604,162,0421
62,Thailand,2792,27,47,,1999,746,61,40,07,142589,2043,0421
63,Algeria,2718,89,384,9,1099,1235,40,62,9,6500,148,0421
64,Moldova,2548,76,70,3,457,2021,212,632,17,11763,2916,0421
65,Greece,2245,10,116,3,269,1860,61,215,11,54344,5214,0421
66,Kuwait,1995,80,9,2,367,1619,39,467,2,,,0421
67,Hungary,1984,68,199,10,267,1518,60,205,21,48057,4975,0421
68,Bahrain,1907,26,7,,769,1131,2,1121,4,89225,52437,0421
69,Croatia,1881,10,47,,771,1063,18,458,11,26610,6482,0421
70,Kazakhstan,1852,176,19,2,447,1386,22,99,1,117949,6282,0421
71,Iceland,1773,2,10,1,1362,401,4,5196,29,43143,126429,0421
72,Uzbekistan,1627,62,5,,261,1361,8,49,01,136000,4063,0421
73,Iraq,1574,35,82,,1043,449,,39,2,59055,1468,0421
74,Estonia,1535,7,40,,165,1330,9,1157,30,40930,30855,0421
75,New Zealand,1440,9,12,,974,454,2,299,2,86305,17897,0421
76,Azerbaijan,1436,38,19,,791,626,16,142,2,95747,9443,0421
77,Oman,1410,144,7,,238,1165,3,276,1,,,0421
78,Armenia,1339,48,22,2,580,737,30,452,7,13373,4513,0421
79,Slovenia,1335,5,77,3,193,1065,26,642,37,41802,20107,0421
80,Lithuania,1326,28,37,2,242,1047,17,487,14,66352,24374,0421
81,Bosnia and Herzegovina,1309,24,49,1,381,879,4,399,15,18538,5650,0421
82,North Macedonia,1225,18,54,3,200,971,9,588,26,11870,5697,0421
83,Slovakia,1173,12,13,1,251,909,8,215,2,46734,8560,0421
84,Cameroon,1163,146,42,,305,816,33,44,2,,,0421
85,Cuba,1087,52,36,2,285,766,9,96,3,28598,2525,0421
86,Ghana,1042,,9,,99,934,4,34,03,68591,2207,0421
87,Afghanistan,1026,30,36,3,135,855,7,26,09,6422,165,0421
88,Hong Kong,1026,,4,,630,392,8,137,05,131786,17579,0421
89,Bulgaria,929,35,43,1,167,719,34,134,6,26417,3802,0421
90,Tunisia,884,5,38,,148,698,34,75,3,17287,1463,0421
91,Ivory Coast,879,32,10,1,287,582,,33,04,,,0421
92,Djibouti,846,,2,,102,742,,856,2,8144,8243,0421
93,Cyprus,772,5,12,,81,679,15,639,10,34087,28233,0421
94,Latvia,739,12,5,,88,646,5,392,3,36668,19440,0421
95,Andorra,717,4,37,1,248,432,17,9280,479,1673,21653,0421
96,Diamond Princess,712,,13,,644,55,7,,,,,0421
97,Lebanon,677,4,21,,103,553,27,99,3,20929,3066,0421
98,Nigeria,665,38,22,1,188,455,2,3,01,7153,35,0421
99,Costa Rica,662,2,6,1,124,532,8,130,1,10879,2136,0421
100,Niger,648,,20,,117,511,,27,08,4715,195,0421
101,Guinea,622,43,5,,122,495,,47,04,,,0421
102,Albania,584,22,26,,327,231,5,203,9,5775,2007,0421
103,Burkina Faso,581,5,38,2,357,186,,28,2,,,0421
104,Kyrgyzstan,568,14,7,2,201,360,5,87,1,26147,4008,0421
105,Bolivia,564,44,33,1,31,500,3,48,3,3569,306,0421
106,Uruguay,535,18,10,,313,212,13,154,3,13396,3856,0421
107,Channel Islands,488,,24,3,73,391,,2807,138,3320,19095,0421
108,Honduras,477,5,46,,25,406,10,48,5,2535,256,0421
109,San Marino,462,1,39,,61,362,4,13616,1149,1726,50868,0421
110,Palestine,449,10,3,,71,375,,88,06,17329,3397,0421
111,Malta,431,4,3,,126,302,2,976,7,24919,56436,0421
112,Jordan,425,8,7,,282,136,5,42,07,33000,3234,0421
113,Taiwan,422,2,6,,203,213,,18,03,53632,2252,0421
114,Réunion,408,,,,237,171,4,456,,,,0421
115,Georgia,402,8,4,,95,303,6,101,1,7611,1908,0421
116,Senegal,377,10,5,2,235,137,1,23,03,,,0421
117,DRC,332,5,25,,27,280,,4,03,,,0421
118,Mauritius,328,,9,,224,95,3,258,7,9755,7670,0421
119,Montenegro,312,4,5,,88,219,7,497,8,3874,6168,0421
120,Sri Lanka,304,33,7,,98,199,1,14,03,6463,302,0421
121,Isle of Man,300,2,9,3,200,91,15,3528,106,2509,29506,0421
122,Guatemala,289,32,7,,21,261,3,16,04,7200,402,0421
123,Venezuela,285,29,10,1,117,158,4,10,04,347236,12211,0421
124,Kenya,281,11,14,,69,198,2,5,03,13872,258,0421
125,Mayotte,271,,4,,117,150,5,993,15,1850,6781,0421
126,Vietnam,268,,,,214,54,8,3,,206253,2119,0421
127,Tanzania,254,84,10,3,11,233,4,4,02,,,0421
128,Mali,246,22,14,,56,176,,12,07,,,0421
129,Somalia,237,73,8,1,4,225,2,15,05,,,0421
130,Jamaica,223,50,5,,27,191,,75,2,1809,611,0421
131,El Salvador,218,17,7,,46,165,2,34,1,12210,1882,0421
132,Paraguay,208,2,8,,46,154,1,29,1,4950,694,0421
133,Faeroe Islands,185,,,,176,9,,3786,,6021,123222,0421
134,Martinique,163,,12,,73,78,11,434,32,,,0421
135,Congo,160,17,6,,16,138,,29,1,,,0421
136,Guadeloupe,148,,8,,73,67,13,370,20,,,0421
137,Rwanda,147,,,,76,71,,11,,6959,537,0421
138,Brunei ,138,,1,,116,21,2,315,2,11633,26591,0421
