,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0, China ,59828,15426,1367,255,6210,8024,,-1,-1,-1,-1,0213
1, Japan ,251,49,1,1,10,4,,-1,-1,-1,-1,0213
2, Singapore ,58,11,,,15,8,,-1,-1,-1,-1,0213
3, Hong Kong ,53,4,1,,1,2,,-1,-1,-1,-1,0213
4, Thailand ,33,,,,12,1,,-1,-1,-1,-1,0213
5, S. Korea ,28,,,,7,,,-1,-1,-1,-1,0213
6, Malaysia ,19,1,,,3,,,-1,-1,-1,-1,0213
7, Taiwan ,18,,,,1,,,-1,-1,-1,-1,0213
8, Germany ,16,,,,1,,,-1,-1,-1,-1,0213
9, Vietnam ,16,1,,,7,,,-1,-1,-1,-1,0213
10, USA ,15,2,,,3,,,-1,-1,-1,-1,0213
11, Australia ,15,,,,8,,,-1,-1,-1,-1,0213
12, France ,11,,,,2,1,,-1,-1,-1,-1,0213
13, Macao ,10,,,,3,,,-1,-1,-1,-1,0213
14, U.K. ,9,1,,,1,,,-1,-1,-1,-1,0213
15, U.A.E. ,8,,,,1,1,,-1,-1,-1,-1,0213
16, Canada ,7,,,,1,,,-1,-1,-1,-1,0213
17, India ,5,2,,,1,,,-1,-1,-1,-1,0213
18, Philippines ,3,,1,,2,,,-1,-1,-1,-1,0213
19, Italy ,3,,,,,2,,-1,-1,-1,-1,0213
20, Russia ,2,,,,2,,,-1,-1,-1,-1,0213
21, Spain ,2,,,,,,,-1,-1,-1,-1,0213
22, Sri Lanka ,1,,,,1,,,-1,-1,-1,-1,0213
23, Finland ,1,,,,1,,,-1,-1,-1,-1,0213
24, Cambodia ,1,,,,1,,,-1,-1,-1,-1,0213
25, Belgium ,1,,,,,,,-1,-1,-1,-1,0213
26, Sweden ,1,,,,,,,-1,-1,-1,-1,0213
