,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,Asia,275087,11148,10227,330,134030,130830,6572,,,,,0411
1,North America,536841,36063,19822,2135,34452,482567,11906,,,,,0411
2,Europe,820109,41257,70063,4245,196782,553264,30232,,,,,0411
3,South America,44976,5371,1809,194,4619,38548,876,,,,,0411
4,Oceania,7608,131,56,4,3515,4037,79,,,,,0411
5,Africa,13539,659,697,65,2237,10605,153,,,,,0411
6,,721,,13,,619,89,10,,,,,0411
7,World,1698881,94629,102687,6973,376254,1219940,49828,218,132,,,0411
8,China,81953,46,3339,3,77525,1089,141,57,2,,,0411
9,USA,502876,33752,18747,2035,27314,456815,10917,1519,57,2538888,7670,0411
10,Spain,158273,5051,16081,634,55668,86524,7371,3385,344,355000,7593,0411
11,Italy,147577,3951,18849,570,30455,98273,3497,2441,312,906864,14999,0411
12,France,124869,7120,13197,987,24932,86740,7004,1913,202,333807,5114,0411
13,Germany,122171,3936,2736,129,53913,65522,4895,1458,33,1317887,15730,0411
14,UK,73758,8681,8958,980,344,64456,1559,1086,132,316836,4667,0411
15,Iran,68192,1972,4232,122,35465,28495,3969,812,50,242568,2888,0411
16,Turkey,47029,4747,1006,98,2423,43600,1667,558,12,307210,3643,0411
17,Belgium,26667,1684,3019,496,5568,18080,1278,2301,260,84248,7269,0411
18,Switzerland,24551,500,1002,54,11100,12449,386,2837,116,178500,20625,0411
19,Netherlands,23097,1335,2511,115,250,20336,1424,1348,147,101534,5926,0411
20,Canada,22148,1383,569,60,6013,15566,557,587,15,370315,9812,0411
21,Brazil,19789,1644,1068,114,173,18548,296,93,5,62985,296,0411
22,Portugal,15472,1516,435,26,233,14804,226,1517,43,140863,13815,0411
23,Austria,13560,316,319,24,6064,7177,261,1506,35,134743,14961,0411
24,Russia,11917,1786,94,18,795,11028,8,82,06,1090000,7469,0411
25,S. Korea,10450,27,208,4,7117,3125,55,204,4,503051,9812,0411
26,Israel,10408,440,95,9,1183,9130,124,1202,11,117339,13557,0411
27,Sweden,9685,544,870,77,381,8434,749,959,86,54700,5416,0411
28,Ireland,8089,1515,287,24,25,7777,194,1638,58,53000,10734,0411
29,India,7600,875,249,22,774,6577,,6,02,189111,137,0411
30,Ecuador,7161,2196,297,25,368,6496,171,406,17,21568,1222,0411
31,Chile,6501,529,65,8,1571,4865,70,340,3,72797,3808,0411
32,Norway,6314,95,113,5,32,6169,70,1165,21,123170,22720,0411
