,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,World,1346036,73135,74654,5227,278534,992848,47459,173,96,,,0407
1,China,81740,32,3331,,77167,1242,211,57,2,,,0407
2,USA,367004,30331,10871,1255,19671,336462,8879,1109,33,1914540,5784,0407
3,Spain,136675,5029,13341,700,40437,82897,6931,2923,285,355000,7593,0407
4,Italy,132547,3599,16523,636,22837,93187,3898,2192,273,721732,11937,0407
5,Germany,103375,3252,1810,226,28700,72865,4895,1234,22,918460,10962,0407
6,France,98010,5171,8911,833,17250,71849,7072,1502,137,224254,3436,0407
7,Iran,60500,2274,3739,136,24236,32525,4083,720,45,186000,2214,0407
8,UK,51608,3802,5373,439,135,46100,1559,760,79,252958,3726,0407
9,Turkey,30217,3148,649,75,1326,28242,1415,358,8,202845,2405,0407
10,Switzerland,21657,557,765,50,8056,12836,391,2502,88,162500,18776,0407
11,Belgium,20814,1123,1632,185,3986,15196,1257,1796,141,70000,6040,0407
12,Netherlands,18803,952,1867,101,250,16686,1409,1097,109,86589,5053,0407
13,Canada,16667,1155,323,43,3616,12728,426,442,9,330901,8767,0407
14,Austria,12297,246,220,16,3463,8614,250,1365,24,111296,12357,0407
15,Brazil,12183,929,564,78,127,11492,296,57,3,54824,258,0407
16,Portugal,11730,452,311,16,140,11279,270,1150,31,110000,10788,0407
17,S. Korea,10284,47,186,3,6598,3500,55,201,4,461233,8996,0407
18,Israel,8904,474,57,8,585,8262,140,1029,7,109724,12677,0407
19,Sweden,7206,376,477,76,205,6524,590,714,47,36900,3654,0407
20,Russia,6343,954,47,2,406,5890,8,43,03,758000,5194,0407
21,Australia,5895,145,45,8,2432,3418,96,231,2,303536,11903,0407
22,Norway,5865,178,76,5,32,5757,83,1082,14,111299,20530,0407
23,Ireland,5364,370,174,16,25,5165,165,1086,35,30213,6119,0407
24,Czechia,4822,235,78,11,121,4623,84,450,7,85014,7939,0407
25,Chile,4815,344,37,3,728,4050,327,252,2,54864,2870,0407
26,India,4778,489,136,18,375,4267,,3,010,140293,102,0407
27,Denmark,4681,312,187,8,1378,3116,144,808,32,52936,9139,0407
28,Poland,4413,311,107,13,162,4144,50,117,3,85467,2258,0407
29,Romania,4057,193,176,25,406,3475,179,211,9,40987,2131,0407
30,Japan,3906,252,92,7,592,3222,64,31,07,46172,365,0407
31,Malaysia,3793,131,62,1,1241,2490,102,117,2,55566,1717,0407
32,Pakistan,3766,609,53,6,259,3454,17,17,02,35875,162,0407
33,Ecuador,3747,101,191,11,100,3456,156,212,11,13039,739,0407
34,Philippines,3660,414,163,11,73,3424,1,33,1,22958,210,0407
35,Luxembourg,2843,39,41,5,500,2302,33,4542,65,24291,38805,0407
36,Saudi Arabia,2605,203,38,4,551,2016,41,75,1,,,0407
37,Peru,2561,280,92,9,997,1472,89,78,3,20414,619,0407
38,Indonesia,2491,218,209,11,192,2090,,9,08,11460,42,0407
39,Thailand,2220,51,26,3,793,1401,23,32,04,25071,359,0407
40,Serbia,2200,292,58,7,118,2024,101,252,7,8552,979,0407
41,Finland,2176,249,27,,300,1849,81,393,5,32800,5920,0407
42,Mexico,2143,253,94,15,633,1416,293,17,07,18034,140,0407
43,Panama,2100,299,55,9,14,2031,88,487,13,10297,2386,0407
44,UAE,2076,277,11,1,167,1898,1,210,1,220000,22244,0407
45,Qatar,1832,228,4,,131,1697,37,636,1,38108,13227,0407
46,Dominican Republic,1828,83,86,4,33,1709,147,169,8,4542,419,0407
47,Greece,1755,20,79,6,269,1407,90,168,8,26193,2513,0407
48,South Africa,1686,31,12,1,95,1579,7,28,02,58098,980,0407
49,Argentina,1628,74,53,7,325,1250,94,36,1,10709,237,0407
50,Colombia,1579,94,46,11,88,1445,50,31,09,27685,544,0407
51,Iceland,1562,76,6,2,460,1096,11,4577,18,27880,81701,0407
52,Algeria,1423,103,173,21,90,1160,46,32,4,3359,77,0407
53,Singapore,1375,66,6,,344,1025,25,235,1,65000,11110,0407
54,Egypt,1322,149,85,7,259,978,,13,08,25000,244,0407
55,Ukraine,1319,11,38,1,28,1253,16,30,09,5864,134,0407
56,Croatia,1222,40,16,1,130,1076,36,298,4,11464,2793,0407
57,Morocco,1120,99,80,10,81,959,1,30,2,5104,138,0407
58,Estonia,1108,11,19,4,62,1027,14,835,14,21866,16484,0407
59,New Zealand,1106,67,1,,176,929,3,229,02,39918,8278,0407
60,Iraq,1031,70,64,3,344,623,,26,2,,,0407
61,Slovenia,1021,24,30,2,102,889,30,491,14,28253,13590,0407
62,Moldova,965,101,19,4,37,909,80,239,5,,,0407
63,Hong Kong,915,24,4,,216,695,12,122,05,96709,12900,0407
64,Lithuania,843,32,15,2,8,820,11,310,6,25599,9403,0407
65,Armenia,833,11,8,1,62,763,30,281,3,4929,1663,0407
66,Bahrain,756,56,4,,458,294,4,444,2,47684,28023,0407
67,Hungary,744,11,38,4,67,639,17,77,4,22282,2307,0407
68,Diamond Princess,712,,11,,619,82,10,,,,,0407
69,Belarus,700,138,13,5,53,634,11,74,1,40000,4233,0407
70,Bosnia and Herzegovina,674,20,29,6,47,598,4,205,9,5934,1809,0407
71,Kuwait,665,109,1,,103,561,20,156,02,,,0407
72,Kazakhstan,662,78,6,,46,610,16,35,03,5093,271,0407
73,Cameroon,658,8,9,,17,632,,25,03,,,0407
74,Azerbaijan,641,57,7,,44,590,11,63,07,45000,4438,0407
75,Tunisia,596,22,22,,5,569,39,50,2,7725,654,0407
76,North Macedonia,570,15,23,5,30,517,15,274,11,5291,2540,0407
77,Bulgaria,549,18,22,2,39,488,26,79,3,15899,2288,0407
78,Latvia,542,9,1,,16,525,5,287,05,21453,11374,0407
79,Lebanon,541,14,19,1,60,462,27,79,3,9653,1414,0407
80,Slovakia,534,49,2,1,8,524,3,98,04,16191,2966,0407
81,Andorra,525,24,21,3,31,473,12,6795,272,,,0407
82,Costa Rica,467,13,2,,18,447,14,92,04,5363,1053,0407
83,Cyprus,465,19,9,,45,411,11,385,7,11664,9661,0407
84,Uzbekistan,457,115,2,,30,425,8,14,006,,,0407
85,Uruguay,415,9,6,,123,286,14,119,2,5385,1550,0407
86,Albania,377,16,21,1,116,240,7,131,7,2571,893,0407
87,Taiwan,373,10,5,,57,311,,16,02,37219,1563,0407
88,Afghanistan,367,18,11,4,18,338,,9,03,,,0407
89,Burkina Faso,364,19,18,1,108,238,,17,09,,,0407
90,Cuba,350,30,9,1,18,323,12,31,08,5234,462,0407
91,Jordan,349,4,6,1,126,217,5,34,06,17000,1666,0407
92,Réunion,349,5,,,40,309,4,390,,,,0407
93,Oman,331,33,2,,61,268,3,65,04,,,0407
94,Channel Islands,323,14,7,1,27,289,,1858,40,1157,6655,0407
95,Ivory Coast,323,62,3,,41,279,,12,01,,,0407
96,Honduras,298,30,22,,6,270,10,30,2,,,0407
