,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,China,81285,67,3287,6,74051,3947,1235,56,2,-1,-1,0326
1,Italy,74386,5210,7503,683,9362,57521,3489,1230,124,-1,-1,0326
2,USA,68211,13355,1027,247,394,66790,1452,206,3,-1,-1,0326
3,Spain,49515,7457,3647,656,5367,40501,3166,1059,78,-1,-1,0326
4,Germany,37323,4332,206,47,3547,33570,23,445,2,-1,-1,0326
5,Iran,27017,2206,2077,143,9625,15315,,322,25,-1,-1,0326
6,France,25233,2929,1331,231,3900,20002,2827,387,20,-1,-1,0326
7,Switzerland,10897,1020,153,31,131,10613,141,1259,18,-1,-1,0326
8,UK,9529,1452,463,41,135,8931,163,140,7,-1,-1,0326
9,S. Korea,9137,100,126,6,3730,5281,59,178,2,-1,-1,0326
10,Netherlands,6412,852,356,80,3,6053,582,374,21,-1,-1,0326
11,Austria,5588,305,31,3,9,5548,28,620,3,-1,-1,0326
12,Belgium,4937,668,178,56,547,4212,474,426,15,-1,-1,0326
13,Canada,3409,617,36,10,185,3188,1,90,10,-1,-1,0326
14,Norway,3084,218,14,2,6,3064,57,569,3,-1,-1,0326
15,Portugal,2995,633,43,10,22,2930,61,294,4,-1,-1,0326
16,Australia,2676,359,11,3,118,2547,11,105,04,-1,-1,0326
17,Brazil,2554,307,59,13,2,2493,18,12,03,-1,-1,0326
18,Sweden,2526,227,62,22,16,2448,158,250,6,-1,-1,0326
19,Turkey,2433,561,59,15,26,2348,136,29,07,-1,-1,0326
20,Israel,2369,439,5,2,58,2306,37,274,06,-1,-1,0326
21,Malaysia,1796,172,20,4,199,1577,64,55,06,-1,-1,0326
22,Denmark,1724,133,34,2,1,1689,87,298,6,-1,-1,0326
23,Czechia,1654,260,6,3,10,1638,19,154,06,-1,-1,0326
24,Ireland,1564,235,9,2,5,1550,39,317,2,-1,-1,0326
25,Luxembourg,1333,234,8,,6,1319,3,2129,13,-1,-1,0326
26,Japan,1307,114,45,2,310,952,57,10,04,-1,-1,0326
27,Ecuador,1211,129,29,2,3,1179,2,69,2,-1,-1,0326
28,Chile,1142,220,3,1,22,1117,7,60,02,-1,-1,0326
29,Pakistan,1063,91,8,1,21,1034,5,5,004,-1,-1,0326
30,Poland,1051,150,14,4,7,1030,3,28,04,-1,-1,0326
31,Thailand,934,107,4,,70,860,11,13,006,-1,-1,0326
32,Romania,906,112,17,5,86,803,18,47,09,-1,-1,0326
33,Saudi Arabia,900,133,2,1,29,869,,26,006,-1,-1,0326
34,Finland,880,88,3,2,10,867,22,159,05,-1,-1,0326
35,Greece,821,78,22,2,36,763,53,79,2,-1,-1,0326
36,Indonesia,790,104,58,3,31,701,,3,02,-1,-1,0326
37,Iceland,737,89,2,,56,679,11,2160,6,-1,-1,0326
38,Diamond Princess,712,,10,,597,105,15,,,-1,-1,0326
39,South Africa,709,155,,,12,697,2,12,,-1,-1,0326
40,Russia,658,163,3,2,29,626,8,5,002,-1,-1,0326
41,India,657,121,12,2,43,602,,05,001,-1,-1,0326
42,Philippines,636,84,38,3,26,572,1,6,03,-1,-1,0326
43,Singapore,631,73,2,,160,469,17,108,03,-1,-1,0326
44,Panama,558,115,8,2,2,548,20,129,2,-1,-1,0326
45,Qatar,537,11,,,41,496,6,186,,-1,-1,0326
46,Slovenia,528,48,5,1,10,513,14,254,2,-1,-1,0326
47,Argentina,502,115,8,2,52,442,,11,02,-1,-1,0326
48,Peru,480,64,9,2,1,470,9,15,03,-1,-1,0326
49,Colombia,470,92,4,1,8,458,,9,008,-1,-1,0326
50,Egypt,456,54,21,1,95,340,,4,02,-1,-1,0326
51,Croatia,442,60,1,,22,419,6,108,02,-1,-1,0326
52,Bahrain,419,27,4,1,177,238,2,246,2,-1,-1,0326
53,Hong Kong,411,24,4,,102,305,4,55,05,-1,-1,0326
54,Mexico,405,38,5,1,4,396,1,3,004,-1,-1,0326
55,Estonia,404,35,1,1,8,395,6,305,08,-1,-1,0326
56,Dominican Republic,392,80,10,4,3,379,,36,09,-1,-1,0326
