,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0, China ,80851,7,3199,,66934,10718,3226,562,-1,-1,-1,0315
1, Italy ,24747,3590,1809,368,2335,20603,1672,4093,-1,-1,-1,0315
2, Iran ,13938,1209,724,113,4590,8624,,1659,-1,-1,-1,0315
3, S. Korea ,8162,76,75,3,834,7253,59,1592,-1,-1,-1,0315
4, Spain ,7845,1454,292,96,517,7036,272,1678,-1,-1,-1,0315
5, Germany ,5813,1214,11,2,46,5756,2,694,-1,-1,-1,0315
6, France ,5423,924,127,36,12,5284,400,831,-1,-1,-1,0315
7, USA ,3680,737,68,11,59,3553,10,111,-1,-1,-1,0315
8, Switzerland ,2217,842,14,1,4,2199,,2562,-1,-1,-1,0315
9, UK ,1391,251,35,14,20,1336,20,205,-1,-1,-1,0315
10, Norway ,1254,145,3,,1,1250,27,2313,-1,-1,-1,0315
11, Netherlands ,1135,176,20,8,2,1113,45,662,-1,-1,-1,0315
12, Sweden ,1040,79,3,1,1,1036,2,1030,-1,-1,-1,0315
13, Belgium ,886,197,4,,1,881,33,764,-1,-1,-1,0315
14, Denmark ,864,28,2,1,1,861,2,1492,-1,-1,-1,0315
15, Austria ,860,205,1,,6,853,1,955,-1,-1,-1,0315
16, Japan ,839,35,24,2,144,671,36,66,-1,-1,-1,0315
17, Diamond Princess ,696,,7,,456,233,15,,-1,-1,-1,0315
18, Malaysia ,428,190,,,42,386,9,132,-1,-1,-1,0315
19, Qatar ,401,64,,,4,397,,1392,-1,-1,-1,0315
20, Canada ,341,89,1,,11,329,1,90,-1,-1,-1,0315
21, Greece ,331,103,4,1,8,319,5,318,-1,-1,-1,0315
22, Australia ,300,52,5,2,27,268,1,118,-1,-1,-1,0315
23, Czechia ,293,104,,,,293,2,274,-1,-1,-1,0315
24, Portugal ,245,76,,,2,243,9,240,-1,-1,-1,0315
