,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,Asia,634831,16327,21501,296,349156,264174,5115,,,,,0510
1,North America,1442750,33432,87090,2129,277874,1077786,18147,,,,,0510
2,Europe,1581256,27556,150514,2053,628115,802627,15176,,,,,0510
3,South America,282175,16063,14577,994,99221,168377,10013,,,,,0510
4,Africa,59050,3731,2161,78,19839,37050,223,,,,,0510
5,Oceania,8508,19,118,,7522,868,25,,,,,0510
6,,721,,15,,645,61,4,,,,,0510
7,World,4009291,97128,275976,5550,1382372,2350943,48703,514,354,,,0510
8,China,82886,1,4633,,77993,260,18,58,3,,,0510
9,USA,1321785,29162,78615,1687,223603,1019567,16978,3993,238,8636435,26092,0510
10,Spain,260117,3262,26299,229,168408,65410,2075,5563,562,1932455,41332,0510
11,Italy,217185,1327,30201,243,99023,87961,1168,3592,500,2445063,40440,0510
12,UK,211364,4649,31241,626,,179779,1559,3114,460,1631561,24034,0510
13,Russia,187859,10699,1723,98,26608,159528,2300,1287,12,4980000,34125,0510
14,France,176079,1288,26230,243,55782,94067,2868,2698,402,1384633,21213,0510
15,Germany,170588,1158,7510,118,141700,21378,1712,2036,90,2755770,32891,0510
16,Brazil,145892,10199,9992,804,59297,76603,8318,686,47,339552,1597,0510
17,Turkey,135569,1848,3689,48,86396,45484,1219,1607,44,1298806,15400,0510
18,Iran,104691,1556,6541,55,83837,14313,2711,1246,78,558899,6654,0510
19,Canada,66434,1512,4569,161,30406,31459,502,1760,121,1032088,27346,0510
20,Peru,61847,3321,1714,87,19012,41121,730,1876,52,473190,14351,0510
21,India,59695,3344,1985,96,17887,39823,,43,1,1437788,1042,0510
22,Belgium,52011,591,8521,106,13201,30289,508,4488,735,515233,44456,0510
23,Netherlands,42093,319,5359,71,,36484,564,2457,313,249655,14570,0510
24,Saudi Arabia,35432,1701,229,10,9120,26083,141,1018,7,418722,12027,0510
25,Switzerland,30207,81,1823,13,26100,2284,101,3490,211,301675,34857,0510
26,Mexico,29616,1982,2961,257,17781,8874,378,230,23,110916,860,0510
27,Ecuador,28818,,1704,50,3433,23681,156,1633,97,82312,4665,0510
28,Portugal,27268,553,1114,9,2422,23732,127,2674,109,501718,49204,0510
29,Pakistan,26435,1791,599,14,7530,18306,111,120,3,257247,1165,0510
30,Chile,25972,1391,294,9,12160,13518,508,1359,15,255961,13390,0510
31,Sweden,25265,642,3175,135,4971,17119,425,2502,314,148500,14704,0510
32,Ireland,22541,156,1429,26,17110,4002,76,4565,289,214761,43493,0510
33,Singapore,21707,768,20,,2040,19647,22,3710,3,175604,30016,0510
34,Belarus,21101,933,121,5,5484,15496,92,2233,13,240146,25414,0510
35,Qatar,20201,1311,12,,2370,17819,72,7012,4,120458,41810,0510
36,UAE,16793,553,174,9,3837,12782,1,1698,18,1200000,121330,0510
37,Israel,16436,55,245,5,11229,4962,78,1899,28,442925,51172,0510
38,Austria,15774,22,614,5,13836,1324,81,1751,68,304069,33761,0510
39,Japan,15575,98,590,13,5146,9839,300,123,5,202013,1597,0510
40,Poland,15366,319,776,21,5184,9406,160,406,21,443506,11719,0510
41,Romania,14811,312,923,35,6423,7465,232,770,48,237280,12334,0510
42,Ukraine,14195,504,361,21,2706,11128,178,325,8,159155,3639,0510
43,Bangladesh,13134,709,206,7,2101,10827,1,80,1,111401,676,0510
44,Indonesia,13112,336,943,13,2494,9675,,48,3,143781,526,0510
45,S. Korea,10822,12,256,,9484,1082,55,211,5,654863,12773,0510
46,Philippines,10463,120,696,11,1734,8033,31,95,6,151080,1379,0510
47,Denmark,10218,135,522,8,7927,1769,43,1764,90,298488,51533,0510
48,Colombia,10051,595,428,21,2424,7199,130,198,8,139739,2746,0510
49,Serbia,9943,95,209,3,2453,7281,45,1138,24,128805,14742,0510
50,Dominican Republic,9376,281,380,7,2286,6710,134,864,35,38543,3553,0510
51,South Africa,8895,663,178,17,3153,5564,77,150,3,307752,5189,0510
52,Egypt,8476,495,503,21,1945,6028,41,83,5,90000,879,0510
53,Czechia,8077,46,273,3,4413,3391,258,754,25,293992,27453,0510
54,Norway,8070,36,218,1,32,7820,27,1489,40,195921,36140,0510
55,Panama,7868,137,225,7,886,6757,85,1824,52,39093,9060,0510
56,Kuwait,7208,641,47,3,2466,4695,91,1688,11,196397,45988,0510
57,Australia,6914,18,97,,6079,738,21,271,4,757250,29696,0510
58,Malaysia,6535,68,107,,4864,1564,18,202,3,245102,7573,0510
59,Finland,5738,65,260,5,4000,1478,45,1036,47,116500,21026,0510
60,Morocco,5711,163,186,3,2324,3201,1,155,5,59871,1622,0510
61,Argentina,5611,240,293,11,1659,3659,148,124,6,77901,1724,0510
62,Algeria,5369,187,488,5,2467,2414,22,122,11,6500,148,0510
63,Kazakhstan,4834,256,31,1,1631,3172,31,257,2,371126,19765,0510
64,Moldova,4728,123,150,5,1826,2752,237,1172,37,20447,5069,0510
65,Bahrain,4444,245,8,,2028,2408,2,2612,5,172158,101176,0510
66,Ghana,4012,921,18,,323,3671,8,129,06,149948,4826,0510
67,Nigeria,3912,386,117,10,679,3116,4,19,06,23835,116,0510
68,Luxembourg,3871,12,100,,3526,245,16,6184,160,53257,85078,0510
69,Afghanistan,3778,215,109,3,472,3197,7,97,3,14389,370,0510
70,Hungary,3178,28,392,9,865,1921,74,329,41,99058,10254,0510
71,Oman,3112,154,16,1,1025,2071,17,609,3,50000,9791,0510
72,Armenia,3029,145,43,1,1218,1768,10,1022,15,29205,9856,0510
73,Thailand,3000,8,55,,2784,161,61,43,08,227860,3264,0510
74,Greece,2691,13,150,2,1374,1167,32,258,14,94991,9114,0510
75,Iraq,2603,60,104,2,1661,838,,65,3,122941,3057,0510
76,Uzbekistan,2325,27,10,,1775,540,8,69,03,325000,9710,0510
77,Azerbaijan,2279,75,28,,1576,675,18,225,3,181530,17904,0510
78,Cameroon,2267,,108,,1002,1157,12,85,4,,,0510
79,Croatia,2161,36,86,,1689,386,13,526,21,43378,10566,0510
80,Bolivia,2081,195,102,11,219,1760,3,178,9,7651,655,0510
