,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,Asia,472267,11603,17243,292,228083,226941,6050,,,,,0427
1,North America,1064603,29589,59955,1356,146046,858602,16402,,,,,0427
2,Europe,1276808,24311,121885,1767,436194,718729,25260,,,,,0427
3,South America,137920,6771,6289,285,49653,81978,9699,,,,,0427
4,Oceania,8286,29,101,3,6772,1413,45,,,,,0427
5,Africa,32657,1555,1427,48,10018,21212,140,,,,,0427
6,,721,,15,,645,61,4,,,,,0427
7,World,2993262,73858,206915,3751,877411,1908936,57600,384,265,,,0427
8,China,82827,11,4632,,77394,801,51,58,3,,,0427
9,USA,987160,26509,55413,1157,118781,812966,15143,2982,167,5470464,16527,0427
10,Spain,226629,2870,23190,288,117727,85712,7764,4847,496,1199548,25656,0427
11,Italy,197675,2324,26644,260,64928,106103,2009,3269,441,1757659,29071,0427
12,France,162100,612,22856,242,44903,94341,4682,2483,350,463662,7103,0427
13,Germany,157770,1257,5976,99,112000,39794,2570,1883,71,2072669,24738,0427
14,UK,152840,4463,20732,413,,131764,1559,2251,305,669850,9867,0427
15,Turkey,110130,2357,2805,99,29140,78185,1776,1306,33,898742,10656,0427
16,Iran,90481,1153,5710,60,69657,15114,3079,1077,68,421313,5016,0427
17,Russia,80949,6361,747,66,6767,73435,2300,555,5,2877699,19719,0427
18,Brazil,62859,3663,4271,226,30152,28436,8318,296,20,291922,1373,0427
19,Canada,46895,1541,2560,95,17321,27014,557,1243,68,691663,18326,0427
20,Belgium,46134,809,7094,177,10785,28255,891,3981,612,189067,16313,0427
21,Netherlands,37845,655,4475,66,,33120,934,2209,261,193950,11319,0427
22,Switzerland,29061,167,1610,11,21800,5651,204,3358,186,245300,28343,0427
23,India,27890,1607,881,56,6523,20486,,20,06,625309,453,0427
24,Peru,27517,2186,728,28,8088,18701,554,835,22,232747,7059,0427
25,Portugal,23864,472,903,23,1329,21632,182,2340,89,330512,32414,0427
26,Ecuador,22719,,576,,1366,20777,127,1288,33,56513,3203,0427
27,Ireland,19262,701,1087,24,9233,8942,142,3901,220,127319,25785,0427
28,Sweden,18640,463,2194,2,1005,15441,399,1846,217,94500,9357,0427
29,Saudi Arabia,17522,1223,139,3,2357,15026,115,503,4,200000,5745,0427
30,Israel,15443,145,201,2,6731,8511,133,1784,23,302691,34971,0427
31,Austria,15225,77,542,6,12282,2401,145,1690,60,227631,25274,0427
32,Mexico,13842,970,1305,84,7149,5388,378,107,10,65500,508,0427
33,Singapore,13624,931,12,,1060,12552,22,2329,2,121774,20815,0427
34,Japan,13441,210,372,12,1809,11260,296,106,3,149074,1179,0427
35,Chile,13331,473,189,8,7024,6118,418,697,10,155975,8159,0427
36,Pakistan,13328,605,281,12,2936,10111,111,60,1,144365,654,0427
37,Poland,11617,344,535,11,2265,8817,160,307,14,290633,7679,0427
38,Romania,11036,401,619,18,3054,7363,236,574,32,136518,7096,0427
39,S. Korea,10728,10,242,2,8717,1769,55,209,5,598285,11669,0427
40,Belarus,10463,873,72,5,1695,8696,92,1107,8,147525,15612,0427
41,UAE,10349,536,76,5,1978,8295,1,1046,8,1057326,106904,0427
42,Qatar,10287,929,10,,1012,9265,72,3571,3,82289,28562,0427
43,Indonesia,8882,275,743,23,1107,7032,,32,3,72099,264,0427
44,Ukraine,8617,492,209,8,840,7568,107,197,5,89373,2044,0427
45,Denmark,8575,130,422,4,5805,2348,70,1480,73,146915,25364,0427
46,Serbia,8042,263,156,5,1182,6704,85,920,18,64303,7360,0427
47,Philippines,7579,285,501,7,862,6216,1,69,5,84789,774,0427
48,Norway,7527,34,201,,32,7294,49,1388,37,155125,28614,0427
49,Czechia,7404,52,220,2,2545,4639,79,691,21,215116,20087,0427
50,Australia,6716,21,83,3,5560,1073,42,263,3,510974,20038,0427
51,Dominican Republic,6135,209,278,5,910,4947,144,566,26,22498,2074,0427
52,Malaysia,5780,38,98,,3862,1820,36,179,3,131491,4063,0427
53,Panama,5538,200,159,5,338,5041,85,1283,37,25400,5887,0427
54,Bangladesh,5416,418,145,5,122,5149,1,33,09,46589,283,0427
55,Colombia,5379,237,244,11,1133,4002,117,106,5,87199,1714,0427
56,Finland,4576,101,190,4,2500,1886,62,826,34,80300,14493,0427
57,South Africa,4546,185,87,1,1473,2986,36,77,1,168643,2843,0427
58,Egypt,4534,215,317,10,1176,3041,,44,3,90000,879,0427
59,Morocco,4065,168,161,2,593,3311,1,110,4,27399,742,0427
60,Argentina,3892,112,192,7,1107,2593,144,86,4,49905,1104,0427
61,Luxembourg,3723,12,88,3,3104,531,22,5947,141,39003,62307,0427
62,Moldova,3408,104,96,2,895,2417,212,845,24,11763,2916,0427
63,Algeria,3382,126,425,6,1508,1449,40,77,10,6500,148,0427
64,Kuwait,3075,183,20,1,806,2249,61,720,5,,,0427
65,Thailand,2922,15,51,,2594,277,61,42,07,142589,2043,0427
66,Kazakhstan,2717,116,25,,682,2010,31,145,1,196298,10454,0427
67,Bahrain,2647,59,8,,1189,1450,2,1556,5,114110,67061,0427
68,Greece,2517,11,134,4,577,1806,46,241,13,64608,6199,0427
69,Hungary,2500,57,272,10,485,1743,61,259,28,63505,6574,0427
70,Croatia,2030,14,55,1,1103,872,23,494,13,31622,7703,0427
71,Oman,1998,93,10,,333,1655,3,391,2,,,0427
72,Uzbekistan,1869,7,8,,789,1072,8,56,02,242536,7247,0427
73,Iraq,1820,57,87,1,1263,470,,45,2,71471,1777,0427
74,Iceland,1792,2,10,,1608,174,3,5251,29,46352,135833,0427
75,Armenia,1746,69,28,,833,885,10,589,9,17931,6051,0427
76,Azerbaijan,1645,28,21,,1139,485,15,162,2,120479,11883,0427
77,Estonia,1643,8,49,3,233,1361,6,1239,37,47933,36134,0427
78,Cameroon,1621,103,56,3,786,779,12,61,2,,,0427
79,Ghana,1550,271,11,1,155,1384,4,50,04,100622,3238,0427
80,Afghanistan,1531,68,50,3,207,1274,7,39,1,8090,208,0427
81,Bosnia and Herzegovina,1516,30,59,2,624,833,4,462,18,25830,7873,0427
82,New Zealand,1469,8,18,,1142,309,1,305,4,120981,25088,0427
83,Lithuania,1438,12,41,,467,930,17,528,15,104488,38382,0427
84,Slovenia,1396,8,82,1,221,1093,23,671,39,48973,23557,0427
85,North Macedonia,1386,19,61,2,500,825,13,665,29,15120,7257,0427
86,Slovakia,1379,6,18,1,394,967,5,253,3,70928,12991,0427
