,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,Asia,345970,12773,12426,358,165739,167805,6477,,,,,0417
1,North America,724560,32002,36709,2418,70319,617532,14460,,,,,0417
2,Europe,1015507,44750,92224,3905,275293,647990,27806,,,,,0417
3,South America,67591,4289,3057,260,25971,38563,7601,,,,,0417
4,Oceania,7966,42,72,,4518,3376,71,,,,,0417
5,Africa,18993,1166,968,55,4585,13440,180,,,,,0417
6,,721,,15,,644,62,7,,,,,0417
7,World,2181308,95022,145471,6996,547069,1488768,56602,280,187,,,0417
8,China,82341,46,3342,,77892,1107,95,57,2,,,0417
9,USA,677570,29567,34617,2174,57508,585445,13369,2047,105,3398140,10266,0417
10,Spain,184948,4289,19315,503,74797,90836,7371,3956,413,930230,19896,0417
11,Italy,168941,3786,22170,525,40164,106607,2936,2794,367,1178403,19490,0417
12,France,165027,17164,17920,753,32812,114295,6248,2528,275,333807,5114,0417
13,Germany,137698,2945,4052,248,77000,56646,4288,1643,48,1728357,20629,0417
14,UK,103093,4617,13729,861,,89020,1559,1519,202,417649,6152,0417
15,Iran,77995,1606,4869,92,52229,20897,3594,929,58,310340,3695,0417
16,Turkey,74193,4801,1643,125,7089,65461,1854,880,19,518143,6144,0417
17,Belgium,34809,1236,4857,417,7562,22390,1182,3003,419,134303,11588,0417
18,Brazil,30683,2073,1947,190,14026,14710,6634,144,9,62985,296,0417
19,Canada,30106,1727,1195,185,9729,19182,557,798,32,487625,12920,0417
20,Netherlands,29214,1061,3315,181,250,25649,1279,1705,193,147948,8634,0417
21,Russia,27938,3448,232,34,2304,25402,8,191,2,1613413,11056,0417
22,Switzerland,26732,396,1281,42,15900,9551,386,3089,148,206400,23849,0417
23,Portugal,18841,750,629,30,493,17719,229,1848,62,208314,20430,0417
24,Austria,14476,126,410,17,8986,5080,238,1607,46,162816,18078,0417
25,India,13430,1060,448,26,1768,11214,,10,03,302956,220,0417
26,Ireland,13271,724,486,42,77,12708,156,2688,98,90646,18358,0417
27,Israel,12758,257,142,12,2818,9798,181,1474,16,187250,21634,0417
28,Sweden,12540,613,1333,130,550,10657,522,1242,132,74600,7387,0417
29,Peru,12491,1016,274,20,6120,6097,169,379,8,121468,3684,0417
30,S. Korea,10613,22,229,4,7757,2627,55,207,4,538775,10509,0417
31,Japan,9231,605,190,12,935,8106,193,73,2,100703,796,0417
32,Chile,8807,534,105,11,3299,5403,384,461,5,98424,5149,0417
33,Ecuador,8225,367,403,15,838,6984,168,466,23,27868,1580,0417
34,Poland,7918,336,314,28,774,6830,160,209,8,169071,4467,0417
35,Romania,7707,491,392,20,1357,5958,243,401,20,79629,4139,0417
36,Pakistan,6919,536,128,17,1645,5146,46,31,06,78979,358,0417
37,Norway,6905,108,152,2,32,6721,64,1274,28,133707,24664,0417
38,Denmark,6879,198,321,12,3023,3535,92,1188,55,82380,14223,0417
39,Australia,6468,21,63,,3747,2658,66,254,2,380003,14902,0417
40,Czechia,6433,132,169,3,972,5292,75,601,16,146004,13634,0417
41,Saudi Arabia,6380,518,83,4,990,5307,71,183,2,150000,4309,0417
42,Mexico,5847,448,449,43,2125,3273,207,45,3,40091,311,0417
43,UAE,5825,460,35,2,1095,4695,1,589,4,767000,77550,0417
44,Philippines,5660,207,362,13,435,4863,1,52,3,48171,440,0417
45,Indonesia,5516,380,496,27,548,4472,,20,2,36000,132,0417
46,Serbia,5318,445,103,4,443,4772,120,609,12,29472,3373,0417
47,Malaysia,5182,110,84,1,2766,2332,56,160,3,87183,2694,0417
48,Singapore,4427,728,10,,683,3734,29,757,2,72680,12423,0417
49,Belarus,4204,476,40,4,203,3961,65,445,4,81246,8598,0417
50,Ukraine,4161,397,116,8,186,3859,45,95,3,42823,979,0417
51,Qatar,4103,392,7,,415,3681,37,1424,2,56381,19570,0417
52,Dominican Republic,3755,141,196,7,215,3344,121,346,18,12229,1127,0417
