,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0, China ,80703,8,3098,1,57339,20266,5264,561,-1,-1,-1,0308
1, Italy ,7375,1492,366,133,622,6387,650,1220,-1,-1,-1,0308
2, S. Korea ,7313,272,50,2,130,7133,36,1426,-1,-1,-1,0308
3, Iran ,6566,743,194,49,2134,4238,,782,-1,-1,-1,0308
4, France ,1209,260,19,3,12,1178,45,185,-1,-1,-1,0308
5, Germany ,1040,240,,,18,1022,9,124,-1,-1,-1,0308
6, Diamond Princess ,696,,7,,245,444,32,,-1,-1,-1,0308
7, Spain ,674,149,17,7,32,625,11,144,-1,-1,-1,0308
8, USA ,538,103,22,3,15,501,8,16,-1,-1,-1,0308
9, Japan ,502,41,7,1,76,419,29,40,-1,-1,-1,0308
10, Switzerland ,337,69,2,1,3,332,,389,-1,-1,-1,0308
11, UK ,273,64,3,1,18,252,,40,-1,-1,-1,0308
12, Netherlands ,265,77,3,2,,262,1,155,-1,-1,-1,0308
13, Sweden ,203,42,,,1,202,,201,-1,-1,-1,0308
14, Belgium ,200,31,,,1,199,1,173,-1,-1,-1,0308
15, Norway ,176,20,,,1,175,,325,-1,-1,-1,0308
16, Singapore ,150,12,,,90,60,9,256,-1,-1,-1,0308
17, Hong Kong ,115,7,3,1,59,53,6,153,-1,-1,-1,0308
18, Austria ,104,23,,,2,102,1,115,-1,-1,-1,0308
19, Malaysia ,99,6,,,24,75,,31,-1,-1,-1,0308
20, Bahrain ,85,,,,14,71,,500,-1,-1,-1,0308
21, Australia ,80,6,3,,22,55,1,31,-1,-1,-1,0308
22, Greece ,73,7,,,,73,1,70,-1,-1,-1,0308
23, Canada ,64,4,,,8,56,1,17,-1,-1,-1,0308
24, Kuwait ,64,3,,,1,63,3,150,-1,-1,-1,0308
25, Iraq ,60,6,6,2,1,53,,15,-1,-1,-1,0308
26, Iceland ,58,8,,,1,57,,,-1,-1,-1,0308
27, Egypt ,55,7,1,1,1,53,,05,-1,-1,-1,0308
28, Thailand ,50,,1,,31,18,1,07,-1,-1,-1,0308
29, Taiwan ,45,,1,,15,29,,19,-1,-1,-1,0308
30, UAE ,45,,,,7,38,2,45,-1,-1,-1,0308
31, India ,43,9,,,3,40,,,-1,-1,-1,0308
32, Israel ,39,14,,,3,36,1,45,-1,-1,-1,0308
33, San Marino ,36,10,1,,,35,5,,-1,-1,-1,0308
34, Denmark ,35,8,,,1,34,,60,-1,-1,-1,0308
35, Czechia ,32,6,,,,32,,30,-1,-1,-1,0308
36, Lebanon ,32,4,,,1,31,3,47,-1,-1,-1,0308
37, Portugal ,30,9,,,,30,,29,-1,-1,-1,0308
38, Vietnam ,30,10,,,16,14,,03,-1,-1,-1,0308
39, Brazil ,25,6,,,,25,1,01,-1,-1,-1,0308
