,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,Asia,358184,12188,14066,1640,171127,172991,6403,,,,,0418
1,North America,759755,35195,39422,2711,74274,646059,14626,,,,,0418
2,Europe,1029214,32674,96228,4004,289063,643923,28102,,,,,0418
3,South America,72531,4940,3318,261,26856,42357,7574,,,,,0418
4,Oceania,8039,73,76,4,4651,3312,64,,,,,0418
5,Africa,20419,1426,1020,52,4958,14441,187,,,,,0418
6,,721,,15,,644,62,7,,,,,0418
7,World,2248863,86496,154145,8672,571573,1523145,56963,289,198,,,0418
8,China,82692,325,4632,1290,77994,66,85,57,3,,,0418
9,USA,709735,32165,37154,2535,60510,612071,13509,2144,112,3572257,10792,0418
10,Spain,190839,5891,20002,687,74797,96040,7371,4082,428,930230,19896,0418
11,Italy,172434,3493,22745,575,42727,106962,2812,2852,376,1244108,20577,0418
12,France,147969,1909,18681,761,34420,94868,6027,2267,286,463662,7103,0418
13,Germany,141397,3699,4352,300,83114,53931,5013,1688,52,1728357,20629,0418
14,UK,108692,5599,14576,847,,93772,1559,1601,215,438991,6467,0418
15,Iran,79494,1499,4958,89,54064,20472,3563,946,59,319879,3808,0418
16,Turkey,78546,4353,1769,126,8631,68146,1845,931,21,558413,6621,0418
17,Belgium,36138,1329,5163,306,7961,23014,1140,3118,445,139387,12027,0418
18,Brazil,33682,2999,2141,194,14026,17515,6634,158,10,62985,296,0418
19,Russia,32008,4070,273,41,2590,29145,8,219,2,1718019,11773,0418
20,Canada,31927,1821,1310,115,10543,20074,557,846,35,507701,13452,0418
21,Netherlands,30449,1235,3459,144,250,26740,1279,1777,202,154911,9041,0418
22,Switzerland,27078,346,1327,46,16400,9351,386,3129,153,206400,23849,0418
23,Portugal,19022,181,657,28,519,17846,222,1866,64,221049,21678,0418
24,Austria,14595,119,431,21,9704,4460,227,1621,48,169272,18795,0418
25,India,14352,922,486,38,2041,11825,,10,04,335123,243,0418
26,Ireland,13980,709,530,44,77,13373,156,2831,107,90646,18358,0418
27,Peru,13489,998,300,26,6541,6648,137,409,9,127513,3867,0418
28,Sweden,13216,676,1400,67,550,11266,482,1309,139,74600,7387,0418
29,Israel,12982,224,151,9,3126,9705,168,1500,17,187250,21634,0418
30,S. Korea,10635,22,230,1,7829,2576,55,207,4,546463,10659,0418
31,Japan,9787,556,190,,935,8662,193,77,2,100703,796,0418
32,Chile,9252,445,116,11,3621,5515,384,484,6,103873,5434,0418
33,Ecuador,8450,225,421,18,838,7191,168,479,24,27868,1580,0418
34,Poland,8379,461,332,18,866,7181,160,221,9,179654,4747,0418
35,Romania,8067,360,411,19,1508,6148,258,419,21,85805,4460,0418
36,Saudi Arabia,7142,762,87,4,1049,6006,74,205,2,150000,4309,0418
37,Denmark,7073,194,336,15,3389,3348,93,1221,58,87024,15024,0418
38,Pakistan,7025,106,135,7,1765,5125,46,32,06,84704,383,0418
39,Norway,6937,32,161,9,32,6744,63,1280,30,136236,25130,0418
40,Czechia,6549,116,173,4,1174,5202,82,612,16,154307,14409,0418
