,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,Asia,494774,11548,17910,322,245958,230906,5832,,,,,0430
1,North America,1119114,28318,64264,2716,173859,880991,16563,,,,,0430
2,Europe,1322706,24004,126422,2425,459794,736490,24626,,,,,0430
3,South America,155203,11029,7568,838,54267,93368,9775,,,,,0430
4,Oceania,8312,21,107,5,6918,1287,45,,,,,0430
5,Africa,35678,1642,1527,59,11868,22283,120,,,,,0430
6,,721,,15,,645,61,4,,,,,0430
7,World,3136508,76562,217813,6365,953309,1965386,56965,402,279,,,0430
8,China,82836,6,4633,,77555,648,50,58,3,,,0430
9,USA,1035765,25409,59266,2470,142238,834261,15298,3129,179,5919847,17885,0430
10,Spain,232128,2706,23822,301,123903,84403,7764,4965,510,1345560,28779,0430
11,Italy,201505,2091,27359,382,68941,105205,1863,3333,453,1846934,30547,0430
12,France,165911,2638,23660,367,46886,95365,4387,2542,362,463662,7103,0430
13,UK,161145,3996,21678,586,,139123,1559,2374,319,763387,11245,0430
14,Germany,159912,1154,6314,188,117400,36198,2409,1909,75,2072669,24738,0430
15,Turkey,114653,2392,2992,92,38809,72852,1621,1359,35,948115,11242,0430
16,Russia,93558,6411,867,73,8456,84235,2300,641,6,3139258,21511,0430
17,Iran,92584,1112,5877,71,72439,14268,2983,1102,70,442590,5269,0430
18,Brazil,72899,6398,5063,520,32544,35292,8318,343,24,339552,1597,0430
19,Canada,50026,1526,2859,152,19190,27977,557,1325,76,740859,19629,0430
20,Belgium,47334,647,7331,124,10943,29060,876,4084,633,220204,19000,0430
21,Netherlands,38416,171,4566,48,,33600,861,2242,266,209726,12240,0430
22,India,31324,1873,1008,69,7747,22569,,23,07,716733,519,0430
23,Peru,31190,2491,854,72,9179,21157,600,946,26,267612,8116,0430
24,Switzerland,29264,100,1699,34,22600,4965,185,3381,196,256500,29637,0430
25,Portugal,24322,295,948,20,1389,21985,172,2385,93,379551,37223,0430
26,Ecuador,24258,1018,871,208,1557,21830,146,1375,49,61529,3487,0430
27,Saudi Arabia,20077,1266,152,8,2784,17141,118,577,4,200000,5745,0430
28,Ireland,19877,229,1159,57,9233,9485,141,4025,235,153954,31179,0430
29,Sweden,19621,695,2355,81,1005,16261,524,1943,233,119500,11833,0430
30,Israel,15728,173,210,6,7746,7772,116,1817,24,313135,36177,0430
31,Mexico,15529,852,1434,83,9086,5009,378,120,11,71103,551,0430
32,Austria,15357,83,569,20,12580,2208,136,1705,63,239578,26601,0430
33,Singapore,14951,528,14,,1128,13809,20,2556,2,121774,20815,0430
34,Pakistan,14612,697,312,20,3233,11067,111,66,1,157223,712,0430
35,Chile,14365,552,207,9,7710,6448,426,751,11,166165,8692,0430
