,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
87,Afghanistan,237,63,4,,5,228,,6,01,-1,-1,0402
88,San Marino,236,,28,2,13,195,16,6955,825,-1,-1,0402
89,Cameroon,233,40,6,,10,217,,9,02,-1,-1,0402
90,Vietnam,218,6,,,63,155,3,2,,-1,-1,0402
91,Cuba,212,26,6,,12,194,3,19,05,-1,-1,0402
92,Oman,210,18,1,,34,175,3,41,02,-1,-1,0402
93,Ghana,195,34,5,,31,159,1,6,02,-1,-1,0402
94,Ivory Coast,190,11,1,,9,180,,7,004,-1,-1,0402
95,Senegal,190,15,1,1,45,144,,11,006,-1,-1,0402
96,Malta,188,19,,,2,186,2,426,,-1,-1,0402
97,Uzbekistan,181,9,2,,12,167,8,5,006,-1,-1,0402
98,Nigeria,174,39,2,,9,163,,08,001,-1,-1,0402
99,Faeroe Islands,173,4,,,75,98,1,3541,,-1,-1,0402
100,Honduras,172,31,10,3,3,159,4,17,1,-1,-1,0402
101,Channel Islands,172,31,3,,,169,,989,17,-1,-1,0402
102,Belarus,163,11,2,1,53,108,2,17,02,-1,-1,0402
103,Mauritius,161,18,6,1,,155,1,127,5,-1,-1,0402
104,Sri Lanka,146,3,3,1,21,122,5,7,01,-1,-1,0402
105,Venezuela,144,9,3,,43,98,6,5,01,-1,-1,0402
106,Martinique,135,7,3,,27,105,16,360,8,-1,-1,0402
107,Palestine,134,15,1,,18,115,,26,02,-1,-1,0402
108,Brunei ,131,2,1,,52,78,3,299,2,-1,-1,0402
109,Guadeloupe,125,11,6,2,24,95,14,312,15,-1,-1,0402
110,Montenegro,123,14,2,,,121,4,196,3,-1,-1,0402
111,Georgia,117,7,,,23,94,6,29,,-1,-1,0402
112,Bolivia,115,8,7,1,1,107,3,10,06,-1,-1,0402
113,Kyrgyzstan,111,4,,,3,108,3,17,,-1,-1,0402
114,DRC,109,11,9,1,3,97,,1,01,-1,-1,0402
115,Cambodia,109,,,,25,84,1,7,,-1,-1,0402
116,Mayotte,101,7,1,,10,90,3,370,4,-1,-1,0402
117,Trinidad and Tobago,90,3,5,2,1,84,,64,4,-1,-1,0402
118,Rwanda,82,7,,,,82,,6,,-1,-1,0402
119,Kenya,81,22,1,,3,77,2,2,002,-1,-1,0402
120,Gibraltar,81,12,,,34,47,,2404,,-1,-1,0402
121,Niger,74,40,5,2,,69,,3,02,-1,-1,0402
122,Liechtenstein,72,4,,,,72,,1888,,-1,-1,0402
123,Paraguay,69,4,3,,1,65,4,10,04,-1,-1,0402
124,Isle of Man,68,8,1,1,,67,,800,12,-1,-1,0402
125,Madagascar,57,,,,,57,6,2,,-1,-1,0402
126,Monaco,55,3,1,,2,52,2,1402,25,-1,-1,0402
127,Aruba,55,,,,1,54,,515,,-1,-1,0402
128,Bangladesh,54,3,6,1,25,23,1,03,004,-1,-1,0402
129,French Guiana,51,,,,15,36,,171,,-1,-1,0402
130,Barbados,45,11,,,,45,,157,,-1,-1,0402
131,Jamaica,44,6,3,1,2,39,,15,1,-1,-1,0402
132,Uganda,44,,,,,44,,10,,-1,-1,0402
133,Macao,41,,,,10,31,,63,,-1,-1,0402
134,Guatemala,39,1,1,,12,26,1,2,006,-1,-1,0402
135,French Polynesia,37,,,,,37,1,132,,-1,-1,0402
136,Togo,36,2,2,1,10,24,,4,02,-1,-1,0402
137,Zambia,36,,,,,36,,2,,-1,-1,0402
138,El Salvador,33,1,2,1,,31,4,5,03,-1,-1,0402
139,Djibouti,33,3,,,,33,,33,,-1,-1,0402
140,Bermuda,32,,,,10,22,,514,,-1,-1,0402
141,Mali,31,3,3,1,,28,,2,01,-1,-1,0402
142,Guinea,30,8,,,,30,,2,,-1,-1,0402
143,Ethiopia,29,3,,,2,27,2,03,,-1,-1,0402
144,Congo,22,3,2,2,,20,,4,04,-1,-1,0402
145,Cayman Islands,22,8,1,,,21,,335,15,-1,-1,0402
146,Saint Martin,22,1,1,,2,19,,569,26,-1,-1,0402
147,Bahamas,21,7,1,1,1,19,,53,3,-1,-1,0402
148,Tanzania,20,1,1,,1,18,,03,002,-1,-1,0402
149,Guyana,19,7,3,1,,16,,24,4,-1,-1,0402
150,Maldives,19,1,,,13,6,,35,,-1,-1,0402
151,Gabon,18,2,1,,,17,,8,04,-1,-1,0402
152,Myanmar,16,1,1,,,15,,03,002,-1,-1,0402
153,Sint Maarten,16,10,1,1,6,9,,373,23,-1,-1,0402
154,Haiti,16,1,,,1,15,,1,,-1,-1,0402
155,New Caledonia,16,,,,1,15,,56,,-1,-1,0402
156,Equatorial Guinea,15,,,,1,14,,11,,-1,-1,0402
157,Eritrea,15,,,,,15,,4,,-1,-1,0402
158,Mongolia,14,2,,,2,12,,4,,-1,-1,0402
159,Namibia,14,3,,,2,12,,6,,-1,-1,0402
160,Benin,13,4,,,1,12,,1,,-1,-1,0402
161,Saint Lucia,13,,,,1,12,,71,,-1,-1,0402
162,Dominica,12,,,,,12,,167,,-1,-1,0402
163,Curaçao,11,,1,,3,7,,67,6,-1,-1,0402
164,Syria,10,,2,,,8,,06,01,-1,-1,0402
165,Greenland,10,,,,2,8,,176,,-1,-1,0402
166,Laos,10,1,,,,10,,1,,-1,-1,0402
167,Libya,10,,,,,10,,1,,-1,-1,0402
168,Mozambique,10,2,,,,10,,03,,-1,-1,0402
169,Seychelles,10,,,,,10,,102,,-1,-1,0402
170,Suriname,10,1,,,,10,,17,,-1,-1,0402
171,MS Zaandam,9,7,2,2,,7,,,,-1,-1,0402
