,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,Asia,572839,14037,20078,461,305076,247685,5294,,,,,0505
1,North America,1319037,27956,76774,1621,232311,1009952,17295,,,,,0505
2,Europe,1469911,22408,142143,1540,554865,772903,16949,,,,,0505
3,South America,224274,12462,11268,428,78385,134621,9938,,,,,0505
4,Africa,48075,2695,1848,46,16231,29996,129,,,,,0505
5,Oceania,8414,24,115,,7225,1074,30,,,,,0505
6,,721,,15,,645,61,4,,,,,0505
7,World,3643271,79582,252241,4096,1194738,2196292,49639,467,324,,,0505
8,China,82880,3,4633,,77766,481,33,58,3,,,0505
9,USA,1212835,24713,69921,1324,188027,954887,16050,3664,211,7462431,22545,0505
10,Spain,248301,1179,25428,164,151633,71240,2254,5311,544,1932455,41332,0505
11,Italy,211938,1221,29079,195,82879,99980,1479,3505,481,2191403,36244,0505
12,UK,190584,3985,28734,288,,161506,1559,2807,423,1291591,19026,0505
13,France,169462,769,25201,306,51371,92890,3696,2596,386,1100228,16856,0505
14,Germany,166152,488,6993,127,132700,26459,1949,1983,83,2547052,30400,0505
15,Russia,145268,10581,1356,76,18095,125817,2300,995,9,4300000,29465,0505
16,Turkey,127659,1614,3461,64,68166,56032,1384,1514,41,1171138,13886,0505
17,Brazil,108266,7119,7343,318,45815,55108,8318,509,35,339552,1597,0505
18,Iran,98647,1223,6277,74,79379,12991,2676,1174,75,508288,6052,0505
19,Canada,60772,1298,3854,172,26017,30901,557,1610,102,919368,24359,0505
20,Belgium,50267,361,7924,80,12378,29965,655,4337,684,440700,38025,0505
21,Peru,47372,1444,1344,58,14427,31601,694,1437,41,385492,11692,0505
22,India,46437,3932,1566,175,12847,32024,,34,1,1107233,802,0505
23,Netherlands,40770,199,5082,26,,35438,683,2379,297,235909,13768,0505
24,Ecuador,31881,2343,1569,5,3433,26879,159,1807,89,80171,4544,0505
25,Switzerland,29981,76,1784,22,25200,2997,141,3464,206,282750,32670,0505
26,Saudi Arabia,28656,1645,191,7,4476,23989,143,823,5,365093,10487,0505
27,Portugal,25524,242,1063,20,1712,22749,143,2503,104,450000,44132,0505
28,Mexico,23471,1383,2154,93,13447,7870,378,182,17,93791,727,0505
29,Sweden,22721,404,2769,90,4074,15878,455,2250,274,119500,11833,0505
30,Ireland,21772,266,1319,16,13386,7067,93,4409,267,169377,34302,0505
31,Pakistan,20941,857,476,19,5635,14830,111,95,2,212511,962,0505
32,Chile,20643,980,270,10,10415,9958,464,1080,14,214131,11202,0505
33,Singapore,18778,573,18,,1457,17303,22,3210,3,143919,24600,0505
34,Belarus,17489,784,103,4,3259,14127,92,1851,11,211369,22369,0505
35,Israel,16246,38,235,3,10064,5947,70,1877,27,404285,46708,0505
36,Qatar,16191,640,12,,1810,14369,72,5620,4,106795,37068,0505
37,Austria,15621,24,600,2,13316,1705,111,1734,67,279071,30986,0505
38,Japan,15078,201,536,49,4156,10386,328,119,4,184586,1459,0505
39,UAE,14730,567,137,11,2966,11627,1,1489,14,1200000,121330,0505
40,Poland,14006,313,698,20,4095,9213,160,370,18,383804,10141,0505
41,Romania,13512,349,818,28,5269,7425,243,702,43,199068,10348,0505
42,Ukraine,12331,418,303,15,1619,10409,160,282,7,134592,3078,0505
43,Indonesia,11587,395,864,19,1954,8769,,42,3,116861,427,0505
44,S. Korea,10801,8,252,2,9217,1332,55,211,5,633921,12365,0505
45,Bangladesh,10143,688,182,5,1209,8752,1,62,1,87694,532,0505
46,Denmark,9670,147,493,9,7088,2089,57,1669,85,244791,42262,0505
47,Serbia,9557,93,197,4,1574,7786,53,1094,23,106461,12185,0505
48,Philippines,9485,262,623,16,1315,7547,31,87,6,126164,1151,0505
49,Dominican Republic,8235,281,346,13,1771,6118,144,759,32,33377,3077,0505
50,Colombia,7973,305,358,18,1807,5808,120,157,7,123029,2418,0505
51,Norway,7904,57,214,3,32,7658,27,1458,39,182285,33624,0505
52,Czechia,7819,38,252,4,3807,3760,58,730,24,261548,24423,0505
53,South Africa,7220,437,138,7,2746,4336,36,122,2,257541,4342,0505
54,Panama,7197,107,200,3,641,6356,91,1668,46,34459,7986,0505
55,Australia,6825,24,95,,5859,871,28,268,4,650214,25499,0505
56,Egypt,6813,348,436,7,1632,4745,,67,4,90000,879,0505
57,Malaysia,6353,55,105,,4484,1764,28,196,3,205598,6352,0505
58,Finland,5327,73,240,10,3500,1587,49,961,43,103500,18680,0505
59,Kuwait,5278,295,40,2,1947,3291,79,1236,9,196397,45988,0505
60,Morocco,5053,150,179,5,1653,3221,1,137,5,45302,1227,0505
61,Argentina,4887,104,260,14,1442,3185,157,108,6,67920,1503,0505
62,Algeria,4648,174,465,2,1998,2185,22,106,11,6500,148,0505
63,Moldova,4248,127,132,7,1423,2693,237,1053,33,20447,5069,0505
64,Kazakhstan,4049,129,29,2,1173,2847,40,216,2,306861,16343,0505
65,Luxembourg,3828,4,96,,3405,327,21,6115,153,48339,77222,0505
66,Bahrain,3533,150,8,,1744,1781,1,2076,5,149586,87910,0505
67,Hungary,3035,37,351,11,630,2054,55,314,36,83958,8691,0505
68,Thailand,2987,18,54,,2740,193,61,43,08,227860,3264,0505
69,Afghanistan,2894,190,90,5,397,2407,7,74,2,11068,284,0505
70,Nigeria,2802,244,93,6,417,2292,4,14,05,18536,90,0505
71,Ghana,2719,550,18,,294,2407,4,88,06,129461,4166,0505
72,Oman,2637,69,12,,816,1809,17,516,2,40459,7923,0505
73,Greece,2632,6,146,2,1374,1112,35,253,14,80951,7767,0505
74,Armenia,2507,121,39,4,1071,1397,10,846,13,24942,8417,0505
75,Iraq,2346,50,98,1,1544,704,,58,2,107586,2675,0505
76,Uzbekistan,2189,40,10,,1405,774,8,65,03,325000,9710,0505
77,Cameroon,2104,27,64,,953,1087,12,79,2,,,0505
78,Croatia,2101,5,80,1,1522,499,15,512,19,39040,9510,0505
79,Azerbaijan,1984,52,26,1,1480,478,18,196,3,157932,15576,0505
80,Bosnia and Herzegovina,1926,69,78,1,855,993,4,587,24,34378,10478,0505
81,Iceland,1799,,10,,1723,66,,5272,29,50477,147921,0505
82,Guinea,1710,124,9,2,450,1251,,130,07,,,0505
83,Estonia,1703,3,55,,259,1389,6,1284,41,55784,42052,0505
84,Cuba,1668,19,69,2,876,723,9,147,6,55542,4904,0505
85,Bulgaria,1652,34,78,5,321,1253,37,238,11,49145,7073,0505
86,Bolivia,1594,124,76,5,166,1352,3,137,7,7651,655,0505
87,North Macedonia,1518,7,85,1,992,441,21,729,41,17359,8332,0505
88,New Zealand,1487,,20,,1276,191,,308,4,152696,31665,0505
89,Slovenia,1439,,97,1,241,1101,20,692,47,57504,27660,0505
90,Ivory Coast,1432,34,17,,693,722,,54,06,10778,409,0505
91,Lithuania,1419,9,46,,638,735,17,521,17,144029,52907,0505
92,Slovakia,1413,5,25,1,643,745,7,259,5,97804,17914,0505
93,Senegal,1271,89,10,1,415,846,6,76,06,17787,1062,0505
94,Djibouti,1116,4,2,,713,401,,1130,2,14222,14395,0505
95,Honduras,1055,45,82,6,118,855,10,107,8,4810,486,0505
96,Hong Kong,1041,1,4,,900,137,1,139,05,154989,20674,0505
97,Tunisia,1018,5,43,1,406,569,18,86,4,24853,2103,0505
98,Latvia,896,17,16,,348,532,4,475,8,65464,34707,0505
99,Cyprus,874,2,15,,296,563,15,724,12,65725,54437,0505
100,Kyrgyzstan,830,35,10,,575,245,13,127,2,56488,8658,0505
101,Albania,803,8,31,,543,229,7,279,11,9006,3129,0505
102,Somalia,756,34,35,3,61,660,2,48,2,,,0505
103,Niger,755,5,37,1,534,184,,31,2,5309,219,0505
104,Sri Lanka,751,33,8,1,194,549,1,35,04,26842,1254,0505
105,Andorra,750,2,45,,499,206,16,9707,582,1673,21653,0505
106,Costa Rica,742,3,6,,399,337,5,146,1,13988,2746,0505
107,Lebanon,740,3,25,,200,515,43,108,4,41014,6009,0505
108,Diamond Princess,712,,13,,645,54,4,,,,,0505
109,Guatemala,703,15,17,,72,614,5,39,09,7200,402,0505
110,Mayotte,686,36,6,,352,328,6,2515,22,3400,12463,0505
111,DRC,682,8,34,1,80,568,,8,04,,,0505
112,Sudan,678,86,41,,61,576,,15,09,,,0505
113,Burkina Faso,672,10,46,1,545,81,,32,2,,,0505
114,Uruguay,657,2,17,,447,193,10,189,5,22805,6565,0505
115,Georgia,593,4,9,,223,361,6,149,2,15904,3987,0505
116,San Marino,582,,41,,86,455,5,17152,1208,2457,72412,0505
117,Mali,580,17,29,2,223,328,,29,1,2172,107,0505
118,El Salvador,555,65,13,2,180,362,3,86,2,30387,4685,0505
119,Channel Islands,544,,41,,406,97,,3129,236,5342,30725,0505
120,Maldives,541,14,1,,17,523,2,1001,2,8327,15405,0505
121,Kenya,490,25,24,,173,293,2,9,04,24784,461,0505
122,Tanzania,480,,16,,167,297,7,8,03,,,0505
123,Malta,480,3,4,,399,77,1,1087,9,36204,81994,0505
124,Jamaica,469,6,9,1,38,422,2,158,3,5633,1902,0505
125,Jordan,465,4,9,,370,86,5,46,09,87618,8587,0505
126,Taiwan,438,6,6,,334,98,,18,03,64436,2705,0505
127,Réunion,424,1,,,300,124,2,474,,,,0505
128,Guinea-Bissau,413,156,1,,19,393,,210,05,1500,762,0505
129,Paraguay,396,26,10,,126,260,7,56,1,10766,1509,0505
130,Gabon,367,32,6,1,93,268,1,165,3,724,325,0505
131,Palestine,362,9,2,,102,258,,71,04,32200,6312,0505
132,Venezuela,357,,10,,158,189,1,13,04,482953,16984,0505
133,Mauritius,332,,10,,316,6,3,261,8,18398,14466,0505
134,Isle of Man,325,4,23,1,271,31,21,3822,270,3339,39267,0505
135,Montenegro,323,1,8,,253,62,2,514,13,7816,12445,0505
136,Equatorial Guinea,315,,3,2,13,299,,225,2,854,609,0505
137,Vietnam,271,,,,219,52,8,3,,261004,2681,0505
138,Rwanda,261,2,,,128,133,,20,,35096,2710,0505
139,Congo,236,7,10,1,26,200,,43,2,,,0505
140,Tajikistan,230,102,3,1,,227,,24,03,,,0505
141,Faeroe Islands,187,,,,185,2,,3827,,8066,165074,0505
142,Martinique,181,2,14,,83,84,5,482,37,,,0505
143,Sierra Leone,178,12,9,1,37,132,,22,1,,,0505
144,Cabo Verde,175,10,2,,37,136,,315,4,791,1423,0505
145,Liberia,166,8,18,,58,90,,33,4,,,0505
146,Myanmar,161,6,6,,49,106,,3,01,9025,166,0505
147,Guadeloupe,152,,12,,98,42,5,380,30,,,0505
148,Madagascar,149,,,,99,50,1,5,,3772,136,0505
149,Gibraltar,144,,,,133,11,,4274,,2931,86997,0505
150,Ethiopia,140,5,3,,75,62,,1,003,24088,210,0505
151,Brunei ,138,,1,,130,7,2,315,2,14476,33090,0505
152,Zambia,137,13,3,,78,56,1,7,02,7277,396,0505
153,French Guiana,133,5,1,,100,32,2,445,3,,,0505
154,Togo,126,2,9,,74,43,,15,1,7891,953,0505
155,Cambodia,122,,,,120,2,1,7,,12378,740,0505
156,Chad,117,,10,,39,68,,7,06,,,0505
157,Trinidad and Tobago,116,,8,,99,9,,83,6,2012,1438,0505
158,Eswatini,116,4,1,,12,103,,100,09,714,615,0505
159,Bermuda,115,,7,,54,54,4,1847,112,3270,52507,0505
160,Haiti,100,15,11,3,10,79,,9,10,1026,90,0505
161,Aruba,100,,2,,81,17,4,937,19,1758,16466,0505
162,Uganda,97,8,,,55,42,,2,,41478,907,0505
163,Benin,96,6,2,,50,44,,8,02,,,0505
164,Monaco,95,,4,,78,13,1,2421,102,,,0505
165,Guyana,92,10,9,,27,56,3,117,11,579,736,0505
166,CAR,85,13,,,10,75,,18,,3498,724,0505
167,Bahamas,83,,11,,25,47,1,211,28,1391,3537,0505
168,Barbados,82,1,7,,46,29,4,285,24,2458,8553,0505
169,Liechtenstein,82,,1,,55,26,,2151,26,900,23605,0505
170,Mozambique,80,,,,19,61,,3,,2466,79,0505
171,Sint Maarten,76,,13,,44,19,7,1773,303,329,7673,0505
172,Cayman Islands,75,1,1,,14,60,3,1141,15,2528,38465,0505
173,Nepal,75,,,,16,59,,3,,63102,2166,0505
174,Libya,63,,3,,23,37,,9,04,2338,340,0505
175,French Polynesia,58,,,,53,5,1,206,,2665,9487,0505
176,South Sudan,46,,,,,46,,4,,1247,111,0505
177,Macao,45,,,,39,6,1,69,,,,0505
178,Syria,44,,3,,27,14,,3,02,,,0505
179,Malawi,41,2,3,,9,29,1,2,02,907,47,0505
180,Mongolia,40,1,,,12,28,,12,,8250,2517,0505
181,Eritrea,39,,,,26,13,,11,,,,0505
182,Saint Martin,38,,3,,29,6,1,983,78,,,0505
183,Angola,35,,2,,11,22,,1,006,3000,91,0505
184,Zimbabwe,34,,4,,5,25,,2,03,7642,514,0505
185,Antigua and Barbuda,25,,3,,15,7,1,255,31,151,1542,0505
186,Timor-Leste,24,,,,20,4,,18,,664,504,0505
187,Sao Tome and Principe,23,7,3,2,4,16,,105,14,175,799,0505
188,Botswana,23,,1,,8,14,,10,04,8636,3672,0505
189,Grenada,21,,,,13,8,4,187,,1406,12495,0505
190,Laos,19,,,,9,10,,3,,2223,306,0505
191,Belize,18,,2,,13,3,1,45,5,1043,2623,0505
192,Fiji,18,,,,14,4,,20,,1007,1123,0505
193,New Caledonia,18,,,,17,1,1,63,,4947,17328,0505
194,Saint Lucia,18,,,,15,3,,98,,446,2429,0505
195,Gambia,17,,1,,9,7,,7,04,401,166,0505
196,St. Vincent Grenadines,17,1,,,9,8,,153,,137,1235,0505
197,Curaçao,16,,1,,13,2,,98,6,351,2139,0505
198,Dominica,16,,,,13,3,,222,,383,5320,0505
199,Namibia,16,,,,8,8,,6,,1122,442,0505
200,Nicaragua,15,1,5,2,7,3,,2,08,,,0505
201,Burundi,15,,1,,7,7,,1,008,284,24,0505
202,Saint Kitts and Nevis,15,,,,8,7,,282,,294,5526,0505
203,Falkland Islands,13,,,,13,0,,3736,,388,111494,0505
204,Yemen,12,2,2,,1,9,,04,007,120,4,0505
205,Turks and Caicos,12,,1,,6,5,,310,26,107,2764,0505
206,Montserrat,11,,1,,7,3,1,2204,200,36,7212,0505
207,Greenland,11,,,,11,0,,194,,1294,22794,0505
208,Vatican City,11,,,,2,9,,13733,,,,0505
209,Seychelles,11,,,,6,5,,112,,,,0505
210,Suriname,10,,1,,9,0,,17,2,404,689,0505
211,MS Zaandam,9,,2,,,7,,,,,,0505
212,Mauritania,8,,1,,6,1,,2,02,1032,222,0505
213,Papua New Guinea,8,,,,6,2,,09,,2402,268,0505
214,Bhutan,7,,,,5,2,,9,,10980,14230,0505
215,British Virgin Islands,6,,1,,3,2,,198,33,,,0505
216,Caribbean Netherlands,6,,,,,6,,229,,110,4195,0505
217,St. Barth,6,,,,6,0,,607,,,,0505
218,Western Sahara,6,,,,5,1,,10,,,,0505
219,Anguilla,3,,,,3,0,,200,,,,0505
220,Comoros,3,,,,,3,,3,,,,0505
221,Saint Pierre Miquelon,1,,,,,1,,173,,,,0505
222,Total:,572839,14037,20078,461,305076,247685,5294,,,,,0505
223,Total:,1319037,27956,76774,1621,232311,1009952,17295,,,,,0505
224,Total:,1469911,22408,142143,1540,554865,772903,16949,,,,,0505
225,Total:,224274,12462,11268,428,78385,134621,9938,,,,,0505
226,Total:,48075,2695,1848,46,16231,29996,129,,,,,0505
227,Total:,8414,24,115,,7225,1074,30,,,,,0505
228,Total:,721,,15,,645,61,4,,,,,0505
