,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0, China ,66291,2440,1520,140,7977,10730,,-1,-1,-1,-1,0214
1, Japan ,259,8,1,,11,9,,-1,-1,-1,-1,0214
2, Singapore ,67,9,,,17,8,,-1,-1,-1,-1,0214
3, Hong Kong ,56,3,1,,1,7,,-1,-1,-1,-1,0214
4, Thailand ,33,,,,13,1,,-1,-1,-1,-1,0214
5, S. Korea ,28,,,,7,,,-1,-1,-1,-1,0214
6, Malaysia ,19,,,,7,,,-1,-1,-1,-1,0214
7, Taiwan ,18,,,,1,,,-1,-1,-1,-1,0214
8, Germany ,16,,,,1,,,-1,-1,-1,-1,0214
9, Vietnam ,16,,,,7,,,-1,-1,-1,-1,0214
10, USA ,15,,,,3,,,-1,-1,-1,-1,0214
11, Australia ,15,,,,10,,,-1,-1,-1,-1,0214
12, France ,11,,,,3,1,,-1,-1,-1,-1,0214
13, Macao ,10,,,,3,,,-1,-1,-1,-1,0214
14, U.K. ,9,,,,1,,,-1,-1,-1,-1,0214
15, Canada ,8,1,,,1,,,-1,-1,-1,-1,0214
16, U.A.E. ,8,,,,1,1,,-1,-1,-1,-1,0214
17, Philippines ,3,,1,,2,,,-1,-1,-1,-1,0214
18, Italy ,3,,,,,2,,-1,-1,-1,-1,0214
19, India ,3,,,,1,,,-1,-1,-1,-1,0214
20, Spain ,2,,,,1,,,-1,-1,-1,-1,0214
21, Russia ,2,,,,2,,,-1,-1,-1,-1,0214
22, Sweden ,1,,,,,,,-1,-1,-1,-1,0214
23, Belgium ,1,,,,,,,-1,-1,-1,-1,0214
24, Egypt ,1,1,,,,,,-1,-1,-1,-1,0214
25, Nepal ,1,,,,1,,,-1,-1,-1,-1,0214
26, Sri Lanka ,1,,,,1,,,-1,-1,-1,-1,0214
27, Finland ,1,,,,1,,,-1,-1,-1,-1,0214
