,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0, China,17205,2824,361,57,494,2296,,-1,-1,-1,-1,0202
1, Japan,20,,,,,,,-1,-1,-1,-1,0202
2, Thailand,19,,,,7,,,-1,-1,-1,-1,0202
3, Singapore,18,,,,,,,-1,-1,-1,-1,0202
4, South Korea,15,3,,,,,,-1,-1,-1,-1,0202
5, Hong Kong,15,2,,,,,,-1,-1,-1,-1,0202
6, Australia,12,,,,2,,,-1,-1,-1,-1,0202
7, U.S.,11,3,,,,,,-1,-1,-1,-1,0202
8, Taiwan,10,,,,,,,-1,-1,-1,-1,0202
9, Germany,10,2,,,,,,-1,-1,-1,-1,0202
10, Vietnam,8,2,,,1,,,-1,-1,-1,-1,0202
11, Malaysia,8,,,,,,,-1,-1,-1,-1,0202
12, Macao,8,1,,,,,,-1,-1,-1,-1,0202
13, France,6,,,,,2,,-1,-1,-1,-1,0202
14, U.A.E.,5,,,,,,,-1,-1,-1,-1,0202
15, Canada,4,,,,,,,-1,-1,-1,-1,0202
16, Philippines,2,1,1,1,,,,-1,-1,-1,-1,0202
17, U.K.,2,,,,,,,-1,-1,-1,-1,0202
18, Italy,2,,,,,,,-1,-1,-1,-1,0202
19, India,2,1,,,,,,-1,-1,-1,-1,0202
20, Russia,2,,,,,,,-1,-1,-1,-1,0202
21, Cambodia,1,,,,,,,-1,-1,-1,-1,0202
22, Sweden,1,,,,,,,-1,-1,-1,-1,0202
23, Nepal,1,,,,,,,-1,-1,-1,-1,0202
24, Sri Lanka,1,,,,1,,,-1,-1,-1,-1,0202
25, Finland,1,,,,,,,-1,-1,-1,-1,0202
