,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,China,80928,34,3245,8,70420,7263,2274,56,-1,-1,-1,0319
1,Italy,35713,4207,2978,475,4025,28710,2257,591,-1,-1,-1,0319
2,Iran,17361,1192,1135,147,5710,10516,,207,-1,-1,-1,0319
3,Spain,14769,2943,638,105,1081,13050,800,316,-1,-1,-1,0319
4,Germany,12327,2960,28,2,105,12194,2,147,-1,-1,-1,0319
5,USA,9259,2848,150,41,106,9003,64,28,-1,-1,-1,0319
6,France,9134,1404,264,89,602,8268,931,140,-1,-1,-1,0319
7,S. Korea,8413,93,84,3,1540,6789,59,164,-1,-1,-1,0319
8,Switzerland,3115,373,33,6,15,3067,,360,-1,-1,-1,0319
9,UK,2626,676,104,33,65,2457,20,39,-1,-1,-1,0319
10,Netherlands,2051,346,58,15,2,1991,45,120,-1,-1,-1,0319
11,Austria,1646,314,4,,9,1633,12,183,-1,-1,-1,0319
12,Norway,1591,120,6,3,1,1584,27,293,-1,-1,-1,0319
13,Belgium,1486,243,14,4,31,1441,33,128,-1,-1,-1,0319
14,Sweden,1301,105,10,2,15,1276,12,129,-1,-1,-1,0319
15,Denmark,1057,80,4,,1,1052,24,182,-1,-1,-1,0319
16,Japan,914,36,29,,191,694,41,7,-1,-1,-1,0319
17,Malaysia,790,117,2,,60,728,15,24,-1,-1,-1,0319
18,Canada,727,129,9,1,12,706,1,19,-1,-1,-1,0319
19,Diamond Princess,712,,7,,458,247,14,,-1,-1,-1,0319
20,Portugal,642,194,2,1,4,636,18,63,-1,-1,-1,0319
21,Australia,596,141,6,1,43,547,1,23,-1,-1,-1,0319
22,Brazil,529,183,4,3,2,523,18,2,-1,-1,-1,0319
23,Czechia,522,88,,,3,519,5,49,-1,-1,-1,0319
24,Qatar,452,10,,,4,448,,157,-1,-1,-1,0319
25,Israel,433,96,,,11,422,6,50,-1,-1,-1,0319
26,Greece,418,31,5,,14,399,13,40,-1,-1,-1,0319
27,Ireland,366,74,2,,5,359,6,74,-1,-1,-1,0319
28,Finland,359,37,,,10,349,2,65,-1,-1,-1,0319
29,Singapore,313,47,,,117,196,14,54,-1,-1,-1,0319
30,Pakistan,307,60,2,2,13,292,,1,-1,-1,-1,0319
31,Poland,287,49,5,,13,269,3,8,-1,-1,-1,0319
32,Slovenia,286,11,1,,,285,6,138,-1,-1,-1,0319
33,Romania,260,43,,,19,241,5,14,-1,-1,-1,0319
34,Estonia,258,33,,,1,257,1,194,-1,-1,-1,0319
35,Bahrain,256,15,1,,95,160,3,150,-1,-1,-1,0319
36,Iceland,250,3,,,5,245,1,733,-1,-1,-1,0319
37,Saudi Arabia,238,67,,,6,232,,7,-1,-1,-1,0319
38,Chile,238,37,,,,238,3,12,-1,-1,-1,0319
39,Indonesia,227,55,19,12,11,197,,08,-1,-1,-1,0319
40,Thailand,212,35,1,,42,169,1,3,-1,-1,-1,0319
41,Egypt,210,14,6,,28,176,,2,-1,-1,-1,0319
42,Luxembourg,203,63,2,1,,201,1,324,-1,-1,-1,0319
43,Philippines,202,15,17,3,7,178,1,2,-1,-1,-1,0319
44,Hong Kong,193,25,4,,95,94,4,26,-1,-1,-1,0319
45,Turkey,191,93,2,1,,189,,2,-1,-1,-1,0319
46,India,169,26,3,,14,152,,01,-1,-1,-1,0319
47,Ecuador,168,57,3,1,1,164,2,10,-1,-1,-1,0319
48,Iraq,164,10,12,1,41,111,,4,-1,-1,-1,0319
49,Russia,147,33,,,8,139,,1,-1,-1,-1,0319
50,Peru,145,28,,,1,144,8,4,-1,-1,-1,0319
51,Kuwait,142,12,,,15,127,4,33,-1,-1,-1,0319
52,San Marino,140,21,14,3,4,122,11,4126,-1,-1,-1,0319
53,Lebanon,133,9,4,,4,125,3,19,-1,-1,-1,0319
54,South Africa,116,31,,,,116,,2,-1,-1,-1,0319
55,UAE,113,,,,26,87,2,11,-1,-1,-1,0319
56,Armenia,110,32,,,1,109,2,37,-1,-1,-1,0319
57,Panama,109,40,1,,,108,7,25,-1,-1,-1,0319
58,Slovakia,105,8,,,,105,2,19,-1,-1,-1,0319
59,Taiwan,100,23,1,,22,77,,4,-1,-1,-1,0319
60,Argentina,97,18,2,,3,92,1,2,-1,-1,-1,0319
61,Mexico,93,11,,,4,89,1,07,-1,-1,-1,0319
62,Colombia,93,28,,,1,92,,2,-1,-1,-1,0319
63,Bulgaria,92,11,2,,,90,,13,-1,-1,-1,0319
64,Croatia,89,20,,,5,84,,22,-1,-1,-1,0319
65,Serbia,89,17,,,1,88,4,10,-1,-1,-1,0319
66,Uruguay,79,29,,,,79,,23,-1,-1,-1,0319
67,Vietnam,76,10,,,16,60,,08,-1,-1,-1,0319
68,Algeria,75,14,7,2,32,36,,2,-1,-1,-1,0319
69,Latvia,71,11,,,1,70,,38,-1,-1,-1,0319
70,Costa Rica,69,19,1,1,,68,2,14,-1,-1,-1,0319
71,Brunei ,68,12,,,,68,2,155,-1,-1,-1,0319
72,Albania,59,4,2,1,,57,2,21,-1,-1,-1,0319
73,Hungary,58,8,1,,2,55,4,6,-1,-1,-1,0319
74,Cyprus,58,9,,,,58,1,48,-1,-1,-1,0319
75,Faeroe Islands,58,11,,,1,57,,1187,-1,-1,-1,0319
76,Jordan,56,8,,,1,55,,5,-1,-1,-1,0319
77,Morocco,54,10,2,,1,51,1,1,-1,-1,-1,0319
