,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,China,81518,79,3305,5,76052,2161,528,57,2,10,-1,0331
1,USA,163788,20297,3141,558,5506,155141,3512,495,9,20,-1,0331
2,Italy,101739,4050,11591,812,14620,75528,3981,1683,192,29,-1,0331
3,Spain,87956,7846,7716,913,16780,63460,5231,1881,165,30,-1,0331
4,Germany,66885,4450,645,104,13500,52740,1979,798,8,26,-1,0331
5,France,44550,4376,3024,418,7927,33599,5056,683,46,23,-1,0331
6,Iran,41495,3186,2757,117,13911,24827,3511,494,33,18,-1,0331
7,UK,22141,2619,1408,180,135,20598,163,326,21,30,-1,0331
8,Switzerland,15922,1093,359,59,1823,13740,301,1840,41,24,-1,0331
9,Belgium,11899,1063,513,82,1527,9859,927,1027,44,03,-1,0331
10,Netherlands,11750,884,864,93,250,10636,1053,686,50,26,-1,0331
11,Turkey,10827,1610,168,37,162,10497,568,128,2,09,-1,0331
12,S. Korea,9661,78,158,6,5228,4275,59,188,3,19,-1,0331
13,Austria,9618,830,108,22,636,8874,193,1068,12,24,-1,0331
14,Canada,7448,1128,89,24,1093,6266,120,197,2,24,-1,0331
15,Portugal,6408,446,140,21,43,6225,164,628,14,01,-1,0331
16,Israel,4695,448,16,1,161,4518,79,542,2,20,-1,0331
17,Brazil,4630,374,163,27,120,4347,296,22,08,24,-1,0331
18,Australia,4460,297,19,2,244,4197,28,175,07,24,-1,0331
19,Norway,4445,161,32,6,12,4401,97,820,6,25,-1,0331
20,Sweden,4028,328,146,36,16,3866,306,399,14,30,-1,0331
21,Czechia,3001,184,23,7,25,2953,52,280,2,29,-1,0331
22,Ireland,2910,295,54,8,5,2851,84,589,11,28,-1,0331
23,Malaysia,2626,156,37,2,479,2110,94,81,1,24,-1,0331
24,Denmark,2577,182,77,5,1,2499,137,445,13,26,-1,0331
25,Chile,2449,310,8,1,156,2285,14,128,04,02,-1,0331
26,Romania,2109,294,65,22,209,1835,33,110,3,25,-1,0331
27,Poland,2055,193,31,9,7,2017,3,54,08,03,-1,0331
28,Luxembourg,1988,38,22,1,40,1926,25,3176,35,28,-1,0331
29,Ecuador,1966,42,62,4,3,1901,58,111,4,28,-1,0331
30,Japan,1953,87,56,2,424,1473,56,15,04,14,-1,0331
31,Russia,1836,302,9,1,66,1761,8,13,006,30,-1,0331
32,Pakistan,1717,120,21,7,76,1620,11,8,010,25,-1,0331
33,Philippines,1546,128,78,7,42,1426,1,14,07,29,-1,0331
34,Thailand,1524,136,9,2,229,1286,11,22,01,12,-1,0331
35,Saudi Arabia,1453,154,8,,115,1330,12,42,02,01,-1,0331
36,Indonesia,1414,129,122,8,75,1217,,5,04,01,-1,0331
37,Finland,1352,112,13,2,10,1329,49,244,2,28,-1,0331
38,South Africa,1326,46,3,1,31,1292,7,22,005,04,-1,0331
39,India,1251,227,32,5,102,1117,,09,002,29,-1,0331
40,Greece,1212,56,46,7,52,1114,72,116,4,25,-1,0331
41,Iceland,1086,66,2,,157,927,25,3182,6,27,-1,0331
42,Panama,1075,86,27,3,9,1039,43,249,6,09,-1,0331
43,Mexico,993,145,20,4,35,938,1,8,02,27,-1,0331
44,Peru,950,98,24,6,53,873,49,29,07,05,-1,0331
45,Dominican Republic,901,42,42,3,4,855,,83,4,29,-1,0331
46,Singapore,879,35,3,,228,648,19,150,05,22,-1,0331
47,Argentina,820,,23,3,228,569,,18,05,02,-1,0331
48,Colombia,798,96,14,4,15,769,29,16,03,05,-1,0331
49,Croatia,790,77,6,,67,717,27,192,1,24,-1,0331
50,Serbia,785,44,16,3,42,727,62,90,2,05,-1,0331
51,Slovenia,756,26,11,,10,735,28,364,5,03,-1,0331
52,Estonia,715,36,3,,20,692,10,539,2,26,-1,0331
53,Diamond Princess,712,,10,,603,99,15,,,04,-1,0331
54,Qatar,693,59,1,,51,641,6,241,03,28,-1,0331
55,Hong Kong,683,41,4,,118,561,5,91,05,22,-1,0331
56,Egypt,656,47,41,1,150,465,,6,04,13,-1,0331
57,Iraq,630,83,46,4,152,432,,16,1,21,-1,0331
58,UAE,611,41,5,2,61,545,2,62,05,28,-1,0331
59,New Zealand,589,75,1,,63,525,2,122,02,27,-1,0331
60,Algeria,584,73,35,4,37,512,,13,08,24,-1,0331
61,Morocco,556,77,33,7,15,508,1,15,09,01,-1,0331
62,Ukraine,548,73,13,3,8,527,,13,03,02,-1,0331
63,Bahrain,515,16,4,,295,216,2,303,2,23,-1,0331
64,Lithuania,491,31,7,,7,477,5,180,3,27,-1,0331
65,Armenia,482,58,3,,30,449,15,163,1,29,-1,0331
66,Hungary,447,39,15,2,34,398,6,46,2,03,-1,0331
67,Lebanon,446,8,11,1,35,400,3,65,2,20,-1,0331
68,Latvia,376,29,,,1,375,3,199,,01,-1,0331
69,Andorra,370,36,8,2,10,352,10,4789,104,01,-1,0331
70,Bosnia and Herzegovina,368,45,10,4,17,341,1,112,3,04,-1,0331
71,Tunisia,362,50,9,1,3,350,10,31,08,01,-1,0331
72,Bulgaria,359,13,8,,17,334,13,52,1,06,-1,0331
73,Slovakia,336,22,,,7,329,1,62,,05,-1,0331
74,Costa Rica,330,16,2,,4,324,7,65,04,04,-1,0331
75,Uruguay,320,16,1,,25,294,9,92,03,12,-1,0331
76,Taiwan,306,8,5,2,39,262,,13,02,20,-1,0331
77,Kazakhstan,302,18,1,,21,280,,16,005,12,-1,0331
78,Moldova,298,35,2,,15,281,44,74,05,06,-1,0331
79,North Macedonia,285,26,7,1,12,266,1,137,3,25,-1,0331
80,Azerbaijan,273,64,4,,26,243,23,27,04,27,-1,0331
81,Jordan,268,9,5,2,26,237,3,26,05,01,-1,0331
82,Kuwait,266,11,,,72,194,13,62,,23,-1,0331
83,Burkina Faso,246,24,12,,31,203,,12,06,08,-1,0331
84,San Marino,230,6,25,3,13,192,16,6778,737,26,-1,0331
85,Cyprus,230,16,7,1,22,201,3,190,6,08,-1,0331
86,Réunion,224,41,,,1,223,,250,,10,-1,0331
87,Albania,223,11,11,1,44,168,7,77,4,07,-1,0331
88,Vietnam,204,10,,,55,149,3,2,,22,-1,0331
89,Oman,179,12,,,29,150,3,35,,23,-1,0331
90,Afghanistan,170,50,4,,2,164,,4,01,23,-1,0331
91,Cuba,170,31,4,1,4,162,2,15,04,10,-1,0331
92,Ivory Coast,168,3,1,,6,161,,6,004,10,-1,0331
93,Faeroe Islands,168,9,,,70,98,1,3438,,03,-1,0331
94,Senegal,162,20,,,27,135,,10,,01,-1,0331
95,Malta,156,5,,,2,154,4,353,,06,-1,0331
96,Ghana,152,,5,,2,145,1,5,02,11,-1,0331
97,Belarus,152,58,,,32,120,2,16,,27,-1,0331
98,Uzbekistan,149,5,2,,7,140,8,4,006,14,-1,0331
99,Channel Islands,141,33,2,,,139,,811,12,08,-1,0331
100,Honduras,139,29,7,4,3,129,4,14,07,10,-1,0331
101,Cameroon,139,,6,,5,128,,5,02,05,-1,0331
102,Venezuela,135,16,3,,39,93,6,5,01,12,-1,0331
103,Nigeria,131,20,2,1,8,121,,06,001,27,-1,0331
104,Mauritius,128,21,3,,,125,1,101,2,17,-1,0331
105,Brunei ,127,1,1,,38,88,3,290,2,08,-1,0331
106,Sri Lanka,122,5,2,1,15,105,5,6,009,26,-1,0331
107,Palestine,117,8,1,,18,98,,23,02,04,-1,0331
108,Cambodia,107,4,,,21,86,1,6,,26,-1,0331
109,Guadeloupe,106,,4,,17,85,10,265,10,12,-1,0331
110,Georgia,103,12,,,20,83,6,26,,25,-1,0331
111,Bolivia,97,16,4,3,,93,3,8,03,09,-1,0331
112,Kyrgyzstan,94,10,,,3,91,,14,,17,-1,0331
113,Martinique,93,,1,,,92,12,248,3,04,-1,0331
114,Montenegro,91,6,1,,,90,1,145,2,16,-1,0331
115,Trinidad and Tobago,83,5,3,,1,79,,59,2,11,-1,0331
116,Mayotte,82,19,,,10,72,3,301,,13,-1,0331
117,DRC,81,,8,,2,71,,09,009,09,-1,0331
118,Rwanda,70,,,,,70,,5,,13,-1,0331
119,Gibraltar,69,4,,,34,35,,2048,,02,-1,0331
120,Paraguay,64,5,3,,1,60,3,9,04,06,-1,0331
121,Liechtenstein,62,6,,,,62,,1626,,02,-1,0331
122,Kenya,50,8,1,,1,48,2,09,002,12,-1,0331
123,Aruba,50,,,,1,49,,468,,12,-1,0331
124,Bangladesh,49,1,5,,19,25,1,03,003,07,-1,0331
125,Monaco,49,3,1,,1,47,,1249,25,27,-1,0331
126,Isle of Man,49,7,,,,49,,576,,18,-1,0331
127,French Guiana,43,,,,6,37,,144,,06,-1,0331
128,Madagascar,43,4,,,,43,,2,,19,-1,0331
129,Macao,38,1,,,10,28,,59,,21,-1,0331
130,Guatemala,36,2,1,,10,25,1,2,006,12,-1,0331
131,Jamaica,36,4,1,,2,33,,12,03,09,-1,0331
132,French Polynesia,36,6,,,,36,2,128,,10,-1,0331
133,Zambia,35,6,,,,35,,2,,17,-1,0331
134,Barbados,33,,,,,33,,115,,16,-1,0331
135,Uganda,33,,,,,33,,07,,20,-1,0331
136,Togo,30,5,1,,1,28,,4,01,05,-1,0331
137,El Salvador,30,6,,,,30,5,5,,18,-1,0331
138,Niger,27,9,3,2,,24,,1,01,18,-1,0331
139,Bermuda,27,5,,,2,25,,434,,17,-1,0331
140,Mali,25,7,2,1,,23,,1,010,24,-1,0331
141,Ethiopia,23,2,,,4,19,1,02,,12,-1,0331
142,Guinea,22,6,,,,22,,2,,12,-1,0331
143,Congo,19,,,,,19,,3,,14,-1,0331
144,Tanzania,19,5,,,1,18,,03,,15,-1,0331
145,Djibouti,18,,,,,18,,18,,17,-1,0331
146,Maldives,17,,,,13,4,,31,,06,-1,0331
147,Saint Martin,15,4,1,1,2,12,,388,26,29,-1,0331
148,Eritrea,15,3,,,,15,,4,,20,-1,0331
149,Haiti,15,,,,1,14,,1,,19,-1,0331
150,New Caledonia,15,,,,,15,,53,,17,-1,0331
151,Bahamas,14,,,,1,13,,36,,14,-1,0331
152,Myanmar,14,4,,,,14,,03,,22,-1,0331
153,Cayman Islands,12,,1,,,11,,183,15,12,-1,0331
154,Dominica,12,1,,,,12,,167,,21,-1,0331
155,Equatorial Guinea,12,,,,,12,,9,,13,-1,0331
156,Mongolia,12,,,,2,10,,4,,09,-1,0331
157,Curaçao,11,3,1,,2,8,,67,6,12,-1,0331
158,Namibia,11,,,,2,9,,4,,13,-1,0331
159,Syria,10,1,2,1,,8,,06,01,21,-1,0331
160,Greenland,10,,,,2,8,,176,,15,-1,0331
161,Grenada,9,,,,,9,,80,,21,-1,0331
162,Saint Lucia,9,,,,1,8,,49,,12,-1,0331
163,Eswatini,9,,,,,9,,8,,13,-1,0331
164,Guyana,8,,1,,,7,,10,1,11,-1,0331
165,Guinea-Bissau,8,6,,,,8,,4,,24,-1,0331
166,Laos,8,,,,,8,,1,,23,-1,0331
167,Libya,8,,,,,8,,1,,23,-1,0331
168,Mozambique,8,,,,,8,,03,,21,-1,0331
169,Seychelles,8,,,,,8,,81,,13,-1,0331
170,Suriname,8,,,,,8,,14,,12,-1,0331
171,Angola,7,,2,,1,4,,02,006,19,-1,0331
172,Gabon,7,,1,,,6,,3,04,12,-1,0331
173,Zimbabwe,7,,1,,,6,,05,007,19,-1,0331
174,Antigua and Barbuda,7,,,,,7,,71,,12,-1,0331
175,Saint Kitts and Nevis,7,5,,,,7,,132,,24,-1,0331
176,Sudan,6,,2,1,,4,,01,005,12,-1,0331
177,Cabo Verde,6,,1,,,5,,11,2,19,-1,0331
178,Mauritania,6,1,1,1,2,3,,1,02,12,-1,0331
179,Benin,6,,,,,6,,05,,15,-1,0331
180,Vatican City,6,,,,,6,,7491,,05,-1,0331
181,St. Barth,6,1,,,1,5,,607,,29,-1,0331
182,Sint Maarten,6,,,,,6,,140,,17,-1,0331
183,Nepal,5,,,,1,4,,02,,23,-1,0331
184,Chad,5,2,,,,5,,03,,18,-1,0331
185,Fiji,5,,,,,5,,6,,18,-1,0331
186,Montserrat,5,,,,,5,,1002,,17,-1,0331
187,Turks and Caicos,5,1,,,,5,,129,,22,-1,0331
188,Gambia,4,,1,,,3,,2,04,16,-1,0331
189,Nicaragua,4,,1,,,3,,06,02,18,-1,0331
190,Bhutan,4,,,,,4,,5,,05,-1,0331
191,Belize,3,1,,,,3,,8,,22,-1,0331
192,Botswana,3,3,,,,3,,1,,29,-1,0331
193,CAR,3,,,,,3,,06,,14,-1,0331
194,Liberia,3,,,,,3,,06,,15,-1,0331
195,Somalia,3,,,,,3,,02,,15,-1,0331
196,MS Zaandam,2,,,,,2,,,,26,-1,0331
197,Anguilla,2,,,,,2,,133,,25,-1,0331
198,British Virgin Islands,2,,,,,2,,66,,24,-1,0331
199,Papua New Guinea,1,,,,,1,,01,,19,-1,0331
200,St. Vincent Grenadines,1,,,,1,0,,9,,10,-1,0331
201,Timor-Leste,1,,,,,1,,08,,20,-1,0331
