,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0, China ,40185,2987,908,97,3422,6484,,-1,-1,-1,-1,0209
1, Japan ,156,67,,,4,,,-1,-1,-1,-1,0209
2, Singapore ,43,3,,,6,6,,-1,-1,-1,-1,0209
3, Hong Kong ,36,10,1,,,,,-1,-1,-1,-1,0209
4, Thailand ,32,,,,10,1,,-1,-1,-1,-1,0209
5, S. Korea ,27,3,,,3,,,-1,-1,-1,-1,0209
6, Taiwan ,18,1,,,1,,,-1,-1,-1,-1,0209
7, Malaysia ,18,2,,,3,,,-1,-1,-1,-1,0209
8, Australia ,15,,,,5,,,-1,-1,-1,-1,0209
9, Vietnam ,14,1,,,3,,,-1,-1,-1,-1,0209
10, Germany ,14,,,,,,,-1,-1,-1,-1,0209
11, USA ,12,,,,3,,,-1,-1,-1,-1,0209
12, France ,11,,,,,1,,-1,-1,-1,-1,0209
13, Macao ,10,,,,1,,,-1,-1,-1,-1,0209
14, U.A.E. ,7,,,,,,,-1,-1,-1,-1,0209
15, Canada ,7,,,,,,,-1,-1,-1,-1,0209
16, U.K. ,4,1,,,,,,-1,-1,-1,-1,0209
17, Philippines ,3,,1,,2,,,-1,-1,-1,-1,0209
18, Italy ,3,,,,,2,,-1,-1,-1,-1,0209
19, India ,3,,,,,,,-1,-1,-1,-1,0209
20, Russia ,2,,,,,,,-1,-1,-1,-1,0209
21, Spain ,2,1,,,,,,-1,-1,-1,-1,0209
22, Sri Lanka ,1,,,,1,,,-1,-1,-1,-1,0209
23, Cambodia ,1,,,,1,,,-1,-1,-1,-1,0209
24, Finland ,1,,,,1,,,-1,-1,-1,-1,0209
25, Nepal ,1,,,,,,,-1,-1,-1,-1,0209
26, Sweden ,1,,,,,,,-1,-1,-1,-1,0209
