,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0, China ,80282,12,2981,,27280,50021,6416,-1,-1,-1,-1,0304
1, S. Korea ,5621,435,35,3,5545,41,52,-1,-1,-1,-1,0304
2, Italy ,3089,587,107,28,2706,276,295,-1,-1,-1,-1,0304
3, Iran ,2922,586,92,15,2278,552,,-1,-1,-1,-1,0304
4, Diamond Princess ,706,,6,,488,212,35,-1,-1,-1,-1,0304
5, Japan ,331,38,6,,282,43,29,-1,-1,-1,-1,0304
6, France ,285,73,4,,269,12,15,-1,-1,-1,-1,0304
7, Germany ,262,59,,,246,16,2,-1,-1,-1,-1,0304
8, Spain ,228,63,2,1,224,2,7,-1,-1,-1,-1,0304
9, USA ,158,34,11,2,138,9,8,-1,-1,-1,-1,0304
10, Singapore ,110,,,,32,78,7,-1,-1,-1,-1,0304
11, Hong Kong ,103,2,2,,64,37,6,-1,-1,-1,-1,0304
12, Switzerland ,93,35,,,90,3,,-1,-1,-1,-1,0304
13, U.K. ,87,36,,,79,8,,-1,-1,-1,-1,0304
14, Norway ,59,26,,,59,,,-1,-1,-1,-1,0304
15, Kuwait ,56,,,,56,,,-1,-1,-1,-1,0304
16, Bahrain ,52,3,,,51,1,,-1,-1,-1,-1,0304
17, Sweden ,52,22,,,51,1,,-1,-1,-1,-1,0304
18, Australia ,50,11,2,1,27,21,1,-1,-1,-1,-1,0304
19, Malaysia ,50,14,,,28,22,,-1,-1,-1,-1,0304
20, Thailand ,43,,1,,12,30,1,-1,-1,-1,-1,0304
21, Taiwan ,42,,1,,29,12,,-1,-1,-1,-1,0304
22, Netherlands ,38,15,,,38,,1,-1,-1,-1,-1,0304
23, Iraq ,35,3,2,2,33,,,-1,-1,-1,-1,0304
24, Canada ,33,3,,,26,7,,-1,-1,-1,-1,0304
25, Austria ,29,5,,,29,,,-1,-1,-1,-1,0304
26, India ,29,22,,,26,3,,-1,-1,-1,-1,0304
27, U.A.E. ,28,1,,,23,5,2,-1,-1,-1,-1,0304
28, Iceland ,26,12,,,25,1,,-1,-1,-1,-1,0304
29, Belgium ,23,8,,,22,1,1,-1,-1,-1,-1,0304
30, Algeria ,17,9,,,17,,,-1,-1,-1,-1,0304
31, San Marino ,16,6,1,,15,,3,-1,-1,-1,-1,0304
32, Vietnam ,16,,,,0,16,,-1,-1,-1,-1,0304
33, Denmark ,15,5,,,15,,,-1,-1,-1,-1,0304
34, Israel ,15,3,,,14,1,,-1,-1,-1,-1,0304
35, Lebanon ,15,2,,,15,,1,-1,-1,-1,-1,0304
36, Oman ,15,3,,,13,2,,-1,-1,-1,-1,0304
37, Macao ,10,,,,1,9,,-1,-1,-1,-1,0304
38, Croatia ,10,1,,,10,,,-1,-1,-1,-1,0304
39, Ecuador ,10,3,,,10,,1,-1,-1,-1,-1,0304
40, Greece ,9,2,,,9,,,-1,-1,-1,-1,0304
41, Czechia ,8,3,,,8,,,-1,-1,-1,-1,0304
42, Qatar ,8,,,,8,,,-1,-1,-1,-1,0304
43, Finland ,7,,,,6,1,,-1,-1,-1,-1,0304
44, Belarus ,6,2,,,6,,,-1,-1,-1,-1,0304
45, Ireland ,6,4,,,6,,,-1,-1,-1,-1,0304
46, Mexico ,6,,,,5,1,,-1,-1,-1,-1,0304
47, Portugal ,6,2,,,6,,,-1,-1,-1,-1,0304
48, Romania ,6,2,,,5,1,,-1,-1,-1,-1,0304
49, Pakistan ,5,,,,5,,,-1,-1,-1,-1,0304
50, Senegal ,4,2,,,4,,,-1,-1,-1,-1,0304
51, Philippines ,3,,1,,0,2,,-1,-1,-1,-1,0304
52, Azerbaijan ,3,,,,3,,,-1,-1,-1,-1,0304
53, Brazil ,3,1,,,3,,,-1,-1,-1,-1,0304
54, Georgia ,3,,,,3,,,-1,-1,-1,-1,0304
55, New Zealand ,3,1,,,3,,,-1,-1,-1,-1,0304
56, Russia ,3,,,,1,2,,-1,-1,-1,-1,0304
57, Chile ,3,2,,,3,,,-1,-1,-1,-1,0304
58, Egypt ,2,,,,1,1,,-1,-1,-1,-1,0304
59, Estonia ,2,,,,2,,,-1,-1,-1,-1,0304
60, Indonesia ,2,,,,2,,,-1,-1,-1,-1,0304
61, Saudi Arabia ,2,1,,,2,,,-1,-1,-1,-1,0304
62, Hungary ,2,2,,,2,,,-1,-1,-1,-1,0304
63, Afghanistan ,1,,,,1,,,-1,-1,-1,-1,0304
64, Andorra ,1,,,,1,,,-1,-1,-1,-1,0304
65, Armenia ,1,,,,1,,,-1,-1,-1,-1,0304
66, Cambodia ,1,,,,0,1,,-1,-1,-1,-1,0304
67, Dominican Republic ,1,,,,1,,,-1,-1,-1,-1,0304
68, Jordan ,1,,,,1,,,-1,-1,-1,-1,0304
69, Latvia ,1,,,,1,,,-1,-1,-1,-1,0304
70, Lithuania ,1,,,,1,,,-1,-1,-1,-1,0304
71, Luxembourg ,1,,,,1,,,-1,-1,-1,-1,0304
72, North Macedonia ,1,,,,1,,,-1,-1,-1,-1,0304
73, Monaco ,1,,,,1,,,-1,-1,-1,-1,0304
74, Morocco ,1,,,,1,,,-1,-1,-1,-1,0304
75, Nepal ,1,,,,0,1,,-1,-1,-1,-1,0304
76, Nigeria ,1,,,,1,,,-1,-1,-1,-1,0304
77, Sri Lanka ,1,,,,0,1,,-1,-1,-1,-1,0304
78, Tunisia ,1,,,,1,,,-1,-1,-1,-1,0304
79, Ukraine ,1,,,,1,,,-1,-1,-1,-1,0304
80, Argentina ,1,,,,1,,,-1,-1,-1,-1,0304
81, Liechtenstein ,1,,,,1,,,-1,-1,-1,-1,0304
82, Poland ,1,1,,,1,,,-1,-1,-1,-1,0304
83, Slovenia ,1,1,,,1,,,-1,-1,-1,-1,0304
