,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,China,81589,,3318,,76408,1863,429,57,2,-1,-1,0403
1,USA,244877,29874,6071,969,10403,228403,5421,740,18,-1,-1,0403
2,Italy,115242,4668,13915,760,18278,83049,4053,1906,230,-1,-1,0403
3,Spain,112065,7947,10348,961,26743,74974,6092,2397,221,-1,-1,0403
4,Germany,84794,6813,1107,176,22440,61247,3936,1012,13,-1,-1,0403
5,France,59105,2116,5387,1355,12428,41290,6399,905,83,-1,-1,0403
6,Iran,50468,2875,3160,124,16711,30597,3956,601,38,-1,-1,0403
7,UK,33718,4244,2921,569,135,30662,163,497,43,-1,-1,0403
8,Switzerland,18827,1059,536,48,4013,14278,348,2175,62,-1,-1,0403
9,Turkey,18135,2456,356,79,415,17364,1101,215,4,-1,-1,0403
10,Belgium,15348,1384,1011,183,2495,11842,1144,1324,87,-1,-1,0403
11,Netherlands,14697,1083,1339,166,250,13108,1053,858,78,-1,-1,0403
12,Canada,11283,1552,173,59,1979,9131,120,299,5,-1,-1,0403
13,Austria,11129,418,158,12,1749,9222,227,1236,18,-1,-1,0403
14,S. Korea,9976,89,169,4,5828,3979,55,195,3,-1,-1,0403
15,Portugal,9034,783,209,22,68,8757,230,886,20,-1,-1,0403
16,Brazil,8044,1164,324,82,127,7593,296,38,2,-1,-1,0403
17,Israel,6857,765,36,10,338,6483,107,792,4,-1,-1,0403
18,Sweden,5568,621,308,69,103,5157,429,551,30,-1,-1,0403
19,Australia,5314,266,25,2,585,4704,50,208,10,-1,-1,0403
20,Norway,5147,270,50,6,32,5065,96,949,9,-1,-1,0403
21,Czechia,3858,269,44,5,67,3747,72,360,4,-1,-1,0403
22,Ireland,3849,402,98,13,5,3746,109,779,20,-1,-1,0403
23,Russia,3548,771,30,6,235,3283,8,24,02,-1,-1,0403
24,Chile,3404,373,18,2,335,3051,31,178,09,-1,-1,0403
25,Denmark,3386,279,123,19,1089,2174,153,585,21,-1,-1,0403
26,Ecuador,3163,405,120,22,65,2978,100,179,7,-1,-1,0403
27,Malaysia,3116,208,50,5,767,2299,105,96,2,-1,-1,0403
28,Poland,2946,392,57,14,56,2833,50,78,2,-1,-1,0403
29,Romania,2738,278,115,23,267,2356,78,142,6,-1,-1,0403
30,Philippines,2633,322,107,11,51,2475,1,24,10,-1,-1,0403
31,Japan,2617,233,63,6,472,2082,60,21,05,-1,-1,0403
32,India,2543,545,72,14,191,2280,,2,005,-1,-1,0403
33,Luxembourg,2487,168,30,1,80,2377,31,3973,48,-1,-1,0403
34,Pakistan,2421,303,34,7,125,2262,9,11,02,-1,-1,0403
35,Saudi Arabia,1885,165,21,5,328,1536,31,54,06,-1,-1,0403
36,Thailand,1875,104,15,3,505,1355,23,27,02,-1,-1,0403
37,Indonesia,1790,113,170,13,112,1508,,7,06,-1,-1,0403
38,Greece,1544,129,53,2,61,1430,91,148,5,-1,-1,0403
39,Finland,1518,72,19,2,300,1199,65,274,3,-1,-1,0403
40,Panama,1475,158,37,5,9,1429,50,342,9,-1,-1,0403
41,South Africa,1462,82,5,,50,1407,7,25,008,-1,-1,0403
42,Peru,1414,91,55,17,537,822,51,43,2,-1,-1,0403
43,Dominican Republic,1380,96,60,3,16,1304,147,127,6,-1,-1,0403
44,Mexico,1378,163,37,8,35,1306,1,11,03,-1,-1,0403
45,Iceland,1319,99,4,2,284,1031,12,3865,12,-1,-1,0403
46,Argentina,1265,132,36,4,256,973,,28,08,-1,-1,0403
47,Serbia,1171,111,31,3,42,1098,81,134,4,-1,-1,0403
48,Colombia,1161,96,19,2,55,1087,50,23,04,-1,-1,0403
49,Singapore,1049,49,4,1,266,779,24,179,07,-1,-1,0403
50,UAE,1024,210,8,,96,920,2,104,08,-1,-1,0403
51,Croatia,1011,48,7,1,88,916,34,246,2,-1,-1,0403
52,Algeria,986,139,86,28,61,839,,22,2,-1,-1,0403
53,Qatar,949,114,3,1,72,874,37,329,1,-1,-1,0403
54,Ukraine,897,103,22,2,19,856,,21,05,-1,-1,0403
55,Slovenia,897,56,17,2,70,810,31,431,8,-1,-1,0403
56,Egypt,865,86,58,6,201,606,,8,06,-1,-1,0403
57,Estonia,858,79,11,6,45,802,16,647,8,-1,-1,0403
58,Hong Kong,802,36,4,,154,644,8,107,05,-1,-1,0403
59,New Zealand,797,89,1,,92,704,2,165,02,-1,-1,0403
60,Iraq,772,44,54,2,202,516,,19,1,-1,-1,0403
61,Diamond Princess,712,,11,,619,82,10,,,-1,-1,0403
62,Morocco,708,54,44,5,31,633,1,19,1,-1,-1,0403
63,Armenia,663,92,7,3,33,623,30,224,2,-1,-1,0403
64,Lithuania,649,68,9,1,7,633,11,238,3,-1,-1,0403
65,Bahrain,643,74,4,,381,258,3,378,2,-1,-1,0403
66,Hungary,585,60,21,1,42,522,17,61,2,-1,-1,0403
67,Bosnia and Herzegovina,533,74,16,3,20,497,4,162,5,-1,-1,0403
68,Moldova,505,82,6,1,23,476,65,125,1,-1,-1,0403
69,Lebanon,494,15,16,2,46,432,3,72,2,-1,-1,0403
70,Latvia,458,12,,,31,427,3,243,,-1,-1,0403
71,Bulgaria,457,35,10,,25,422,18,66,1,-1,-1,0403
72,Tunisia,455,32,14,2,5,436,10,38,1,-1,-1,0403
73,Kazakhstan,435,55,3,,27,405,6,23,02,-1,-1,0403
74,Andorra,428,38,15,1,10,403,12,5539,194,-1,-1,0403
75,Slovakia,426,26,1,,5,420,3,78,02,-1,-1,0403
76,Azerbaijan,400,41,5,,26,369,7,39,05,-1,-1,0403
77,Costa Rica,396,21,2,,6,388,11,78,04,-1,-1,0403
78,North Macedonia,384,30,11,,17,356,4,184,5,-1,-1,0403
79,Cyprus,356,36,10,1,28,318,11,295,8,-1,-1,0403
80,Uruguay,350,,4,2,62,284,15,101,1,-1,-1,0403
81,Kuwait,342,25,,,81,261,15,80,,-1,-1,0403
82,Taiwan,339,10,5,,50,284,,14,02,-1,-1,0403
83,Réunion,308,27,,,40,268,3,344,,-1,-1,0403
84,Cameroon,306,73,7,1,10,289,,12,03,-1,-1,0403
85,Belarus,304,141,4,2,53,247,11,32,04,-1,-1,0403
86,Jordan,299,21,5,,45,249,5,29,05,-1,-1,0403
87,Burkina Faso,288,6,16,,50,222,,14,08,-1,-1,0403
88,Albania,277,18,16,1,76,185,7,96,6,-1,-1,0403
89,Afghanistan,273,36,6,2,10,257,,7,02,-1,-1,0403
90,San Marino,245,9,30,2,21,194,15,7221,884,-1,-1,0403
91,Cuba,233,21,6,,13,214,7,21,05,-1,-1,0403
92,Vietnam,233,15,,,75,158,3,2,,-1,-1,0403
93,Oman,231,21,1,,57,173,3,45,02,-1,-1,0403
94,Honduras,219,47,14,4,3,202,4,22,1,-1,-1,0403
95,Uzbekistan,205,24,2,,25,178,8,6,006,-1,-1,0403
96,Ghana,204,9,5,,31,168,2,7,02,-1,-1,0403
97,Malta,196,8,,,2,194,2,444,,-1,-1,0403
98,Senegal,195,5,1,,55,139,,12,006,-1,-1,0403
99,Ivory Coast,194,4,1,,15,178,,7,004,-1,-1,0403
100,Channel Islands,193,21,3,,,190,,1110,17,-1,-1,0403
101,Nigeria,184,10,2,,20,162,,09,001,-1,-1,0403
102,Faeroe Islands,177,4,,,81,96,1,3622,,-1,-1,0403
103,Mauritius,169,8,7,1,,162,1,133,6,-1,-1,0403
104,Palestine,161,27,1,,18,142,,32,02,-1,-1,0403
105,Sri Lanka,151,5,4,1,21,126,5,7,02,-1,-1,0403
106,Venezuela,146,2,5,2,43,98,6,5,02,-1,-1,0403
107,Montenegro,144,21,2,,,142,4,229,3,-1,-1,0403
108,Martinique,138,3,3,,27,108,19,368,8,-1,-1,0403
109,DRC,134,25,13,4,3,118,,1,01,-1,-1,0403
110,Georgia,134,17,,,26,108,6,34,,-1,-1,0403
111,Brunei ,133,2,1,,56,76,3,304,2,-1,-1,0403
112,Guadeloupe,128,3,6,,24,98,14,320,15,-1,-1,0403
113,Bolivia,123,8,8,1,1,114,3,11,07,-1,-1,0403
114,Mayotte,116,15,1,,10,105,3,425,4,-1,-1,0403
115,Kyrgyzstan,116,5,,,5,111,5,18,,-1,-1,0403
116,Kenya,110,29,3,2,4,103,2,2,006,-1,-1,0403
117,Cambodia,110,1,,,34,76,1,7,,-1,-1,0403
118,Niger,98,24,5,,,93,,4,02,-1,-1,0403
119,Isle of Man,95,27,1,,,94,,1117,12,-1,-1,0403
120,Trinidad and Tobago,94,4,5,,1,88,,67,4,-1,-1,0403
