,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0, China ,79826,575,2870,35,35320,41636,7664,-1,-1,-1,-1,0229
1, S. Korea ,3150,813,17,1,3109,24,10,-1,-1,-1,-1,0229
2, Italy ,1128,239,29,8,1049,50,105,-1,-1,-1,-1,0229
3, Diamond Princess ,705,,6,,689,10,36,-1,-1,-1,-1,0229
4, Iran ,593,205,43,9,427,123,,-1,-1,-1,-1,0229
5, Japan ,241,8,5,,204,32,20,-1,-1,-1,-1,0229
6, Singapore ,102,4,,,30,72,7,-1,-1,-1,-1,0229
7, France ,100,43,2,,86,12,8,-1,-1,-1,-1,0229
8, Hong Kong ,93,,2,,61,30,6,-1,-1,-1,-1,0229
9, Germany ,79,5,,,63,16,2,-1,-1,-1,-1,0229
10, USA ,68,5,1,1,60,7,1,-1,-1,-1,-1,0229
11, Spain ,58,25,,,56,2,2,-1,-1,-1,-1,0229
12, Kuwait ,45,,,,45,,,-1,-1,-1,-1,0229
13, Thailand ,42,1,,,14,28,2,-1,-1,-1,-1,0229
14, Bahrain ,41,3,,,41,,,-1,-1,-1,-1,0229
15, Taiwan ,39,5,1,,33,5,1,-1,-1,-1,-1,0229
16, Australia ,25,,,,10,15,,-1,-1,-1,-1,0229
17, Malaysia ,25,,,,5,20,,-1,-1,-1,-1,0229
18, U.K. ,23,3,,,15,8,,-1,-1,-1,-1,0229
19, U.A.E. ,21,2,,,16,5,2,-1,-1,-1,-1,0229
20, Switzerland ,19,4,,,19,,,-1,-1,-1,-1,0229
21, Canada ,16,1,,,12,4,,-1,-1,-1,-1,0229
22, Vietnam ,16,,,,0,16,,-1,-1,-1,-1,0229
23, Norway ,15,9,,,15,,,-1,-1,-1,-1,0229
24, Iraq ,13,5,,,13,,,-1,-1,-1,-1,0229
25, Sweden ,12,1,,,12,,,-1,-1,-1,-1,0229
26, Austria ,10,3,,,10,,,-1,-1,-1,-1,0229
27, Macao ,10,,,,4,6,,-1,-1,-1,-1,0229
28, Israel ,7,,,,6,1,,-1,-1,-1,-1,0229
29, Lebanon ,7,3,,,7,,,-1,-1,-1,-1,0229
30, Netherlands ,7,5,,,7,,,-1,-1,-1,-1,0229
31, Croatia ,6,1,,,6,,,-1,-1,-1,-1,0229
32, Oman ,6,,,,5,1,,-1,-1,-1,-1,0229
33, Greece ,4,,,,4,,,-1,-1,-1,-1,0229
34, Pakistan ,4,2,,,4,,,-1,-1,-1,-1,0229
35, Philippines ,3,,1,,0,2,,-1,-1,-1,-1,0229
36, Denmark ,3,1,,,3,,,-1,-1,-1,-1,0229
37, Finland ,3,,,,2,1,,-1,-1,-1,-1,0229
38, Georgia ,3,1,,,3,,,-1,-1,-1,-1,0229
39, India ,3,,,,0,3,,-1,-1,-1,-1,0229
40, Mexico ,3,1,,,3,,,-1,-1,-1,-1,0229
41, Romania ,3,,,,2,1,,-1,-1,-1,-1,0229
42, Brazil ,2,1,,,2,,,-1,-1,-1,-1,0229
43, Russia ,2,,,,0,2,,-1,-1,-1,-1,0229
44, Afghanistan ,1,,,,1,,,-1,-1,-1,-1,0229
45, Algeria ,1,,,,1,,,-1,-1,-1,-1,0229
46, Azerbaijan ,1,,,,1,,,-1,-1,-1,-1,0229
47, Belarus ,1,,,,1,,,-1,-1,-1,-1,0229
48, Belgium ,1,,,,0,1,,-1,-1,-1,-1,0229
49, Cambodia ,1,,,,0,1,,-1,-1,-1,-1,0229
50, Ecuador ,1,1,,,1,,1,-1,-1,-1,-1,0229
51, Egypt ,1,,,,0,1,,-1,-1,-1,-1,0229
52, Estonia ,1,,,,1,,,-1,-1,-1,-1,0229
53, Iceland ,1,,,,1,,,-1,-1,-1,-1,0229
54, Ireland ,1,1,,,1,,,-1,-1,-1,-1,0229
55, Lithuania ,1,,,,1,,,-1,-1,-1,-1,0229
56, Luxembourg ,1,1,,,1,,,-1,-1,-1,-1,0229
57, North Macedonia ,1,,,,1,,,-1,-1,-1,-1,0229
58, Monaco ,1,,,,1,,,-1,-1,-1,-1,0229
59, Nepal ,1,,,,0,1,,-1,-1,-1,-1,0229
60, New Zealand ,1,,,,1,,,-1,-1,-1,-1,0229
61, Nigeria ,1,,,,1,,,-1,-1,-1,-1,0229
62, Qatar ,1,1,,,1,,,-1,-1,-1,-1,0229
63, San Marino ,1,,,,1,,1,-1,-1,-1,-1,0229
64, Sri Lanka ,1,,,,0,1,,-1,-1,-1,-1,0229
