,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,Asia,321397,11068,11725,374,155801,153871,6489,,,,,0415
1,North America,656079,29015,27687,2575,49816,578576,14580,,,,,0415
2,Europe,937288,29902,83718,3729,243154,610416,29107,,,,,0415
3,South America,57689,2995,2511,263,21614,33564,1163,,,,,0415
4,Oceania,7857,58,70,4,4227,3560,85,,,,,0415
5,Africa,16872,928,876,38,3343,12653,178,,,,,0415
6,,721,,14,,639,68,7,,,,,0415
7,World,1997903,73966,126601,6983,478594,1392708,51609,256,162,,,0415
8,China,82295,46,3342,1,77816,1137,113,57,2,,,0415
9,USA,613883,26942,26047,2407,38820,549016,13473,1855,79,3065019,9260,0415
10,Spain,174060,3961,18255,499,67504,88301,7371,3723,390,600000,12833,0415
11,Italy,162488,2972,21067,602,37130,104291,3186,2687,348,1073689,17758,0415
12,France,143303,6524,15729,762,28805,98769,6730,2195,241,333807,5114,0415
13,Germany,132210,2138,3495,301,68200,60515,4288,1578,42,1317887,15730,0415
14,UK,93873,5252,12107,778,,81422,1559,1383,178,382650,5637,0415
15,Iran,74877,1574,4683,98,48129,22065,3691,891,56,287359,3421,0415
16,Turkey,65111,4062,1403,107,4799,58909,1809,772,17,443626,5260,0415
17,Belgium,31119,530,4157,254,6868,20094,1223,2685,359,102151,8814,0415
18,Netherlands,27419,868,2945,122,250,24224,1358,1600,172,134972,7877,0415
19,Canada,27063,1383,903,123,8235,17925,557,717,24,450717,11942,0415
20,Switzerland,25936,248,1174,36,13700,11062,386,2997,136,199000,22993,0415
21,Brazil,25262,1832,1532,204,14026,9704,296,119,7,62985,296,0415
22,Russia,21102,2774,170,22,1694,19238,8,145,1,1400000,9593,0415
23,Portugal,17448,514,567,32,347,16534,218,1711,56,191680,18798,0415
24,Austria,14226,185,384,16,7633,6209,243,1580,43,151796,16854,0415
25,Israel,12046,460,123,7,2195,9728,175,1392,14,117339,13557,0415
26,India,11487,1034,393,35,1359,9735,,8,03,244893,177,0415
27,Ireland,11479,832,406,41,25,11048,194,2325,82,90646,18358,0415
28,Sweden,11445,497,1033,114,381,10031,915,1133,102,54700,5416,0415
29,S. Korea,10564,27,222,5,7534,2808,55,206,4,527438,10288,0415
30,Peru,10303,519,230,14,2869,7204,132,312,7,102216,3100,0415
31,Chile,7917,392,92,10,2646,5179,387,414,5,87794,4593,0415
32,Japan,7885,267,146,3,853,6886,152,62,1,89551,708,0415
33,Ecuador,7603,74,369,14,696,6538,129,431,21,25347,1437,0415
34,Poland,7202,268,263,18,618,6321,160,190,7,148321,3919,0415
35,Romania,6879,246,351,20,1051,5477,241,358,18,70097,3644,0415
36,Norway,6623,20,139,5,32,6452,59,1222,26,128569,23716,0415
37,Denmark,6511,193,299,14,2515,3697,100,1124,52,74210,12812,0415
38,Australia,6400,41,61,,3598,2741,80,251,2,366493,14372,0415
39,Czechia,6111,52,161,18,642,5308,92,571,15,131542,12283,0415
40,Pakistan,5837,341,96,3,1378,4363,46,26,04,69928,317,0415
41,Saudi Arabia,5369,435,73,8,889,4407,59,154,2,150000,4309,0415
42,Philippines,5223,291,335,20,295,4593,1,48,3,43500,397,0415
43,Mexico,5014,353,332,36,1964,2718,207,39,3,37395,290,0415
44,Malaysia,4987,170,82,5,2478,2427,60,154,3,84791,2620,0415
45,UAE,4933,412,28,3,933,3972,1,499,3,648195,65538,0415
46,Indonesia,4839,282,459,60,426,3954,,18,2,31628,116,0415
47,Serbia,4465,411,94,9,400,3971,131,511,11,23398,2678,0415
48,Panama,3574,102,95,1,72,3407,106,828,22,16053,3720,0415
49,Qatar,3428,197,7,,373,3048,37,1190,2,52622,18265,0415
50,Ukraine,3372,270,98,5,119,3155,45,77,2,35153,804,0415
51,Luxembourg,3307,15,67,,500,2740,30,5283,107,29523,47163,0415
52,Dominican Republic,3286,119,183,6,162,2941,143,303,17,9275,855,0415
53,Belarus,3281,362,33,4,203,3045,57,347,3,71875,7606,0415
54,Singapore,3252,334,10,1,611,2631,29,556,2,72680,12423,0415
55,Finland,3161,97,64,5,300,2797,74,571,12,47290,8535,0415
56,Colombia,2979,127,127,15,354,2498,106,59,2,43053,846,0415
57,Thailand,2613,34,41,1,1405,1167,61,37,06,100498,1440,0415
58,South Africa,2415,143,27,,410,1978,7,41,05,87022,1467,0415
59,Egypt,2350,160,178,14,589,1583,,23,2,25000,244,0415
60,Argentina,2277,,102,4,559,1616,83,50,2,22805,505,0415
61,Greece,2170,25,101,2,269,1800,76,208,10,48798,4682,0415
62,Algeria,2070,87,326,13,691,1053,60,47,7,3359,77,0415
63,Moldova,1934,222,41,6,171,1722,80,479,10,6271,1555,0415
64,Morocco,1888,125,126,,217,1545,1,51,3,9609,260,0415
65,Iceland,1720,9,8,,989,723,8,5040,23,36339,106490,0415
66,Croatia,1704,54,31,6,415,1258,34,415,8,18359,4472,0415
67,Bahrain,1528,167,7,1,645,876,3,898,4,69359,40762,0415
68,Hungary,1512,54,122,13,122,1268,58,157,13,35825,3708,0415
69,Iraq,1400,22,78,,766,556,,35,2,45437,1130,0415
70,Estonia,1373,41,31,3,115,1227,11,1035,23,32263,24321,0415
71,New Zealand,1366,17,9,4,628,729,4,283,2,64399,13355,0415
72,Kuwait,1355,55,3,1,176,1176,26,317,07,,,0415
73,Kazakhstan,1232,141,14,2,203,1015,21,66,07,76904,4096,0415
74,Slovenia,1220,8,56,1,152,1012,35,587,27,35946,17291,0415
75,Azerbaijan,1197,49,13,1,351,833,25,118,1,71736,7075,0415
76,Uzbekistan,1165,167,4,,99,1062,8,35,01,70000,2091,0415
77,Bosnia and Herzegovina,1083,46,40,1,236,807,4,330,12,12407,3782,0415
78,Lithuania,1070,8,29,5,101,940,14,393,11,42690,15682,0415
79,Armenia,1067,28,16,2,265,786,30,360,5,8316,2806,0415
80,Hong Kong,1013,3,4,,434,575,13,135,05,96709,12900,0415
81,Bangladesh,1012,209,46,7,42,924,1,6,03,13128,80,0415
82,North Macedonia,908,54,44,6,86,778,15,436,21,9262,4446,0415
83,Cameroon,848,,14,2,130,704,,32,05,,,0415
84,Slovakia,835,66,2,,113,720,5,153,04,30052,5504,0415
85,Oman,813,86,4,,130,679,3,159,08,,,0415
86,Cuba,766,40,21,,132,613,9,68,2,18634,1645,0415
87,Tunisia,747,21,34,,43,670,89,63,3,12415,1050,0415
88,Afghanistan,714,49,23,2,40,651,,18,06,,,0415
89,Bulgaria,713,28,35,3,81,597,29,103,5,18502,2663,0415
90,Diamond Princess,712,,12,,639,61,7,,,,,0415
91,Cyprus,695,33,12,,65,618,8,576,10,17923,14845,0415
92,Andorra,659,13,31,2,128,500,17,8529,401,1673,21653,0415
93,Latvia,657,2,5,,16,636,3,348,3,29018,15384,0415
94,Lebanon,641,9,21,1,80,540,33,94,3,16319,2391,0415
95,Ivory Coast,638,12,6,,114,518,,24,02,,,0415
96,Ghana,636,70,8,,17,611,2,20,03,44421,1430,0415
97,Costa Rica,618,6,3,,66,549,14,121,06,8703,1708,0415
98,Niger,570,22,14,1,90,466,,24,06,4427,183,0415
99,Burkina Faso,528,13,30,3,177,321,,25,1,,,0415
100,Uruguay,492,9,8,,260,224,14,142,2,9929,2858,0415
101,Albania,475,8,24,1,248,203,5,165,8,4306,1496,0415
102,Channel Islands,440,4,13,4,48,379,,2531,75,3320,19095,0415
103,Kyrgyzstan,430,11,5,,71,354,5,66,08,26147,4008,0415
104,Honduras,407,10,26,1,7,374,10,41,3,1600,162,0415
105,Jordan,397,6,7,,235,155,5,39,07,20500,2009,0415
106,Taiwan,393,,6,,124,263,,17,03,48549,2038,0415
107,Malta,393,9,3,,44,346,4,890,7,19121,43305,0415
108,Réunion,391,,,,40,351,3,437,,,,0415
109,Nigeria,373,30,11,1,99,263,2,2,005,5000,24,0415
110,San Marino,372,1,36,,53,283,15,10963,1061,846,24933,0415
111,Djibouti,363,65,2,,53,308,,367,2,5356,5421,0415
112,Guinea,363,44,,,31,332,,28,,,,0415
113,Bolivia,354,24,28,1,6,320,3,30,2,2185,187,0415
114,Mauritius,324,,9,,51,264,3,255,7,8279,6510,0415
115,Palestine,308,,2,,62,244,,60,04,17329,3397,0415
116,Georgia,300,28,3,,69,228,6,75,08,5027,1260,0415
117,Senegal,299,8,2,,183,114,1,18,01,,,0415
118,Montenegro,283,9,4,1,46,233,7,451,6,2869,4568,0415
119,Vietnam,266,1,,,169,97,8,3,,121821,1252,0415
120,Isle of Man,254,12,2,,141,111,13,2987,24,2122,24955,0415
121,DRC,241,6,20,,20,201,,3,02,,,0415
122,Sri Lanka,233,16,7,,61,165,1,11,03,4768,223,0415
123,Mayotte,217,10,3,,69,145,3,795,11,1500,5498,0415
124,Kenya,216,8,9,,41,166,2,4,02,8123,151,0415
125,Venezuela,189,,9,,110,70,6,7,03,203108,7143,0415
126,Faeroe Islands,184,,,,163,21,,3766,,5602,114647,0415
127,Guatemala,167,11,5,,19,143,3,9,03,1134,63,0415
128,Paraguay,159,12,7,1,22,130,1,22,10,3394,476,0415
129,Martinique,157,,6,,50,101,19,418,16,,,0415
130,El Salvador,149,12,6,,25,118,2,23,09,7230,1115,0415
131,Guadeloupe,145,,8,,67,70,13,362,20,,,0415
132,Mali,144,21,13,3,34,97,,7,06,,,0415
133,Brunei ,136,,1,,107,28,2,311,2,10350,23658,0415
134,Rwanda,134,7,,,49,85,,10,,6237,482,0415
135,Gibraltar,129,,,,93,36,1,3829,,1649,48945,0415
136,Cambodia,122,,,,91,31,1,7,,5768,345,0415
137,Trinidad and Tobago,113,,8,,17,88,,81,6,1152,823,0415
138,Madagascar,108,2,,,23,85,1,4,,,,0415
139,Jamaica,105,32,4,,19,82,,35,1,1290,436,0415
140,Monaco,93,,1,,6,86,5,2370,25,,,0415
141,Aruba,92,,,,32,60,1,862,,1154,10809,0415
142,French Guiana,86,,,,51,35,1,288,,,,0415
143,Ethiopia,82,8,3,,14,65,,07,003,4557,40,0415
144,Liechtenstein,79,,1,,55,23,,2072,26,900,23605,0415
145,Togo,77,,3,,32,42,,9,04,2806,339,0415
146,Congo,74,14,5,,10,59,,13,09,,,0415
147,Barbados,73,1,5,1,15,53,4,254,17,864,3007,0415
148,Myanmar,63,1,4,,2,57,,1,007,2443,45,0415
149,Somalia,60,,2,,2,56,2,4,01,,,0415
150,Liberia,59,,6,,4,49,,12,1,,,0415
151,Bermuda,57,,5,,30,22,3,915,80,416,6680,0415
152,Gabon,57,,1,,1,55,,26,04,,,0415
153,French Polynesia,55,,,,,55,1,196,,920,3275,0415
154,Uganda,55,1,,,8,47,,1,,6661,146,0415
155,Cayman Islands,54,,1,,6,47,3,822,15,580,8825,0415
156,Tanzania,53,4,3,,7,43,,09,005,,,0415
157,Sint Maarten,52,2,9,,5,38,2,1213,210,134,3125,0415
158,Bahamas,49,,8,,6,35,1,125,20,,,0415
159,Guyana,47,,6,,8,33,5,60,8,213,271,0415
160,Zambia,45,,2,,30,13,1,2,01,1696,92,0415
161,Macao,45,,,,10,35,1,69,,,,0415
162,Guinea-Bissau,43,5,,,,43,,22,,1500,762,0415
163,Equatorial Guinea,41,20,,,4,37,,29,,854,609,0415
164,Haiti,40,,3,,,37,,4,03,365,32,0415
165,Benin,35,,1,,18,16,,3,008,,,0415
166,Libya,35,9,1,,9,25,,5,01,570,83,0415
167,Eritrea,35,1,,,,35,,10,,,,0415
168,Sudan,32,3,5,1,4,23,,07,01,,,0415
169,Saint Martin,32,,2,,11,19,5,828,52,,,0415
170,Mongolia,30,13,,,5,25,,9,,1000,305,0415
171,Syria,29,4,2,,5,22,,2,01,,,0415
172,Mozambique,28,7,,,2,26,,09,,762,24,0415
173,Antigua and Barbuda,23,,2,,3,18,1,235,20,73,745,0415
174,Chad,23,,,,2,21,,1,,,,0415
175,Maldives,20,,,,16,4,,37,,2899,5363,0415
176,Angola,19,,2,,5,12,,06,006,,,0415
177,Laos,19,,,,1,18,,3,,1235,170,0415
178,Belize,18,,2,,,16,1,45,5,567,1426,0415
179,New Caledonia,18,,,,1,17,,63,,2608,9135,0415
180,Zimbabwe,17,,3,,,14,,1,02,604,41,0415
181,Malawi,16,,2,,,14,1,08,01,314,16,0415
182,Nepal,16,2,,,1,15,,05,,6299,216,0415
183,Dominica,16,,,,8,8,,222,,345,4793,0415
184,Fiji,16,,,,,16,,18,,,,0415
185,Namibia,16,,,,3,13,,6,,362,142,0415
186,Saint Lucia,15,,,,11,4,,82,,319,1737,0415
187,Eswatini,15,,,,8,7,,13,,714,615,0415
188,Curaçao,14,,1,,10,3,,85,6,230,1402,0415
189,Grenada,14,,,,,14,2,124,,92,818,0415
190,Saint Kitts and Nevis,14,2,,,,14,,263,,234,4399,0415
191,Botswana,13,,1,,,12,,6,04,3115,1325,0415
192,St. Vincent Grenadines,12,,,,1,11,,108,,87,784,0415
193,Cabo Verde,11,1,1,,1,9,,20,2,,,0415
194,CAR,11,,,,4,7,,2,,,,0415
195,Falkland Islands,11,6,,,1,10,,3161,,137,39368,0415
196,Greenland,11,,,,11,0,,194,,912,16065,0415
197,Montserrat,11,,,,1,10,1,2204,,36,7212,0415
198,Seychelles,11,,,,,11,,112,,,,0415
199,Sierra Leone,11,1,,,,11,,1,,,,0415
200,Suriname,10,,1,,6,3,,17,2,,,0415
