,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,Asia,618504,15439,21205,399,338641,258658,5201,,,,,0508
1,North America,1409318,33417,84961,2534,269720,1054637,18166,,,,,0508
2,Europe,1553700,28796,148461,1830,611529,793710,15404,,,,,0508
3,South America,267592,15981,13583,758,93920,160089,9985,,,,,0508
4,Africa,55320,2607,2083,68,19099,34138,176,,,,,0508
5,Oceania,8489,22,118,,7468,903,26,,,,,0508
6,,721,,15,,645,61,4,,,,,0508
7,World,3913644,96262,270426,5589,1341022,2302196,48962,502,347,,,0508
8,China,82885,2,4633,,77957,295,23,58,3,,,0508
9,USA,1292623,29531,76928,2129,217250,998445,16995,3905,232,8297562,25068,0508
10,Spain,256855,3173,26070,213,163919,66866,2075,5494,558,1932455,41332,0508
11,Italy,215858,1401,29958,274,96276,89624,1311,3570,495,2381288,39385,0508
12,UK,206715,5614,30615,539,,175756,1559,3045,451,1534533,22605,0508
13,Russia,177160,11231,1625,88,23803,151732,2300,1214,11,4803192,32913,0508
14,France,174791,600,25987,178,55027,93777,2961,2678,398,1384633,21213,0508
15,Germany,169430,1268,7392,117,139900,22138,1823,2022,88,2755770,32891,0508
16,Brazil,135693,9082,9188,600,55350,71155,8318,638,43,339552,1597,0508
17,Turkey,133721,1977,3641,57,82984,47096,1260,1586,43,1265119,15000,0508
18,Iran,103135,1485,6486,68,82744,13905,2728,1228,77,544702,6485,0508
19,Canada,64922,1426,4408,176,28972,31542,502,1720,117,1005294,26636,0508
20,Peru,58526,3709,1627,94,18388,38511,722,1775,49,448020,13588,0508
21,India,56351,3364,1889,104,16776,37686,,41,1,1357413,984,0508
22,Belgium,51420,639,8415,76,12980,30025,538,4437,726,493325,42566,0508
23,Netherlands,41774,455,5288,84,,36236,584,2438,309,249655,14570,0508
24,Saudi Arabia,33731,1793,219,10,7798,25714,145,969,6,405685,11653,0508
25,Ecuador,30298,878,1654,36,3433,25211,156,1717,94,83218,4717,0508
26,Switzerland,30126,66,1810,5,25900,2416,121,3481,209,290365,33550,0508
27,Mexico,27634,1609,2704,197,17781,7149,378,214,21,105664,820,0508
28,Portugal,26715,533,1105,16,2258,23352,135,2620,108,485925,47655,0508
29,Pakistan,24644,1430,585,41,6464,17595,111,112,3,244778,1108,0508
30,Sweden,24623,705,3040,99,4971,16612,425,2438,301,148500,14704,0508
31,Chile,24581,1533,285,4,11664,12632,493,1286,15,244226,12776,0508
32,Ireland,22385,137,1403,28,17110,3872,93,4533,284,214761,43493,0508
33,Singapore,20939,741,20,,1712,19207,19,3579,3,175604,30016,0508
34,Belarus,20168,913,116,4,5067,14985,92,2134,12,229466,24284,0508
35,Qatar,18890,918,12,,2286,16592,72,6557,4,116495,40435,0508
36,Israel,16381,71,240,1,10873,5268,83,1893,28,432453,49963,0508
37,UAE,16240,502,165,8,3572,12503,1,1642,17,1200000,121330,0508
38,Austria,15752,68,609,1,13698,1445,92,1749,68,292254,32450,0508
39,Japan,15477,224,577,21,4918,9982,308,122,5,190030,1502,0508
40,Poland,15047,307,755,22,4862,9430,160,398,20,425994,11256,0508
41,Romania,14499,392,888,24,6144,7467,234,754,46,226613,11780,0508
