,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,China,11791,259,,-1,-1,-1,-1,-1,-1,-1,-1,0131
1,Thailand,19,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
2,Japan,17,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
3,Singapore,16,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
4,Hong Kong,13,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
5,South Korea,11,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
6,Taiwan,10,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
7,Australia,9,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
8,Malaysia,8,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
9,United States,7,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
10,Germany,7,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
11,Macao,7,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
12,France,6,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
13,Vietnam,5,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
14,United Arab Emirates,4,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
15,Canada,4,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
16,United Kingdom,2,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
17,Russia,2,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
18,Italy,2,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
19,India,1,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
20,Finland,1,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
21,Sweden,1,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
22,Sri Lanka,1,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
23,Cambodia,1,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
24,Philippines,1,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
25,Nepal,1,0,,-1,-1,-1,-1,-1,-1,-1,-1,0131
