,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0, China ,80430,21,3013,1,25147,52270,5952,-1,-1,-1,-1,0305
1, S. Korea ,6088,467,40,5,5913,135,52,-1,-1,-1,-1,0305
2, Italy ,3858,769,148,41,3296,414,351,-1,-1,-1,-1,0305
3, Iran ,3513,591,108,16,2666,739,,-1,-1,-1,-1,0305
4, Diamond Princess ,696,,6,,478,212,35,-1,-1,-1,-1,0305
5, Germany ,545,283,,,528,17,2,-1,-1,-1,-1,0305
6, France ,423,138,7,3,404,12,23,-1,-1,-1,-1,0305
7, Japan ,364,33,6,,315,43,29,-1,-1,-1,-1,0305
8, Spain ,282,54,3,1,276,3,7,-1,-1,-1,-1,0305
9, USA ,221,63,12,1,200,9,8,-1,-1,-1,-1,0305
10, Switzerland ,119,26,1,1,115,3,,-1,-1,-1,-1,0305
11, Singapore ,117,5,,,36,81,7,-1,-1,-1,-1,0305
12, UK ,116,29,1,1,97,18,,-1,-1,-1,-1,0305
13, Hong Kong ,105,2,2,,66,37,6,-1,-1,-1,-1,0305
14, Sweden ,94,42,,,93,1,,-1,-1,-1,-1,0305
15, Norway ,91,32,,,91,,,-1,-1,-1,-1,0305
16, Netherlands ,82,44,,,82,,1,-1,-1,-1,-1,0305
17, Australia ,60,7,2,,36,22,1,-1,-1,-1,-1,0305
18, Kuwait ,58,2,,,58,,,-1,-1,-1,-1,0305
19, Bahrain ,55,3,,,51,4,,-1,-1,-1,-1,0305
20, Malaysia ,55,5,,,33,22,,-1,-1,-1,-1,0305
21, Belgium ,50,27,,,49,1,1,-1,-1,-1,-1,0305
22, Thailand ,47,4,1,,15,31,1,-1,-1,-1,-1,0305
23, Taiwan ,44,2,1,,31,12,,-1,-1,-1,-1,0305
24, Austria ,43,14,,,41,2,1,-1,-1,-1,-1,0305
25, Canada ,37,3,,,29,8,1,-1,-1,-1,-1,0305
26, Iraq ,36,1,3,1,33,,,-1,-1,-1,-1,0305
27, Iceland ,35,9,,,35,,,-1,-1,-1,-1,0305
28, Greece ,31,22,,,31,,,-1,-1,-1,-1,0305
29, India ,30,1,,,27,3,,-1,-1,-1,-1,0305
30, UAE ,28,,,,23,5,2,-1,-1,-1,-1,0305
31, San Marino ,21,5,1,,20,,3,-1,-1,-1,-1,0305
32, Denmark ,20,5,,,19,1,,-1,-1,-1,-1,0305
33, Algeria ,17,,,,17,,,-1,-1,-1,-1,0305
34, Israel ,17,2,,,15,2,,-1,-1,-1,-1,0305
35, Lebanon ,16,1,,,16,,1,-1,-1,-1,-1,0305
36, Oman ,16,1,,,14,2,,-1,-1,-1,-1,0305
37, Vietnam ,16,,,,0,16,,-1,-1,-1,-1,0305
38, Ecuador ,13,3,,,13,,1,-1,-1,-1,-1,0305
39, Ireland ,13,7,,,13,,,-1,-1,-1,-1,0305
40, Czechia ,12,4,,,12,,,-1,-1,-1,-1,0305
41, Finland ,12,5,,,11,1,,-1,-1,-1,-1,0305
42, Macao ,10,,,,1,9,,-1,-1,-1,-1,0305
43, Croatia ,10,,,,10,,,-1,-1,-1,-1,0305
44, Georgia ,9,6,,,9,,1,-1,-1,-1,-1,0305
45, Portugal ,9,3,,,9,,,-1,-1,-1,-1,0305
46, Brazil ,8,5,,,8,,,-1,-1,-1,-1,0305
47, Qatar ,8,,,,8,,,-1,-1,-1,-1,0305
48, Palestine ,7,7,,,7,,,-1,-1,-1,-1,0305
49, Azerbaijan ,6,3,,,6,,,-1,-1,-1,-1,0305
50, Belarus ,6,,,,6,,,-1,-1,-1,-1,0305
51, Mexico ,6,,,,5,1,,-1,-1,-1,-1,0305
52, Romania ,6,,,,5,1,,-1,-1,-1,-1,0305
53, Slovenia ,6,5,,,6,,,-1,-1,-1,-1,0305
54, Estonia ,5,3,,,5,,,-1,-1,-1,-1,0305
55, Pakistan ,5,,,,5,,,-1,-1,-1,-1,0305
56, Saudi Arabia ,5,3,,,4,1,,-1,-1,-1,-1,0305
57, New Zealand ,4,1,,,4,,,-1,-1,-1,-1,0305
58, Russia ,4,1,,,2,2,,-1,-1,-1,-1,0305
59, Senegal ,4,,,,4,,,-1,-1,-1,-1,0305
60, Chile ,4,1,,,4,,,-1,-1,-1,-1,0305
61, Hungary ,4,2,,,4,,,-1,-1,-1,-1,0305
62, Philippines ,3,,1,,0,2,,-1,-1,-1,-1,0305
63, Egypt ,3,1,,,2,1,,-1,-1,-1,-1,0305
64, Indonesia ,2,,,,2,,,-1,-1,-1,-1,0305
65, Luxembourg ,2,1,,,2,,,-1,-1,-1,-1,0305
66, Morocco ,2,1,,,2,,1,-1,-1,-1,-1,0305
67, Argentina ,2,1,,,2,,,-1,-1,-1,-1,0305
68, Bosnia and Herzegovina ,2,2,,,2,,,-1,-1,-1,-1,0305
69, Afghanistan ,1,,,,1,,,-1,-1,-1,-1,0305
70, Andorra ,1,,,,1,,,-1,-1,-1,-1,0305
71, Armenia ,1,,,,1,,,-1,-1,-1,-1,0305
72, Cambodia ,1,,,,0,1,,-1,-1,-1,-1,0305
73, Dominican Republic ,1,,,,1,,,-1,-1,-1,-1,0305
74, Jordan ,1,,,,1,,,-1,-1,-1,-1,0305
75, Latvia ,1,,,,0,1,,-1,-1,-1,-1,0305
76, Lithuania ,1,,,,1,,,-1,-1,-1,-1,0305
77, North Macedonia ,1,,,,1,,,-1,-1,-1,-1,0305
78, Monaco ,1,,,,1,,,-1,-1,-1,-1,0305
79, Nepal ,1,,,,0,1,,-1,-1,-1,-1,0305
80, Nigeria ,1,,,,1,,,-1,-1,-1,-1,0305
81, Sri Lanka ,1,,,,0,1,,-1,-1,-1,-1,0305
