,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,Asia,370784,12600,14401,335,176091,180292,6426,,,,,0419
1,North America,791406,31651,41537,2122,82836,667033,14659,,,,,0419
2,Europe,1060036,30822,99278,3050,298699,662059,26386,,,,,0419
3,South America,77973,5442,3653,335,27692,46628,7532,,,,,0419
4,Oceania,8105,66,81,5,5050,2974,60,,,,,0419
5,Africa,21741,1322,1082,62,5470,15189,195,,,,,0419
6,,721,,15,,644,62,7,,,,,0419
7,World,2330766,81903,160047,5909,596482,1574237,55265,299,205,,,0419
8,China,82719,27,4632,,77029,1058,85,57,3,,,0419
9,USA,738792,29057,39014,1867,68269,631509,13551,2232,118,3722145,11245,0419
10,Spain,194416,3577,20043,41,74797,99576,7371,4158,429,930230,19896,0419
11,Italy,175925,3491,23227,482,44927,107771,2733,2910,384,1305833,21598,0419
12,France,151793,3824,19323,642,35983,96487,5833,2325,296,463662,7103,0419
13,Germany,143724,2327,4538,186,85400,53786,2922,1715,54,1728357,20629,0419
14,UK,114217,5525,15464,888,,98409,1559,1682,228,460437,6783,0419
15,Turkey,82329,3783,1890,121,10453,69986,1894,976,22,598933,7101,0419
16,Iran,80868,1374,5031,73,55987,19850,3513,963,60,330137,3931,0419
17,Belgium,37183,1045,5453,290,8348,23382,1119,3208,471,145997,12597,0419
18,Russia,36793,4785,313,40,3057,33423,8,252,2,1831892,12553,0419
19,Brazil,36722,3040,2361,220,14026,20335,6634,173,11,62985,296,0419
20,Canada,33383,1456,1470,160,11207,20706,557,885,39,516216,13677,0419
21,Netherlands,31589,1140,3601,142,250,27738,1279,1844,210,154911,9041,0419
22,Switzerland,27404,326,1368,41,17100,8936,386,3166,158,216400,25004,0419
23,Portugal,19685,663,687,30,610,18388,228,1931,67,235878,23133,0419
24,India,16365,2013,521,35,2463,13381,,12,04,335123,243,0419
25,Ireland,14758,778,571,41,77,14110,294,2989,116,90646,18358,0419
