,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,Asia,383157,12373,14786,385,180611,187760,6403,,,,,0420
1,North America,820083,28674,43337,1800,87020,689726,14644,,,,,0420
2,Europe,1089256,29218,101836,2558,309495,677925,25395,,,,,0420
3,South America,82252,4279,3849,196,36329,42074,7534,,,,,0420
4,Oceania,8140,35,83,2,5159,2898,68,,,,,0420
5,Africa,22966,1225,1125,43,5840,16001,174,,,,,0420
6,,721,,15,,644,62,7,,,,,0420
7,World,2406575,75804,165031,4984,625098,1616446,54225,309,212,,,0420
8,China,82735,16,4632,,77062,1041,85,57,3,,,0420
9,USA,764636,25844,40575,1561,71187,652874,13566,2310,123,3861549,11666,0420
10,Spain,198674,4258,20453,410,77357,100864,7371,4249,437,930230,19896,0420
11,Italy,178972,3047,23660,433,47055,108257,2635,2960,391,1356541,22436,0420
12,France,152894,1101,19718,395,36578,96598,5744,2342,302,463662,7103,0420
13,Germany,145742,2018,4642,104,88000,53100,2889,1739,55,1728357,20629,0420
14,UK,120067,5850,16060,596,,103663,1559,1769,237,482063,7101,0420
15,Turkey,86306,3977,2017,127,11976,72313,1922,1023,24,634277,7521,0420
16,Iran,82211,1343,5118,87,57023,20070,3456,979,61,341662,4068,0420
17,Russia,42853,6060,361,48,3291,39201,8,294,2,1940000,13294,0420
18,Brazil,38654,1932,2462,101,22130,14062,6634,182,12,62985,296,0420
19,Belgium,38496,1313,5683,230,8757,24056,1081,3322,490,153778,13269,0420
20,Canada,35056,1673,1587,117,11843,21626,557,929,42,536062,14203,0420
21,Netherlands,32655,1066,3684,83,250,28721,1176,1906,215,154911,9041,0420
22,Switzerland,27740,336,1393,25,17800,8547,386,3205,161,221263,25566,0420
23,Portugal,20206,521,714,27,610,18882,224,1982,70,235878,23133,0420
24,India,17615,1250,559,38,2854,14202,,13,04,401586,291,0420
25,Peru,15628,1208,400,52,6811,8417,167,474,12,143745,4360,0420
26,Ireland,15251,493,610,39,77,14564,294,3089,124,90646,18358,0420
27,Austria,14749,78,452,9,10501,3796,204,1638,50,179243,19902,0420
28,Sweden,14385,563,1540,29,550,12295,450,1424,152,74600,7387,0420
29,Israel,13491,226,172,8,3754,9565,146,1559,20,187250,21634,0420
30,Japan,10797,501,236,14,1159,9402,217,85,2,112816,892,0420
31,S. Korea,10661,8,234,2,8042,2385,55,208,5,559109,10905,0420
32,Chile,10088,358,133,7,4338,5617,360,528,7,113649,5945,0420
33,Ecuador,9468,446,474,18,1061,7933,124,537,27,31809,1803,0420
34,Saudi Arabia,9362,1088,97,5,1398,7867,97,269,3,180000,5170,0420
35,Poland,9287,545,360,13,1040,7887,160,245,10,204246,5397,0420
36,Romania,8746,328,451,30,1892,6403,256,455,23,93611,4866,0420
37,Pakistan,8348,710,168,25,1868,6312,46,38,08,98522,446,0420
38,Mexico,7497,622,650,104,2627,4220,207,58,5,49167,381,0420
39,Denmark,7384,142,355,9,4141,2888,84,1275,61,94277,16277,0420
40,Norway,7078,42,165,1,32,6881,58,1306,30,142166,26224,0420
41,UAE,6781,479,41,4,1286,5454,1,686,4,767000,77550,0420
42,Czechia,6746,140,186,5,1298,5262,84,630,17,168096,15697,0420
43,Australia,6612,26,71,1,4230,2311,48,259,3,420996,16510,0420
44,Singapore,6588,596,11,,768,5809,22,1126,2,94796,16203,0420
45,Indonesia,6575,327,582,47,686,5307,,24,2,42219,154,0420
46,Serbia,6318,324,122,5,753,5443,120,723,14,38701,4429,0420
47,Philippines,6259,172,409,12,572,5278,1,57,4,59928,547,0420
48,Ukraine,5449,343,141,8,347,4961,45,125,3,57111,1306,0420
49,Qatar,5448,440,8,,518,4922,37,1891,3,62538,21707,0420
50,Malaysia,5389,84,89,1,3197,2103,46,167,3,103892,3210,0420
51,Belarus,4779,,47,2,494,4238,65,506,5,98231,10396,0420
52,Dominican Republic,4680,345,226,9,363,4091,114,431,21,15583,1436,0420
53,Panama,4273,63,120,4,140,4013,96,990,28,19091,4425,0420
54,Colombia,3792,171,179,13,711,2902,98,75,4,62746,1233,0420
55,Finland,3783,102,94,4,1700,1989,68,683,17,57300,10342,0420
