,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0, China ,20438,,425,,647,2788,,-1,-1,-1,-1,0203
1, Japan ,20,,,,,,,-1,-1,-1,-1,0203
2, Thailand ,19,,,,7,,,-1,-1,-1,-1,0203
3, Singapore ,18,,,,,,,-1,-1,-1,-1,0203
4, S. Korea ,16,1,,,,,,-1,-1,-1,-1,0203
5, Hong Kong ,15,,1,1,,,,-1,-1,-1,-1,0203
6, Germany ,12,,,,,,,-1,-1,-1,-1,0203
7, Australia ,12,,,,2,,,-1,-1,-1,-1,0203
8, USA ,11,,,,,,,-1,-1,-1,-1,0203
9, Taiwan ,10,,,,,,,-1,-1,-1,-1,0203
10, Macao ,9,1,,,,,,-1,-1,-1,-1,0203
11, Vietnam ,9,1,,,1,,,-1,-1,-1,-1,0203
12, Malaysia ,8,,,,,,,-1,-1,-1,-1,0203
13, France ,6,,,,,2,,-1,-1,-1,-1,0203
14, U.A.E. ,5,,,,,,,-1,-1,-1,-1,0203
15, Canada ,4,,,,,,,-1,-1,-1,-1,0203
16, India ,3,,,,,,,-1,-1,-1,-1,0203
17, Philippines ,2,,1,,,,,-1,-1,-1,-1,0203
18, U.K. ,2,,,,,,,-1,-1,-1,-1,0203
19, Russia ,2,,,,,,,-1,-1,-1,-1,0203
20, Italy ,2,,,,,,,-1,-1,-1,-1,0203
21, Sweden ,1,,,,,,,-1,-1,-1,-1,0203
22, Cambodia ,1,,,,,,,-1,-1,-1,-1,0203
23, Finland ,1,,,,,,,-1,-1,-1,-1,0203
24, Sri Lanka ,1,,,,1,,,-1,-1,-1,-1,0203
25, Nepal ,1,,,,,,,-1,-1,-1,-1,0203
