,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,Asia,520050,12722,18610,333,265535,235905,5729,,,,,0501
1,North America,1185074,34148,69519,2573,188950,926605,16485,,,,,0501
2,Europe,1373145,25765,135235,2288,503699,734211,18773,,,,,0501
3,South America,176814,11000,8696,552,60095,108023,9802,,,,,0501
4,Oceania,8332,10,111,3,7035,1186,37,,,,,0501
5,Africa,39785,2093,1638,46,13070,25077,126,,,,,0501
6,,721,,15,,645,61,4,,,,,0501
7,World,3303921,85738,233824,5795,1039029,2031068,50956,424,300,,,0501
8,China,82862,4,4633,,77610,619,41,58,3,,,0501
9,USA,1095023,30829,63856,2201,152324,878843,15226,3308,193,6391887,19311,0501
10,Spain,239340,2441,24543,268,137955,76842,2676,5119,525,1455306,31126,0501
11,Italy,205463,1872,27967,285,75945,101551,1694,3398,463,1979217,32735,0501
12,UK,171253,6032,26771,674,,144138,1559,2523,394,901905,13286,0501
13,France,167178,758,24376,289,49476,93326,4019,2561,373,724574,11101,0501
14,Germany,163009,1470,6623,156,123500,32886,2415,1946,79,2547052,30400,0501
15,Turkey,120204,2615,3174,93,48886,68144,1514,1425,38,1033617,12255,0501
16,Russia,106498,7099,1073,101,11619,93806,2300,730,7,3490000,23915,0501
17,Iran,94640,983,6028,71,75103,13509,2976,1127,72,463295,5516,0501
18,Brazil,85380,6019,5901,390,35935,43544,8318,402,28,339552,1597,0501
19,Canada,53236,1639,3184,188,21423,28629,557,1411,84,806449,21367,0501
20,Belgium,48519,660,7594,93,11576,29349,769,4186,655,237963,20532,0501
21,Netherlands,39316,514,4795,84,,34271,783,2295,280,219744,12824,0501
22,Peru,36976,3045,1051,108,10405,25520,651,1121,32,318252,9652,0501
23,India,34863,1801,1154,75,9068,24641,,25,08,830201,602,0501
24,Switzerland,29586,179,1737,21,23400,4449,167,3419,201,266200,30758,0501
25,Portugal,25045,540,989,16,1519,22537,172,2456,97,395771,38814,0501
26,Ecuador,24934,259,900,17,1558,22476,146,1413,51,69054,3914,0501
27,Saudi Arabia,22753,1351,162,5,3163,19428,123,654,5,200000,5745,0501
28,Sweden,21092,790,2586,124,1005,17501,531,2088,256,119500,11833,0501
29,Ireland,20612,359,1232,42,13386,5994,123,4174,250,153954,31179,0501
30,Mexico,17799,1047,1732,163,11423,4644,378,138,13,81912,635,0501
31,Pakistan,16473,948,361,18,4105,12007,111,75,2,174160,788,0501
32,Singapore,16169,528,15,1,1244,14910,22,2764,3,143919,24600,0501
33,Chile,16023,1138,227,11,8580,7216,392,838,12,180517,9443,0501
34,Israel,15946,112,222,7,8561,7163,105,1842,26,364467,42108,0501
35,Austria,15452,50,584,4,12907,1961,128,1716,65,256399,28469,0501
36,Japan,14088,193,430,17,2460,11198,308,111,3,165609,1309,0501
37,Belarus,14027,846,89,5,2386,11552,92,1484,9,176625,18692,0501
