,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0, China ,68501,2009,1665,142,9452,11272,,-1,-1,-1,-1,0215
1, Japan ,408,70,1,,12,9,,-1,-1,-1,-1,0215
2, Singapore ,72,,,,18,6,,-1,-1,-1,-1,0215
3, Hong Kong ,56,,1,,1,7,,-1,-1,-1,-1,0215
4, Thailand ,34,,,,14,2,,-1,-1,-1,-1,0215
5, S. Korea ,29,1,,,9,,,-1,-1,-1,-1,0215
6, Malaysia ,22,,,,7,,,-1,-1,-1,-1,0215
7, Taiwan ,18,,,,2,,,-1,-1,-1,-1,0215
8, Vietnam ,16,,,,7,,,-1,-1,-1,-1,0215
9, Germany ,16,,,,3,,,-1,-1,-1,-1,0215
10, USA ,15,,,,3,,,-1,-1,-1,-1,0215
11, Australia ,15,,,,10,,,-1,-1,-1,-1,0215
12, France ,12,,1,,4,,,-1,-1,-1,-1,0215
13, Macao ,10,,,,3,,,-1,-1,-1,-1,0215
14, U.K. ,9,,,,8,,,-1,-1,-1,-1,0215
15, Canada ,8,,,,1,,,-1,-1,-1,-1,0215
16, U.A.E. ,8,,,,3,1,,-1,-1,-1,-1,0215
17, Philippines ,3,,1,,2,,,-1,-1,-1,-1,0215
18, Italy ,3,,,,,2,,-1,-1,-1,-1,0215
19, India ,3,,,,3,,,-1,-1,-1,-1,0215
20, Russia ,2,,,,2,,,-1,-1,-1,-1,0215
21, Spain ,2,,,,2,,,-1,-1,-1,-1,0215
22, Cambodia ,1,,,,1,,,-1,-1,-1,-1,0215
23, Sweden ,1,,,,,,,-1,-1,-1,-1,0215
24, Nepal ,1,,,,1,,,-1,-1,-1,-1,0215
25, Belgium ,1,,,,1,,,-1,-1,-1,-1,0215
26, Sri Lanka ,1,,,,1,,,-1,-1,-1,-1,0215
27, Finland ,1,,,,1,,,-1,-1,-1,-1,0215
