,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0, China,11860,69,259,,-1,-1,-1,-1,-1,-1,-1,0201
1, Japan,20,3,0,,-1,-1,-1,-1,-1,-1,-1,0201
2, Thailand,19,,0,,-1,-1,-1,-1,-1,-1,-1,0201
3, Singapore,18,2,0,,-1,-1,-1,-1,-1,-1,-1,0201
4, Hong Kong,13,,0,,-1,-1,-1,-1,-1,-1,-1,0201
5, South Korea,12,1,0,,-1,-1,-1,-1,-1,-1,-1,0201
6, Australia,12,3,0,,-1,-1,-1,-1,-1,-1,-1,0201
7, Taiwan,10,,0,,-1,-1,-1,-1,-1,-1,-1,0201
8, Malaysia,8,,0,,-1,-1,-1,-1,-1,-1,-1,0201
9, U.S.,7,,0,,-1,-1,-1,-1,-1,-1,-1,0201
10, Germany,7,,0,,-1,-1,-1,-1,-1,-1,-1,0201
11, Macao,7,,0,,-1,-1,-1,-1,-1,-1,-1,0201
12, Vietnam,6,1,0,,-1,-1,-1,-1,-1,-1,-1,0201
13, France,6,,0,,-1,-1,-1,-1,-1,-1,-1,0201
14, U.A.E.,4,,0,,-1,-1,-1,-1,-1,-1,-1,0201
15, Canada,4,,0,,-1,-1,-1,-1,-1,-1,-1,0201
16, Italy,2,,0,,-1,-1,-1,-1,-1,-1,-1,0201
17, Russia,2,,0,,-1,-1,-1,-1,-1,-1,-1,0201
18, U.K.,2,,0,,-1,-1,-1,-1,-1,-1,-1,0201
19, Cambodia,1,,0,,-1,-1,-1,-1,-1,-1,-1,0201
20, India,1,,0,,-1,-1,-1,-1,-1,-1,-1,0201
21, Finland,1,,0,,-1,-1,-1,-1,-1,-1,-1,0201
22, Philippines,1,,0,,-1,-1,-1,-1,-1,-1,-1,0201
23, Sri Lanka,1,,0,,-1,-1,-1,-1,-1,-1,-1,0201
24, Nepal,1,,0,,-1,-1,-1,-1,-1,-1,-1,0201
25, Sweden,1,,0,,-1,-1,-1,-1,-1,-1,-1,0201
