,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0, China ,44653,2015,1113,97,4777,8204,,-1,-1,-1,-1,0212
1, Japan ,203,42,,,4,,,-1,-1,-1,-1,0212
2, Hong Kong ,49,7,1,,,,,-1,-1,-1,-1,0212
3, Singapore ,47,2,,,9,7,,-1,-1,-1,-1,0212
4, Thailand ,33,1,,,10,1,,-1,-1,-1,-1,0212
5, S. Korea ,28,1,,,4,,,-1,-1,-1,-1,0212
6, Taiwan ,18,,,,1,,,-1,-1,-1,-1,0212
7, Malaysia ,18,,,,3,,,-1,-1,-1,-1,0212
8, Germany ,16,2,,,,,,-1,-1,-1,-1,0212
9, Vietnam ,15,1,,,6,,,-1,-1,-1,-1,0212
10, Australia ,15,,,,5,,,-1,-1,-1,-1,0212
11, USA ,13,1,,,3,,,-1,-1,-1,-1,0212
12, France ,11,,,,,1,,-1,-1,-1,-1,0212
13, Macao ,10,,,,1,,,-1,-1,-1,-1,0212
14, U.K. ,8,,,,1,,,-1,-1,-1,-1,0212
15, U.A.E. ,8,,,,1,1,,-1,-1,-1,-1,0212
16, Canada ,7,,,,1,,,-1,-1,-1,-1,0212
17, Philippines ,3,,1,,2,,,-1,-1,-1,-1,0212
18, Italy ,3,,,,,2,,-1,-1,-1,-1,0212
19, India ,3,,,,,,,-1,-1,-1,-1,0212
20, Russia ,2,,,,,,,-1,-1,-1,-1,0212
21, Spain ,2,,,,,,,-1,-1,-1,-1,0212
22, Finland ,1,,,,1,,,-1,-1,-1,-1,0212
23, Cambodia ,1,,,,1,,,-1,-1,-1,-1,0212
24, Nepal ,1,,,,,,,-1,-1,-1,-1,0212
25, Sri Lanka ,1,,,,1,,,-1,-1,-1,-1,0212
26, Sweden ,1,,,,,,,-1,-1,-1,-1,0212
