,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0, China ,78832,8,2789,1,39521,36522,7952,-1,-1,-1,-1,0228
1, S. Korea ,2337,571,16,3,2297,24,7,-1,-1,-1,-1,0228
2, Italy ,889,234,21,4,822,46,64,-1,-1,-1,-1,0228
3, Diamond Princess ,705,,6,2,689,10,36,-1,-1,-1,-1,0228
4, Iran ,388,143,34,8,281,73,,-1,-1,-1,-1,0228
5, Japan ,233,19,5,1,196,32,20,-1,-1,-1,-1,0228
6, Singapore ,96,,,,27,69,8,-1,-1,-1,-1,0228
7, Hong Kong ,93,1,2,,73,18,6,-1,-1,-1,-1,0228
8, USA ,63,3,,,57,6,1,-1,-1,-1,-1,0228
9, Germany ,60,11,,,44,16,2,-1,-1,-1,-1,0228
10, France ,57,19,2,,44,11,1,-1,-1,-1,-1,0228
11, Kuwait ,45,2,,,45,,,-1,-1,-1,-1,0228
12, Thailand ,41,1,,,13,28,2,-1,-1,-1,-1,0228
13, Bahrain ,38,5,,,38,,,-1,-1,-1,-1,0228
14, Taiwan ,34,2,1,,28,5,1,-1,-1,-1,-1,0228
15, Spain ,33,8,,,31,2,2,-1,-1,-1,-1,0228
16, Australia ,25,2,,,10,15,,-1,-1,-1,-1,0228
17, Malaysia ,25,3,,,5,20,,-1,-1,-1,-1,0228
18, U.K. ,20,4,,,12,8,,-1,-1,-1,-1,0228
19, U.A.E. ,19,,,,14,5,2,-1,-1,-1,-1,0228
20, Vietnam ,16,,,,0,16,,-1,-1,-1,-1,0228
21, Canada ,15,1,,,12,3,,-1,-1,-1,-1,0228
22, Switzerland ,15,7,,,15,,,-1,-1,-1,-1,0228
23, Sweden ,11,4,,,11,,,-1,-1,-1,-1,0228
24, Macao ,10,,,,4,6,,-1,-1,-1,-1,0228
25, Iraq ,8,1,,,8,,,-1,-1,-1,-1,0228
26, Israel ,7,4,,,6,1,,-1,-1,-1,-1,0228
27, Austria ,6,1,,,6,,,-1,-1,-1,-1,0228
28, Norway ,6,2,,,6,,,-1,-1,-1,-1,0228
29, Oman ,6,,,,6,,,-1,-1,-1,-1,0228
30, Croatia ,5,2,,,5,,,-1,-1,-1,-1,0228
31, Greece ,4,1,,,4,,,-1,-1,-1,-1,0228
32, Lebanon ,4,1,,,4,,,-1,-1,-1,-1,0228
33, Philippines ,3,,1,,0,2,,-1,-1,-1,-1,0228
34, Finland ,3,1,,,2,1,,-1,-1,-1,-1,0228
35, India ,3,,,,0,3,,-1,-1,-1,-1,0228
36, Romania ,3,2,,,2,1,,-1,-1,-1,-1,0228
37, Denmark ,2,1,,,2,,,-1,-1,-1,-1,0228
38, Georgia ,2,1,,,2,,,-1,-1,-1,-1,0228
39, Mexico ,2,2,,,2,,,-1,-1,-1,-1,0228
40, Netherlands ,2,1,,,2,,,-1,-1,-1,-1,0228
41, Pakistan ,2,,,,2,,,-1,-1,-1,-1,0228
42, Russia ,2,,,,0,2,,-1,-1,-1,-1,0228
43, Afghanistan ,1,,,,1,,,-1,-1,-1,-1,0228
44, Algeria ,1,,,,1,,,-1,-1,-1,-1,0228
45, Azerbaijan ,1,1,,,1,,,-1,-1,-1,-1,0228
46, Belarus ,1,1,,,1,,,-1,-1,-1,-1,0228
47, Belgium ,1,,,,0,1,,-1,-1,-1,-1,0228
48, Brazil ,1,,,,1,,,-1,-1,-1,-1,0228
49, Cambodia ,1,,,,0,1,,-1,-1,-1,-1,0228
50, Egypt ,1,,,,0,1,,-1,-1,-1,-1,0228
51, Estonia ,1,,,,1,,,-1,-1,-1,-1,0228
52, Iceland ,1,1,,,1,,,-1,-1,-1,-1,0228
53, Lithuania ,1,1,,,1,,,-1,-1,-1,-1,0228
54, North Macedonia ,1,,,,1,,,-1,-1,-1,-1,0228
55, Monaco ,1,1,,,1,,,-1,-1,-1,-1,0228
56, Nepal ,1,,,,0,1,,-1,-1,-1,-1,0228
57, New Zealand ,1,1,,,1,,,-1,-1,-1,-1,0228
58, Nigeria ,1,1,,,1,,,-1,-1,-1,-1,0228
59, San Marino ,1,,,,1,,,-1,-1,-1,-1,0228
60, Sri Lanka ,1,,,,0,1,,-1,-1,-1,-1,0228
