,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0, China ,80881,21,3226,13,68688,8967,3226,562,-1,-1,-1,0316
1, Italy ,27980,3233,2158,349,2749,23073,1851,,-1,-1,-1,0316
2, Iran ,14991,1053,853,129,4590,9548,,1785,-1,-1,-1,0316
3, Spain ,9942,1954,342,48,530,9070,272,2126,-1,-1,-1,0316
4, S. Korea ,8236,74,75,,1137,7024,59,1606,-1,-1,-1,0316
5, Germany ,7272,1459,17,4,67,7188,2,868,-1,-1,-1,0316
6, France ,6633,1210,148,21,12,6473,400,1016,-1,-1,-1,0316
7, USA ,4663,983,86,18,74,4503,12,141,-1,-1,-1,0316
8, Switzerland ,2353,136,19,5,4,2330,,2719,-1,-1,-1,0316
9, UK ,1543,152,55,20,52,1436,20,227,-1,-1,-1,0316
10, Netherlands ,1413,278,24,4,2,1387,45,825,-1,-1,-1,0316
11, Norway ,1348,92,3,,1,1344,27,2487,-1,-1,-1,0316
12, Sweden ,1121,81,7,4,1,1113,2,1110,-1,-1,-1,0316
13, Belgium ,1058,172,10,6,1,1047,33,913,-1,-1,-1,0316
14, Austria ,1018,158,3,2,8,1007,12,1130,-1,-1,-1,0316
15, Denmark ,914,50,4,2,1,909,10,1578,-1,-1,-1,0316
16, Japan ,827,,27,3,144,656,41,65,-1,-1,-1,0316
17, Diamond Princess ,696,,7,,456,233,15,,-1,-1,-1,0316
18, Malaysia ,566,138,,,42,524,9,175,-1,-1,-1,0316
19, Canada ,441,100,4,3,11,426,1,117,-1,-1,-1,0316
20, Qatar ,439,38,,,4,435,,1524,-1,-1,-1,0316
21, Australia ,401,101,5,,27,369,1,157,-1,-1,-1,0316
22, Greece ,352,21,4,,8,340,5,338,-1,-1,-1,0316
23, Czechia ,344,51,,,3,341,2,321,-1,-1,-1,0316
24, Portugal ,331,86,1,1,3,327,18,325,-1,-1,-1,0316
25, Israel ,298,85,,,4,294,4,344,-1,-1,-1,0316
26, Finland ,278,34,,,10,268,1,502,-1,-1,-1,0316
27, Slovenia ,253,34,1,,,252,3,1217,-1,-1,-1,0316
28, Singapore ,243,17,,,109,134,11,415,-1,-1,-1,0316
29, Brazil ,234,34,,,2,232,2,11,-1,-1,-1,0316
30, Bahrain ,228,14,1,1,81,146,1,1340,-1,-1,-1,0316
31, Ireland ,223,53,2,,5,216,6,452,-1,-1,-1,0316
32, Estonia ,205,34,,,1,204,,1545,-1,-1,-1,0316
33, Iceland ,199,19,,,,199,1,,-1,-1,-1,0316
34, Pakistan ,184,131,1,1,2,181,,08,-1,-1,-1,0316
35, Poland ,177,52,4,1,,173,3,47,-1,-1,-1,0316
36, Romania ,168,29,,,9,159,2,87,-1,-1,-1,0316
37, Egypt ,166,40,4,2,32,130,,16,-1,-1,-1,0316
38, Chile ,156,81,,,,156,,82,-1,-1,-1,0316
39, Hong Kong ,155,6,4,,81,70,4,207,-1,-1,-1,0316
40, Thailand ,147,33,1,,35,111,1,21,-1,-1,-1,0316
41, Philippines ,142,2,12,,5,125,1,13,-1,-1,-1,0316
42, Indonesia ,134,17,5,,8,121,,05,-1,-1,-1,0316
43, Iraq ,133,9,10,,32,91,,33,-1,-1,-1,0316
44, Saudi Arabia ,133,15,,,6,127,,38,-1,-1,-1,0316
45, India ,129,15,2,,13,114,,01,-1,-1,-1,0316
46, Kuwait ,123,11,,,9,114,4,288,-1,-1,-1,0316
47, San Marino ,109,,7,,4,98,11,,-1,-1,-1,0316
48, Lebanon ,109,,3,,3,103,3,160,-1,-1,-1,0316
49, UAE ,98,,,,23,75,2,99,-1,-1,-1,0316
50, Russia ,93,30,,,8,85,,06,-1,-1,-1,0316
51, Peru ,86,15,,,1,85,8,26,-1,-1,-1,0316
52, Luxembourg ,81,4,1,,,80,10,,-1,-1,-1,0316
53, Slovakia ,72,11,,,,72,,132,-1,-1,-1,0316
54, Taiwan ,67,8,1,,20,46,,28,-1,-1,-1,0316
55, South Africa ,64,3,,,,64,,11,-1,-1,-1,0316
56, Bulgaria ,62,11,2,,,60,,89,-1,-1,-1,0316
57, Vietnam ,61,4,,,16,45,,06,-1,-1,-1,0316
58, Algeria ,60,6,4,,10,46,,14,-1,-1,-1,0316
59, Ecuador ,58,21,2,,,56,2,33,-1,-1,-1,0316
60, Croatia ,57,8,,,3,54,,139,-1,-1,-1,0316
61, Serbia ,57,9,,,1,56,2,65,-1,-1,-1,0316
62, Argentina ,56,,2,,3,51,1,12,-1,-1,-1,0316
63, Panama ,55,,1,,,54,,127,-1,-1,-1,0316
64, Brunei ,54,4,,,,54,1,,-1,-1,-1,0316
65, Colombia ,54,20,,,1,53,,11,-1,-1,-1,0316
66, Mexico ,53,10,,,4,49,1,04,-1,-1,-1,0316
67, Armenia ,52,24,,,1,51,2,175,-1,-1,-1,0316
68, Albania ,51,9,1,,,50,2,177,-1,-1,-1,0316
69, Turkey ,47,29,,,,47,,06,-1,-1,-1,0316
70, Cyprus ,46,13,,,,46,1,381,-1,-1,-1,0316
71, Costa Rica ,41,6,,,,41,3,80,-1,-1,-1,0316
72, Hungary ,39,7,1,,2,36,,40,-1,-1,-1,0316
73, Palestine ,39,1,,,,39,,76,-1,-1,-1,0316
74, Morocco ,38,10,1,,1,36,1,10,-1,-1,-1,0316
75, Belarus ,36,9,,,3,33,,38,-1,-1,-1,0316
76, Latvia ,34,4,,,1,33,,180,-1,-1,-1,0316
77, Georgia ,33,,,,1,32,1,83,-1,-1,-1,0316
78, Malta ,30,9,,,2,28,,,-1,-1,-1,0316
79, Jordan ,29,17,,,1,28,,28,-1,-1,-1,0316
80, Moldova ,29,6,,,1,28,1,72,-1,-1,-1,0316
81, Uruguay ,29,23,,,,29,,83,-1,-1,-1,0316
82, Sri Lanka ,28,10,,,1,27,,13,-1,-1,-1,0316
83, Azerbaijan ,25,2,1,,6,18,,25,-1,-1,-1,0316
84, Bosnia and Herzegovina ,25,1,,,2,23,,76,-1,-1,-1,0316
85, Senegal ,24,,,,2,22,,14,-1,-1,-1,0316
86, Oman ,22,,,,9,13,,43,-1,-1,-1,0316
87, Afghanistan ,21,5,,,1,20,,05,-1,-1,-1,0316
88, Dominican Republic ,21,10,,,,21,,19,-1,-1,-1,0316
89, Tunisia ,20,,,,,20,2,17,-1,-1,-1,0316
