,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0, China ,80817,3,3177,,64152,13488,4020,561,-1,-1,-1,0313
1, Italy ,17660,2547,1266,250,1439,14955,1328,2921,-1,-1,-1,0313
2, Iran ,11364,1289,514,85,3529,7321,,1353,-1,-1,-1,0313
3, S. Korea ,7979,110,71,5,510,7398,93,1556,-1,-1,-1,0313
4, Spain ,5232,2086,133,47,193,4906,190,1119,-1,-1,-1,0313
5, Germany ,3675,930,8,2,46,3621,9,439,-1,-1,-1,0313
6, France ,3661,785,79,18,12,3570,154,561,-1,-1,-1,0313
7, USA ,2269,572,48,7,41,2180,10,69,-1,-1,-1,0313
8, Switzerland ,1139,271,11,4,4,1124,,1316,-1,-1,-1,0313
9, Norway ,996,196,1,,1,994,27,1837,-1,-1,-1,0313
10, Sweden ,814,127,1,,1,812,2,806,-1,-1,-1,0313
11, Netherlands ,804,190,10,5,2,792,1,469,-1,-1,-1,0313
12, Denmark ,801,127,,,1,800,2,1383,-1,-1,-1,0313
13, UK ,798,208,11,1,18,769,20,118,-1,-1,-1,0313
14, Japan ,701,10,19,,118,564,29,55,-1,-1,-1,0313
15, Diamond Princess ,696,,7,,325,364,32,,-1,-1,-1,0313
16, Belgium ,559,160,3,,1,555,2,482,-1,-1,-1,0313
17, Austria ,504,143,1,,6,497,1,560,-1,-1,-1,0313
18, Qatar ,320,58,,,,320,,1111,-1,-1,-1,0313
19, Bahrain ,210,13,,,44,166,1,1234,-1,-1,-1,0313
20, Singapore ,200,13,,,97,103,11,342,-1,-1,-1,0313
21, Australia ,199,43,3,,26,170,1,78,-1,-1,-1,0313
22, Canada ,198,56,1,,11,186,1,52,-1,-1,-1,0313
23, Malaysia ,197,39,,,32,165,4,61,-1,-1,-1,0313
24, Greece ,190,73,1,,2,187,2,182,-1,-1,-1,0313
25, Finland ,155,46,,,1,154,,280,-1,-1,-1,0313
26, Brazil ,151,74,,,,151,2,07,-1,-1,-1,0313
27, Czechia ,141,25,,,,141,2,132,-1,-1,-1,0313
28, Slovenia ,141,45,,,,141,4,678,-1,-1,-1,0313
29, Iceland ,134,17,,,,134,,,-1,-1,-1,0313
30, Hong Kong ,132,1,4,1,77,51,4,176,-1,-1,-1,0313
31, Israel ,126,17,,,4,122,2,146,-1,-1,-1,0313
32, Portugal ,112,34,,,1,111,1,110,-1,-1,-1,0313
