,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0, China ,23658,3220,490,65,861,2788,,-1,-1,-1,-1,0204
1, Thailand ,25,6,,,7,1,,-1,-1,-1,-1,0204
2, Singapore ,24,6,,,1,,,-1,-1,-1,-1,0204
3, Japan ,23,3,,,,,,-1,-1,-1,-1,0204
4, Hong Kong ,17,2,1,1,,,,-1,-1,-1,-1,0204
5, S. Korea ,16,1,,,,,,-1,-1,-1,-1,0204
6, Australia ,13,1,,,3,,,-1,-1,-1,-1,0204
7, Germany ,12,,,,,,,-1,-1,-1,-1,0204
8, Taiwan ,11,1,,,,,,-1,-1,-1,-1,0204
9, USA ,11,,,,,,,-1,-1,-1,-1,0204
10, Malaysia ,10,2,,,,,,-1,-1,-1,-1,0204
11, Macao ,10,2,,,,,,-1,-1,-1,-1,0204
12, Vietnam ,10,2,,,3,,,-1,-1,-1,-1,0204
13, France ,6,,,,,1,,-1,-1,-1,-1,0204
14, U.A.E. ,5,,,,,,,-1,-1,-1,-1,0204
15, Canada ,5,1,,,,,,-1,-1,-1,-1,0204
16, India ,3,,,,,,,-1,-1,-1,-1,0204
17, Philippines ,2,,1,,,,,-1,-1,-1,-1,0204
18, Russia ,2,,,,,,,-1,-1,-1,-1,0204
19, Italy ,2,,,,,2,,-1,-1,-1,-1,0204
20, U.K. ,2,,,,,,,-1,-1,-1,-1,0204
21, Finland ,1,,,,,,,-1,-1,-1,-1,0204
22, Cambodia ,1,,,,,,,-1,-1,-1,-1,0204
23, Nepal ,1,,,,,,,-1,-1,-1,-1,0204
24, Sri Lanka ,1,,,,1,,,-1,-1,-1,-1,0204
25, Sweden ,1,,,,,,,-1,-1,-1,-1,0204
26, Belgium ,1,1,,,,,,-1,-1,-1,-1,0204
